step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.3135490523656209,0.3276,,
2,0.0004999691581204152,2,0.27387778352101644,0.4018,0.28740212456385295,0.377
3,0.0004998766400914329,3,0.2600790353139242,0.4308,,
4,0.0004997224687404926,4,0.25208171049753825,0.4302,0.2697560378710429,0.411
5,0.0004995066821070679,5,0.24407712405522664,0.4554,,
6,0.000499229333433282,6,0.24068778553009032,0.4558,0.2583128900527954,0.443
7,0.00049889049115077,7,0.23484998337427776,0.4764,,
8,0.0004984902388637949,8,0.2281345672607422,0.4848,0.2530509055455526,0.434
9,0.0004980286753286195,9,0.2235004808743795,0.4914,,
10,0.0004975059144291394,10,0.2241335950533549,0.4936,0.24607435862223306,0.455
11,0.0004969220851487844,11,0.21497770528793336,0.5134,,
12,0.0004962773315386935,12,0.21616604817708332,0.514,0.25383238061269126,0.448
13,0.0004955718126821722,13,0.2120111291885376,0.519,,
14,0.0004948057026554414,14,0.21149965674082438,0.5198,0.22523260100682577,0.501
15,0.0004939791904846868,15,0.20699739179611207,0.5322,,
16,0.0004930924800994191,16,0.20581155455907185,0.5396,0.22774419943491617,0.495
17,0.0004921457902821577,17,0.20350091292063396,0.5454,,
18,0.0004911393546144495,18,0.20038929510116577,0.5468,0.2612644427617391,0.465
19,0.0004900734214192357,19,0.20034450341860452,0.55,,
20,0.0004889482536995824,20,0.1943735452334086,0.5674,0.21502025636037192,0.534
21,0.0004877641290737883,21,0.19718794088363648,0.5596,,
22,0.00048652133970688617,22,0.19285702924728393,0.5656,0.22914386336008707,0.504
23,0.0004852201922385562,23,0.19408612728118896,0.5562,,
24,0.0004838610077074667,24,0.19270539824167887,0.5646,0.21198170550664266,0.536
25,0.00048244412147206266,25,0.18972497426668802,0.57,,
26,0.0004809698831278215,26,0.1829587563832601,0.588,0.2119637672106425,0.513
27,0.00047943865642099503,27,0.18553908526102703,0.5828,,
28,0.00047785081915886106,28,0.1856557958285014,0.5864,0.21805473820368448,0.537
29,0.0004762067631165046,29,0.1878937965075175,0.5766,,
30,0.00047450689394015364,30,0.18370875651041665,0.586,0.22223915910720826,0.503
31,0.0004727516310470917,31,0.1827923768043518,0.5972,,
32,0.00047094140752217313,32,0.17731139834721882,0.5968,0.2256977752049764,0.491
33,0.00046907667001096557,33,0.1768583472887675,0.5984,,
34,0.00046715787860954753,34,0.17784073727925617,0.604,0.21308557907740275,0.531
35,0.00046518550675098564,35,0.1705102905591329,0.616,,
36,0.0004631600410885228,36,0.1699085436185201,0.6178,0.20848648436864217,0.548
37,0.0004610819813755035,37,0.1694169886906942,0.6216,,
38,0.00045895184034206734,38,0.17085917421976726,0.6158,0.19642382860183716,0.56
39,0.00045677014356864016,39,0.17166879075368247,0.613,,
40,0.0004545374293562556,40,0.16453244921366375,0.6248,0.19733492453893026,0.555
41,0.0004522542485937366,41,0.1692368217309316,0.6242,,
42,0.0004499211646217724,42,0.16504507563908896,0.6318,0.21064866320292155,0.558
43,0.0004475387530939223,43,0.1641347266515096,0.6326,,
44,0.00044510760183458215,44,0.16589862937927247,0.6222,0.20100635449091594,0.559
45,0.000442628310693947,45,0.1620119198481242,0.6368,,
46,0.00044010149140000747,46,0.15959101276397705,0.649,0.19799326674143472,0.567
47,0.0004375277674076146,47,0.15925115423202515,0.6428,,
48,0.00043490777374465206,48,0.15827157557010652,0.6538,0.19434135341644287,0.564
49,0.00043224215685535255,49,0.1514693904240926,0.663,,
50,0.0004295315744407969,50,0.15400158735911051,0.658,0.20204639530181884,0.527
51,0.00042677669529663653,51,0.15129192883173626,0.6604,,
52,0.0004239781991480782,52,0.15155435520807903,0.6626,0.21652899599075318,0.529
53,0.00042113677648217187,53,0.15116246150334675,0.6616,,
54,0.000418253128377443,54,0.1450981110572815,0.6774,0.1952965105374654,0.575
