step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.36752662563323973,0.244
2,0.0004999996915749259,2,0.32649653577804566,0.36
3,0.0004999987663004646,3,0.2929841531117757,0.384
4,0.000499997224178899,4,0.26908347670237226,0.434
5,0.0004999950652140343,5,0.25025254948933917,0.47
6,0.0004999922894111975,6,0.23513050238291422,0.48
7,0.0004999888967772375,7,0.22735238933563232,0.516
8,0.0004999848873205254,8,0.21764713112513223,0.524
9,0.0004999802610509541,9,0.2106499745051066,0.514
10,0.0004999750179799384,10,0.2018904299736023,0.554
11,0.0004999691581204152,11,0.1940150106747945,0.57
12,0.000499962681486843,12,0.193352059841156,0.558
13,0.0004999555880952023,13,0.184507311185201,0.584
14,0.0004999478779629953,14,0.1813925623893738,0.58
15,0.000499939551109246,15,0.17467435026168823,0.614
