step,lr,epoch,train_loss,train_acc,val_loss,val_acc
1,0.0005,1,0.20498989004558987,0.9573333333333334,,
2,0.0004999888745376027,2,0.0837535023159451,1.0,,
3,0.0004999554991406182,3,0.04419477541579141,1.0,,
4,0.0004998998767795803,4,0.026354269835684035,1.0,0.6161503021240234,0.1135
5,0.0004998220124050849,5,0.017416944540209242,1.0,,
6,0.0004997219129473494,6,0.012409587141540316,1.0,,
7,0.0004995995873155957,7,0.009340951604975594,1.0,0.7584269804636637,0.1135
8,0.0004994550463972576,8,0.007305301891432868,1.0,,
9,0.0004992883030570114,9,0.00587838052213192,1.0,,
10,0.0004990993721356314,10,0.004842406556838088,1.0,0.8525526006062826,0.1135
11,0.0004988882704486684,11,0.004070289839473036,1.0,,
12,0.0004986550167849534,12,0.0034749360688858563,1.0,,
13,0.0004983996319049255,13,0.0029965398435791335,1.0,,
14,0.0004981221385387835,14,0.002615298549334208,1.0,0.9386163932800293,0.1135
15,0.0004978225613844635,15,0.002306356098088953,1.0,,
16,0.0004975009271054406,16,0.002047985312011507,1.0,,
17,0.0004971572643283553,17,0.0018323552947905328,1.0,0.9915920566558838,0.1135
18,0.0004967916036404661,18,0.0016492286427981324,1.0,,
19,0.0004964039775869267,19,0.0014937302300499545,1.0,,
20,0.00049599442066789,20,0.0013584615625441075,1.0,1.0338081179300944,0.1135
21,0.0004955629693354366,21,0.0012414390260560644,1.0,,
22,0.0004951096619903313,22,0.0011400578868471915,1.0,,
23,0.0004946345389786046,23,0.0010505402052981986,1.0,,
24,0.000494137642587962,24,0.0009706785064190626,1.0,1.0835072816212972,0.1135
25,0.0004936190170440204,25,0.0009005596472157373,1.0,,
26,0.0004930787085063719,26,0.0008377011362463236,1.0,,
27,0.0004925167650644748,27,0.0007818880292276542,1.0,1.1157249809265137,0.1135
28,0.0004919332367333744,28,0.0007310339133772586,1.0,,
29,0.0004913281754492505,29,0.0006849801946017478,1.0,,
30,0.0004907016350647957,30,0.0006428789521257083,1.0,1.143006607691447,0.1135
31,0.0004900536713444221,31,0.000604679023536543,1.0,,
32,0.0004893843419592974,32,0.0005702126865378684,1.0,,
33,0.0004886937064822131,33,0.0005388253874455889,1.0,,
34,0.00048798182638228136,34,0.0005091679570161634,1.0,1.1769197344462077,0.1135
35,0.00048724876501946447,35,0.0004827532233256433,1.0,,
