step,lr,epoch,train_loss,train_acc
1,0.0005,1,0.37474554030100504,0.26
2,0.0004999996915749259,2,0.35453099822998047,0.36
3,0.0004999987663004646,3,0.33797212727864584,0.372
4,0.000499997224178899,4,0.325529837290446,0.398
5,0.0004999950652140343,5,0.3149658726056417,0.406
6,0.0004999922894111975,6,0.30525743182500203,0.444
7,0.0004999888967772375,7,0.29748415772120157,0.444
8,0.0004999848873205254,8,0.2903521706263224,0.47
9,0.0004999802610509541,9,0.2836821042696635,0.464
10,0.0004999750179799384,10,0.277954271475474,0.488
11,0.0004999691581204152,11,0.2710041195551554,0.516
12,0.000499962681486843,12,0.26713793420791626,0.5
13,0.0004999555880952023,13,0.26170524915059407,0.496
14,0.0004999478779629953,14,0.25716938241322834,0.504
15,0.000499939551109246,15,0.2530982378323873,0.52
