acceptedNameUsageID,Scientific name,Item,Top,Bottom,midPoint
105787,Carcharhinus altimus,lat,-31,46,
105787,Carcharhinus altimus,Lon,-180,180,
105787,Carcharhinus altimus,Depth,80,220,
105787,Carcharhinus altimus,Depth,0,810,
105787,Carcharhinus altimus,max size,,,300
105787,Carcharhinus altimus,common size,,,250
105788,Carcharhinus brevipinna,Lat,-38,40,
105788,Carcharhinus brevipinna,Lon,-100,155,
105788,Carcharhinus brevipinna,Depth,0,200,
105788,Carcharhinus brevipinna,Depth,0,100,
105788,Carcharhinus brevipinna,max size,,,300
105788,Carcharhinus brevipinna,common size,,,250
105789,Carcharhinus falciformis,Lat,-43,42,
105789,Carcharhinus falciformis,Lon,-180,180,
105789,Carcharhinus falciformis,Depth,0,500,
105789,Carcharhinus falciformis,Depth,18,500,
105789,Carcharhinus falciformis,max size,,,350
105789,Carcharhinus falciformis,common size,,,250
105789,Carcharhinus falciformis,Temperature,,,23
105790,Carcharhinus galapagensis,Lat,-34,36,
105790,Carcharhinus galapagensis,Lon,-180,180,
105790,Carcharhinus galapagensis,Depth,30,180,
105790,Carcharhinus galapagensis,Depth,0,285,
105790,Carcharhinus galapagensis,max size,,,370
105790,Carcharhinus galapagensis,common size,,,300
105791,Carcharhinus isodon,lat,-38,42,
105791,Carcharhinus isodon,Lon,-100,-12,
105791,Carcharhinus isodon,Depth,0,20,
105792,Carcharhinus leucas,lat,-39,42,
105792,Carcharhinus leucas,Lon,-180,180,
105792,Carcharhinus leucas,Depth,1,30,
105792,Carcharhinus leucas,Depth,0,164,
105792,Carcharhinus leucas,max size,,,360
105792,Carcharhinus leucas,common size,,,260
105793,Carcharhinus limbatus,Lat,-38,45,
105793,Carcharhinus limbatus,Lon,-180,180,
105793,Carcharhinus limbatus,Depth,0,140,
105793,Carcharhinus limbatus,Depth,0,30,
105793,Carcharhinus limbatus,max size,,,286
105793,Carcharhinus limbatus,common size,,,150
105794,Carcharhinus longimanus,lat,-43,46,
105794,Carcharhinus longimanus,Lon,-180,180,
105794,Carcharhinus longimanus,Depth,0,1082,
105794,Carcharhinus longimanus,Depth,0,152,
105794,Carcharhinus longimanus,max size,,,400
105794,Carcharhinus longimanus,common size,,,270
105794,Carcharhinus longimanus,Temperature,18,28,
105795,Carcharhinus melanopterus,lat,-25,35,
105795,Carcharhinus melanopterus,Lon,-180,-134,
105795,Carcharhinus melanopterus,Lon,7,180,
105795,Carcharhinus melanopterus,Depth,0,75,
105796,Carcharhinus obscurus,Lat,-46,45,
105796,Carcharhinus obscurus,Lon,-120,156,
105796,Carcharhinus obscurus,Depth,0,500,
105796,Carcharhinus obscurus,Depth,200,400,
105796,Carcharhinus obscurus,max size,,,420
105796,Carcharhinus obscurus,common size,,,250
105797,Carcharhinus plumbeus,lat,-41,45,
105797,Carcharhinus plumbeus,Lon,-180,180,
105797,Carcharhinus plumbeus,Depth,0,280,
105797,Carcharhinus plumbeus,Depth,20,65,
105797,Carcharhinus plumbeus,max size,,,300
105797,Carcharhinus plumbeus,max size,,,280
105797,Carcharhinus plumbeus,common size,,,200
105797,Carcharhinus plumbeus,Temperature,23,27,
105798,Carcharhinus signatus,lat,-43,39,
105798,Carcharhinus signatus,Lon,-98,15,
105798,Carcharhinus signatus,Depth,0,600,
105798,Carcharhinus signatus,Depth,50,100,
105798,Carcharhinus signatus,max size,,,280
105798,Carcharhinus signatus,common size,,,200
105798,Carcharhinus signatus,Temperature,11,16,
105799,Galeocerdo cuvier,lat,-36,40,
105799,Galeocerdo cuvier,lat,-44,62,
105799,Galeocerdo cuvier,Lon,-180,180,
105799,Galeocerdo cuvier,Depth,0,100,
105799,Galeocerdo cuvier,Depth,0,1136,
105799,Galeocerdo cuvier,max size,,,750
105799,Galeocerdo cuvier,common size,,,500
105800,Negaprion brevirostris,lat,-33,45,
105800,Negaprion brevirostris,Lon,-114,14,
105800,Negaprion brevirostris,Depth,0,92,
105800,Negaprion brevirostris,max size,340,368,
105800,Negaprion brevirostris,common size,,,240
105801,Prionace glauca,Lat,-55,70,
105801,Prionace glauca,Lon,-180,180,
105801,Prionace glauca,Depth,1,220,
105801,Prionace glauca,Depth,1,1082,
