acceptedNameUsageID,Scientific name,Item,Description,Code
105787,Carcharhinus altimus,Temperature,tropical,3
105787,Carcharhinus altimus,Temperature,subtropical,2.6
105787,Carcharhinus altimus,Temperature,warm temperate,2.4
105787,Carcharhinus altimus,Temperature,temperate,2
105787,Carcharhinus altimus,Habitat,reef-associated,1.5
105787,Carcharhinus altimus,Habitat,continental slope,2.5
105787,Carcharhinus altimus,Habitat,continental shelf,2
105787,Carcharhinus altimus,Habitat,deep benthic,3
105787,Carcharhinus altimus,Habitat,oceanic,3
105787,Carcharhinus altimus,Habitat,coastal,2
105787,Carcharhinus altimus,Habitat,island,2.5
105787,Carcharhinus altimus,Salinity,marine,2
105787,Carcharhinus altimus,Behavior,benthopelagic,2
105787,Carcharhinus altimus,Food,cephalopods,2
105787,Carcharhinus altimus,Food,fish,3
105787,Carcharhinus altimus,Food,sharks and rays,3.6
105788,Carcharhinus brevipinna,Temperature,warm temperate,2.4
105788,Carcharhinus brevipinna,Temperature,temperate,2
105788,Carcharhinus brevipinna,Temperature,tropical,3
105788,Carcharhinus brevipinna,Temperature,subtropical,2.6
105788,Carcharhinus brevipinna,Habitat,reef-associated,1.5
105788,Carcharhinus brevipinna,Habitat,coastal,2
105788,Carcharhinus brevipinna,Habitat,offshore,2.5
105788,Carcharhinus brevipinna,Habitat,island,2.5
105788,Carcharhinus brevipinna,Habitat,continental shelf,2
105788,Carcharhinus brevipinna,Habitat,inshore,1.3
105788,Carcharhinus brevipinna,Salinity,marine,2
105788,Carcharhinus brevipinna,Behavior,pelagic,3
105788,Carcharhinus brevipinna,Food,cephalopods,2
105788,Carcharhinus brevipinna,Food,fish,3
105788,Carcharhinus brevipinna,Food,sharks and rays,3.6
105788,Carcharhinus brevipinna,Aggregation,solitary,1
105788,Carcharhinus brevipinna,Aggregation,school,4
105789,Carcharhinus falciformis,Temperature,subtropical,2.6
105789,Carcharhinus falciformis,Habitat,reef-associated,1.5
105789,Carcharhinus falciformis,Habitat,island,2.5
105789,Carcharhinus falciformis,Habitat,continental shelf,2
105789,Carcharhinus falciformis,Habitat,deep benthic,3
105789,Carcharhinus falciformis,Habitat,oceanic,3
105789,Carcharhinus falciformis,Habitat,coastal,2
105789,Carcharhinus falciformis,Habitat,deepwater reef,1.7
