acceptedNameUsageID,Scientific name,ICCAT Fisheries,LL,PS,Others
105787,Carcharhinus altimus,Y,Y,,
105788,Carcharhinus brevipinna,Y,Y,,Y
105789,Carcharhinus falciformis,Y,Y,Y,Y
105790,Carcharhinus galapagensis,Y,Y,,
105791,Carcharhinus isodon,Y,Y,,
105792,Carcharhinus leucas,Y,Y,Y,Y
105793,Carcharhinus limbatus,Y,Y,,Y
105794,Carcharhinus longimanus,Y,Y,Y,Y
105795,Carcharhinus melanopterus,Y,Y,,
105796,Carcharhinus obscurus,Y,Y,,Y
105797,Carcharhinus plumbeus,Y,Y,,Y
105798,Carcharhinus signatus,Y,Y,,Y
105799,Galeocerdo cuvier,Y,Y,Y,Y
105800,Negaprion brevirostris,Y,Y,,Y
105801,Prionace glauca,Y,Y,Y,Y
105802,Rhizoprionodon acutus,Y,,,Y
105803,Paragaleus pectoralis,Y,,,Y
105816,Sphyrna lewini,Y,Y,Y,Y
105817,Sphyrna mokarran,Y,Y,Y,Y
105819,Sphyrna zygaena,Y,Y,Y,Y
105820,Galeorhinus galeus,Y,Y,,
105822,Mustelus mustelus,Y,Y,,Y
105832,Heptranchias perlo,Y,Y,,
105833,Hexanchus griseus,Y,Y,,
105835,Alopias superciliosus,Y,Y,Y,Y
105836,Alopias vulpinus,Y,Y,,Y
105837,Cetorhinus maximus,Y,Y,,
105838,Carcharodon carcharias,Y,Y,Y,Y
105839,Isurus oxyrinchus,Y,Y,Y,Y
105840,Isurus paucus,Y,Y,,Y
105841,Lamna nasus,Y,Y,,Y
105843,Carcharias taurus,Y,Y,,
105844,Odontaspis ferox,Y,Y,,Y
105845,Odontaspis noronhai,Y,Y,,
105846,Ginglymostoma cirratum,Y,Y,,Y
105847,Rhincodon typus,Y,,Y,
105858,Mobula japanica,Y,Y,Y,
105858,Mobula mobular,Y,Y,Y,
105859,Mobula tarapacana,Y,,Y,
105860,Myliobatis aquila,Y,,Y,
105899,Centrophorus granulosus,Y,Y,,Y
105901,Centrophorus squamosus,Y,Y,,
105902,Centrophorus uyato,Y,Y,,
105907,Centroscymnus coelolepis,Y,Y,,
105910,Dalatias licha,Y,Y,,
105918,Scymnodon ringens,Y,,,
105919,Somniosus microcephalus,Y,Y,,
105921,Squaliolus laticaudus,Y,,,
105923,Squalus acanthias,Y,Y,,
126292,Nessorhamphus ingolfianus,,,,
126305,Nemichthys curvirostris,,,,
126306,Nemichthys scolopaceus,,,,
126332,Alepisaurus brevirostris,Y,Y,,
126333,Alepisaurus ferox,Y,Y,,
126349,Scopelosaurus lepidus,,,,
126350,Scopelosaurus smithii,,,,
126361,Paralepis coregonoides,,,,
126367,Scopelarchus analis,,,,
126368,Scopelarchus michaelsarsi,,,,
126375,Belone belone,Y,,,
126378,Tylosurus acus,,,,
126385,Exocoetus volitans,,,,
126387,Hirundichthys speculiger,,,,
126392,Scomberesox saurus,Y,,,
126393,Anoplogaster cornuta,,,,
126404,Hoplostethus mediterraneus,N,,,
126407,Ditropichthys storeri,,,,
126412,Rondeletia loricata,,,,
126421,Sardina pilchardus,,,,
126422,Sardinella aurita,,,,
126423,Sardinella maderensis,,,,
126425,Sprattus sprattus,,,,
126439,Micromesistius poutassou,N,,,
126444,Trisopterus esmarkii,N,,,
126473,Nezumia aequalis,,,,
126482,Trachyrincus scabrus,,,,
126484,Merluccius merluccius,N,,,
126486,Antimora rostrata,N,,,
126497,Mora moro,N,,,
126522,Lampris guttatus,Y,Y,,
126524,Radiicephalus elongatus,,,,
126525,Regalecus glesne,Y,Y,,
126526,Stylephorus chordatus,,,,
126527,Trachipterus arcticus,Y,Y,,
126528,Trachipterus trachypterus,Y,Y,,
126537,Ceratias holboelli,,,,
126538,Cryptopsaras couesii,,,,
126566,Leptacanthichthys gracilispinis,,,,
126581,Benthosema suborbitale,,,,
126582,Bolinichthys indicus,,,,
126583,Bolinichthys supralateralis,,,,
126584,Centrobranchus nigroocellatus,,,,
126585,Ceratoscopelus maderensis,,,,
126589,Diaphus brachycephalus,,,,
126590,Diaphus dumerilii,,,,
126594,Diaphus metopoclampus,,,,
126599,Diogenichthys atlanticus,,,,
126603,Hygophum hygomii,,,,
126607,Lampadena chavesi,,,,
126612,Lampanyctus crocodilus,,,,
126614,Lampanyctus festivus,,,,
126616,Lampanyctus lineatus,,,,
126625,Loweina rara,,,,
126626,Myctophum nitidulum,,,,
126627,Myctophum punctatum,,,,
126628,Myctophum selenops/ Dasyscopelus selenops,,,,
126629,Notolychnus valdiviae,,,,
126632,Taaningichthys minimus,,,,
126715,Argentina silus,N,,,
126733,Opisthoproctus soleatus,,,,
126734,Rhynchohyalus natalensis,,,,
126735,Mallotus villosus,N,,,
126757,Anarhichas denticulatus,N,,,
126783,Brama brama,Y,Y,Y,
126785,Pterycombus brama,N,,,
126786,Taractes asper,Y,Y,,
126787,Taractes rubescens,Y,Y,,
126788,Taractichthys longipinnis,Y,Y,,
126802,Caranx crysos,Y,,Y,
126803,Caranx hippos,Y,,,
126805,Caranx lugubris,Y,,Y,
126807,Decapterus macarellus,Y,,Y,Y
126809,Elagatis bipinnulata,Y,Y,Y,
126811,Naucrates ductor,Y,Y,Y,
126814,Selene dorsalis,Y,,Y,
126816,Seriola dumerili,Y,Y,,Y
126818,Seriola rivoliana,Y,Y,Y,
126820,Trachurus mediterraneus,N,,,
126821,Trachurus picturatus,N,,,
126822,Trachurus trachurus,N,,,
126823,Trachurus trecae,Y,,,Y
