acceptedNameUsageID,Scientific name,Item,Bottom,Top,Average,# records
105787,Carcharhinus altimus,Salinity,2,2,2,1
105787,Carcharhinus altimus,Habitat,1.5,3,2.357142857,7
105787,Carcharhinus altimus,TemperatureT,2,3,2.5,4
105787,Carcharhinus altimus,Behavior,2,2,2,1
105787,Carcharhinus altimus,Food,2,3.6,2.866666667,3
105788,Carcharhinus brevipinna,Salinity,2,2,2,1
105788,Carcharhinus brevipinna,Habitat,1.3,2.5,1.966666667,6
105788,Carcharhinus brevipinna,TemperatureT,2,3,2.5,4
105788,Carcharhinus brevipinna,Behavior,3,3,3,1
105788,Carcharhinus brevipinna,Food,2,3.6,2.866666667,3
105788,Carcharhinus brevipinna,Aggregation,1,4,2.5,2
105789,Carcharhinus falciformis,Salinity,2,2,2,1
105789,Carcharhinus falciformis,Habitat,1.3,3,2.22,10
105789,Carcharhinus falciformis,TemperatureT,2.6,2.6,2.6,1
105789,Carcharhinus falciformis,Associate,2.2,3,2.6,2
105789,Carcharhinus falciformis,Behavior,3.2,3.2,3.2,1
105789,Carcharhinus falciformis,Food,2,3,2.333333333,3
105790,Carcharhinus galapagensis,Salinity,2,2,2,1
105790,Carcharhinus galapagensis,Habitat,1.3,3,2.15,10
105790,Carcharhinus galapagensis,TemperatureT,2.4,3,2.7,2
105790,Carcharhinus galapagensis,Behavior,3,3,3,1
105790,Carcharhinus galapagensis,Food,2,4,3,3
105791,Carcharhinus isodon,Salinity,2,2,2,1
105791,Carcharhinus isodon,Habitat,1.1,2,1.466666667,3
105791,Carcharhinus isodon,TemperatureT,2.6,2.6,2.6,1
105791,Carcharhinus isodon,Behavior,1,1,1,1
105791,Carcharhinus isodon,Food,2,3,2.5,2
105791,Carcharhinus isodon,Aggregation,4,4,4,1
105792,Carcharhinus leucas,Salinity,0,2,1,3
105792,Carcharhinus leucas,Habitat,0,2.5,1.4,7
105792,Carcharhinus leucas,TemperatureT,2.4,3,2.666666667,3
105792,Carcharhinus leucas,Behavior,1,3,2,2
105792,Carcharhinus leucas,Food,1,3.6,2.166666667,6
105793,Carcharhinus limbatus,Salinity,1,2,1.5,2
105793,Carcharhinus limbatus,Habitat,1,3,1.86,10
105793,Carcharhinus limbatus,TemperatureT,2.4,3,2.666666667,3
105793,Carcharhinus limbatus,Behavior,1,3,2,3
105793,Carcharhinus limbatus,Food,2,3.6,2.65,4
105793,Carcharhinus limbatus,Aggregation,5,5,5,1
105794,Carcharhinus longimanus,Salinity,2,2,2,1
105794,Carcharhinus longimanus,Habitat,2,3,2.625,4
105794,Carcharhinus longimanus,TemperatureT,2,3,2.533333333,3
105794,Carcharhinus longimanus,Associate,2.5,2.5,2.5,1
105794,Carcharhinus longimanus,Behavior,3.2,3.2,3.2,1
105794,Carcharhinus longimanus,Food,1,4.5,2.45,8
105795,Carcharhinus melanopterus,Salinity,1,2,1.5,2
105795,Carcharhinus melanopterus,Habitat,1,2.5,1.525,8
105795,Carcharhinus melanopterus,TemperatureT,2.6,3,2.8,2
