acceptedNameUsageID,Scientific name,Behavior0_Bottom,Behavior0_Top,Behavior0_Average,Behavior0_# records,Food0_Bottom,Food0_Top,Food0_Average,Food0_# records,Habitat0_Bottom,Habitat0_Top,Habitat0_Average,Habitat0_# records,Salinity0_Bottom,Salinity0_Top,Salinity0_Average,Salinity0_# records,TemperatureT0_Bottom,TemperatureT0_Top,TemperatureT0_Average,TemperatureT0_# records,Aggregation0_Bottom,Aggregation0_Top,Aggregation0_Average,Aggregation0_# records,Associate0_Bottom,Associate0_Top,Associate0_Average,Associate0_# records,Behavior1_Bottom,Behavior1_Top,Behavior1_Average,Behavior1_# records,Food1_Bottom,Food1_Top,Food1_Average,Food1_# records,Habitat1_Bottom,Habitat1_Top,Habitat1_Average,Habitat1_# records,Salinity1_Bottom,Salinity1_Top,Salinity1_Average,Salinity1_# records,TemperatureT1_Bottom,TemperatureT1_Top,TemperatureT1_Average,TemperatureT1_# records
105787,Carcharhinus altimus,2.0,2.0,2.0,1,2.0,3.6,2.866666667,3,1.5,3.0,2.357142857,7,2.0,2.0,2.0,1,2.0,3.0,2.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105788,Carcharhinus brevipinna,3.0,3.0,3.0,1,2.0,3.6,2.866666667,3,1.3,2.5,1.966666667,6,2.0,2.0,2.0,1,2.0,3.0,2.5,4,1.0,4.0,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,
105789,Carcharhinus falciformis,3.2,3.2,3.2,1,2.0,3.0,2.333333333,3,1.3,3.0,2.22,10,2.0,2.0,2.0,1,2.6,2.6,2.6,1,,,,,2.2,3.0,2.6,2,,,,,,,,,,,,,,,,,,,,
105790,Carcharhinus galapagensis,3.0,3.0,3.0,1,2.0,4.0,3.0,3,1.3,3.0,2.15,10,2.0,2.0,2.0,1,2.4,3.0,2.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105791,Carcharhinus isodon,1.0,1.0,1.0,1,2.0,3.0,2.5,2,1.1,2.0,1.466666667,3,2.0,2.0,2.0,1,2.6,2.6,2.6,1,4.0,4.0,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,
105792,Carcharhinus leucas,1.0,3.0,2.0,2,1.0,3.6,2.166666667,6,0.0,2.5,1.4,7,0.0,2.0,1.0,3,2.4,3.0,2.666666667,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105793,Carcharhinus limbatus,1.0,3.0,2.0,3,2.0,3.6,2.65,4,1.0,3.0,1.86,10,1.0,2.0,1.5,2,2.4,3.0,2.666666667,3,5.0,5.0,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,
105794,Carcharhinus longimanus,3.2,3.2,3.2,1,1.0,4.5,2.45,8,2.0,3.0,2.625,4,2.0,2.0,2.0,1,2.0,3.0,2.533333333,3,,,,,2.5,2.5,2.5,1,,,,,,,,,,,,,,,,,,,,
105795,Carcharhinus melanopterus,,,,,1.5,3.0,2.125,4,1.0,2.5,1.525,8,1.0,2.0,1.5,2,2.6,3.0,2.8,2,1.0,3.0,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,
105796,Carcharhinus obscurus,3.0,3.0,3.0,1,1.0,3.6,2.157142857,7,1.5,3.0,2.25,4,1.0,2.0,1.5,2,2.4,3.0,2.666666667,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105797,Carcharhinus plumbeus,1.0,3.0,2.0,3,1.5,3.6,2.42,5,1.3,3.0,2.2,8,1.0,2.0,1.5,2,2.0,3.0,2.533333333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105798,Carcharhinus signatus,2.0,3.0,2.5,2,2.0,3.0,2.5,2,2.0,3.0,2.4,5,2.0,2.0,2.0,1,2.6,2.6,2.6,1,4.0,4.0,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,
105799,Galeocerdo cuvier,2.0,2.0,2.0,1,1.0,5.0,3.1375,8,1.0,3.0,2.088888889,9,1.0,2.0,1.5,2,2.0,3.0,2.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105800,Negaprion brevirostris,1.0,3.0,2.0,3,1.5,3.0,2.166666667,3,1.0,3.0,1.7,11,1.0,2.0,1.5,2,2.6,3.0,2.8,2,1.0,3.0,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,
105801,Prionace glauca,3.2,3.2,3.2,1,1.0,5.0,2.575,8,1.0,3.0,1.825,4,1.0,2.0,1.5,2,2.0,3.0,2.533333333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
