acceptedNameUsageID,Scientific name,Test_dat,Family_ID,Genus_ID,DDepth_Top,DDepth_Bottom,DDepth_midPoint,NDepth_Top,NDepth_Bottom,NDepth_midPoint,Lat_Top,Lat_Bottom,Lat_no_top,Lat_no_bottom,Lon0_Top,Lon0_Bottom,Lon1_Top,Lon1_Bottom,Mat_M,Max_M,Av_M,Mat/Max_M,Mat_F,Max_F,Av_F,Mat/Max_F,Com/Mat_F,Generation_top,Generation_bottom,Generation_mid,Max_age_top,Max_age_bottom,Mature_age,Temperature_Top,Temperature_Bottom,Temperature_midPoint,Behavior_bottom,Behavior_top,Behavior_Average,Migration_Average,Depth_bottom,Depth_top,Depth_Average,Diel vertical migration,Food_Bottom,Food_Top,Food_Average,Habitat0_Bottom,Habitat0_Top,Habitat0_Average,Salinity0_Bottom,Salinity0_Top,Salinity0_Average,Temperature0_Top,Temperature0_Bottom,Temperature0_midPoint,Aggregation0_Top,Aggregation0_Average,Aggregation0_# records,Associate0_Average,Associate_Floating object,Associate_Large pelagics,Associate_Vegetatation,Associate_Coral,Associate_Floating object,Associate_Large pelagics/ship,Breeding_cycle,Breeding_relation,Reproduction,Egg&larvae,Distribution,Occurrence,Commercial importance,ICCAT Fisheries,LL,PS,Others,,IUCN,Stock status
105787,Carcharhinus altimus,Y,105689,105719,0,810,150,0,810,150,-31,46,,,-180,180,,,206,300,250,0.69,217,300,250,0.72,1.15,,,20,,,,,,,2,2,2,2,,,,Y,2.5,3.6,3.033333333,1.5,3,2.214285714,2,2,2,2,3,2.5,,,,1.5,1.5,1.50,,Y,,,2,,1,,,,4,Y,Y,,,2,2,2
105788,Carcharhinus brevipinna,Y,105689,105719,0,200,50,0,200,50,-38,40,,,-100,155,,,191,300,250,0.64,206,304,250,0.68,1.21,13,20,16.5,19,33,7,,,,3,3,3,4,,,,,2.5,3.6,3.033333333,1.3,2.2,1.785714286,2,2,2,2,3,2.5,1,4,2.5,1.5,1.5,1.50,,Y,,,2,,1,,,4,4,Y,Y,,Y,2.5,3,2
105789,Carcharhinus falciformis,Y,105689,105719,0,500,259,0,500,259,-43,42,,,-180,180,,,205,350,250,0.59,213,350,250,0.61,1.17,15,16,15,8,35.8,8.9,23,23,23,3.2,3.2,3.2,3.5,1,2,1.5,,2,3,2.5,1.3,3,2.17,2,2,2,2.6,2.6,2.6,,,,1.5,3,2.23,,Y,Y,Y,3,,1,,,,4,Y,Y,Y,Y,2.5,3,2
105790,Carcharhinus galapagensis,Y,105689,105719,0,285,105,0,285,105,-34,36,,,-180,180,,,210,370,300,0.57,227,370,300,0.61,1.32,,,,,,7.75,,,,3,3,3,,,,,,2,3,2.5,1.3,3,2.2,2,2,2,2.4,3,2.7,,,,1.5,1.5,1.50,,Y,,,2,,1.5,,,,4,Y,Y,,,1,1,
105791,Carcharhinus isodon,Y,105689,105719,0,20,10,0,20,10,-38,42,,,-100,-12,,,133,200,,0.67,130,200,,0.65,,,,7.65,8.2,12.3,4.9,,,,1,1,1,,,,,,2.5,3,2.75,1.1,2,1.466666667,2,2,2,2.6,2.6,2.6,4,4,4,,,,,,,,2,,1,,,,4,Y,Y,,,2,2,2
105792,Carcharhinus leucas,Y,105689,105719,0,164,15.5,0,164,15.5,-39,42,,,-180,180,,,206,360,260,0.57,201,400,260,0.50,1.29,18,27,22.5,24,28,16,,,,1,3,2,4,1,1,1,,1.4,4.5,3.166666667,0,2,1.3,0,2,1.125,2.4,3,2.666666667,,,,1.5,1.5,1.50,,Y,,,2,,1,,,,4,Y,Y,Y,Y,2.5,3,2
105793,Carcharhinus limbatus,Y,105689,105719,0,140,15,0,140,15,-38,45,,,-180,180,,,163,286,150,0.57,176,286,150,0.62,0.85,9,16,12.5,11,15,7,,,,1,3,2,,,,,,2,3.6,2.775,1,3,1.76,1,2,1.5,2.4,3,2.666666667,5,5,5,1.5,1.5,1.50,,Y,,,2,,1,,,,4,Y,Y,,Y,2.333333333,3,1.666666667
105794,Carcharhinus longimanus,Y,105689,105719,0,1082,76,0,1082,76,-43,46,,,-180,180,,,183,400,270,0.46,200,400,270,0.50,1.35,,,20.4,30,30,9.2,18,28,23,3,3.2,3.1,4,2,2,2,,1.5,4.5,3.2375,2,3,2.5,2,2,2,2,3,2.533333333,,,,2.5,2.8,2.65,,,,,2,,1,,,,4,Y,Y,Y,Y,3.75,5,2.5
105795,Carcharhinus melanopterus,Y,105689,105719,0,75,37.5,0,75,37.5,-25,35,,,-180,-134,7,180,100,200,,0.50,102,200,,0.51,,12,17,14.5,15,25,4.2,,,,,,,,1,1,1,,1.5,3,2.25,1,2,1.485714286,1,2,1.5,2.6,3,2.8,1,3,2,1,1.5,1.33,Y,Y,,,2,,1,,,4,4,Y,Y,,,2.375,3,1.75
105796,Carcharhinus obscurus,Y,105689,105719,0,500,300,0,500,300,-46,45,,,-120,156,,,273,420,250,0.65,284,420,250,0.68,0.88,29.8,38,34,40,53,19.8,,,,3,3,3,4,,,,,1.5,4.5,3.085714286,1.5,3,2.125,1,2,1.5,2.4,3,2.666666667,,,,1.5,1.5,1.50,,Y,,,2,,1,,,,4,Y,Y,,Y,3,4,2
105797,Carcharhinus plumbeus,Y,105689,105719,0,280,42.5,0,280,42.5,-41,45,,,-180,180,,,152,300,200,0.51,160,300,200,0.53,1.25,20,26,23,21,27,13,23,27,25,1,3,2,3,,,,,1.5,3.6,2.52,1.3,3,2.0375,1,2,1.5,2,3,2.533333333,,,,,,,,,,,2,,1,,,,4,Y,Y,,Y,3.333333333,4,2.666666667
105798,Carcharhinus signatus,Y,105689,105719,0,600,135.25,0,600,135.25,-43,39,,,-98,15,,,188,280,200,0.67,203,280,200,0.73,0.99,,,16.5,,,,11,16,13.5,2,3,2.5,,,,,,2.5,3,2.75,2,3,2.34,2,2,2,2.6,2.6,2.6,4,4,4,,,,,,,,3,,1,,,,4,Y,Y,,Y,3,4,2
105799,Galeocerdo cuvier,Y,105689,105720,0,1136,50,0,1136,50,-44,62,,,-180,180,,,278,750,500,0.37,310,750,500,0.41,1.61,17.5,22.5,20,27,37,8,,,,2,3,2.5,4,,,,,1,5,2.925,1,3,2.125,1,2,1.5,2,3,2.5,,,,1.5,1.5,1.50,,Y,,,2,,1.75,,,,4,Y,Y,Y,Y,2,2,2
105800,Negaprion brevirostris,Y,105689,105721,0,92,46,0,92,46,-33,45,,,-114,14,,,224,340,240,0.66,239,368,340,0.65,1.42,,,,20.2,37,,,,,1,3,2,3,,,,,1.5,3,2.166666667,1,3,1.733333333,1,2,1.5,2.6,3,2.8,1,3,2,1,1.5,1.38,Y,Y,,,3,,1,,,,4,Y,Y,,Y,2.5,3,2
105801,Prionace glauca,Y,105689,105722,1,1000,110.5,1,1000,110.5,-55,70,,,-180,180,,,201,400,335,0.50,202,380,335,0.53,1.66,10,10.5,10.3,15.5,16,6.5,7,21,14,3,3.2,3.1,4,1,3,2,,2,5,3.3875,1,3,1.825,1,2,1.5,2,3,2.533333333,,,,,,,,,,,2.5,,1,,,,4,Y,Y,Y,Y,1.722222222,2,1.444444444
105802,Rhizoprionodon acutus,Y,105689,105723,1,200,100,1,200,100,-30,41,,,-27,156,,,68,175,110,0.39,77,80.8,110,0.95,1.43,5,7.4,6.2,8,8,4.4,,,,2,3,2.5,5,2,2,2,,1.4,2.5,1.95,0,2,1.22,0,2,1,2.6,3,2.8,,,,,,,,,,,3,,1,,,,4,Y,,,Y,2.5,3,2
105803,Paragaleus pectoralis,Y,105690,105724,0,100,50,0,100,50,30,30,,,,,,,86,140,100,0.61,91,138,100,0.66,1.10,,,13,,,,,,,1,1,1,,3,3,3,,2.5,3,2.75,1.3,2,1.825,2,2,2,3,3,3,,,,,,,,,,,2,,1,,,,4,Y,,,Y,3,4,2
105816,Sphyrna lewini,Y,105694,105730,0,1043,137.5,0,1043,137.5,-39,46,,,-180,180,,,169,430,360,0.39,225,430,360,0.52,1.60,23.7,24.8,24.2,40,43,6.9,,,,3,3,3,2.25,,,,,2,3.6,2.471428571,1,3,2,1,2,1.5,2,3,2.466666667,1,4,2.333333333,,,,,,,,2.5,,1,,,,4,Y,Y,Y,Y,3.5,5,2
