step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc,val_path_loss,val_path_acc
1,1,4.604955137634278,0.0132,mean: 4.7266004835367195,mean: 0.009996875000000004,1749066511.7171829,2025/06/05 04:48:31,13.459535837173462,13.5s,5.89836859703064,5.898486137390137,0.07456755638122559,,,,
2,2,4.5935522621154785,0.0192,mean: 4.708224857640267,mean: 0.010634374999999998,1749066533.406615,2025/06/05 04:48:53,35.1489679813385,35.1s,16.06299090385437,11.484357595443726,0.13424134254455566,4.587762266540527,0.0275,mean: 4.67694426560402,mean: 0.011323437500000004
3,3,4.579954888153076,0.0274,mean: 4.692705805873873,mean: 0.01116875,1749066545.8805776,2025/06/05 04:49:05,47.6229305267334,47.6s,21.725391387939453,17.146883249282837,0.19348597526550293,,,,
4,4,4.561734061431885,0.0352,mean: 4.682138924765585,mean: 0.011756249999999998,1749066567.7068517,2025/06/05 04:49:27,69.44920468330383,1.2m,31.34617567062378,23.036191701889038,0.2559778690338135,4.544542135620117,0.0407,mean: 4.675304539275171,mean: 0.012265624999999997
5,5,4.540515271759033,0.037,mean: 4.676873466491698,mean: 0.012150000000000005,1749066580.6309788,2025/06/05 04:49:40,82.37333178520203,1.4m,37.23004078865051,28.9202139377594,0.3178291320800781,,,,
6,6,4.515208494567871,0.0376,mean: 4.67864335179329,mean: 0.013343749999999998,1749066601.9469686,2025/06/05 04:50:01,103.68932151794434,1.7m,47.557668924331665,34.639888048172,0.3925795555114746,4.493798541259766,0.041,mean: 4.697906730413439,mean: 0.013579687500000003
7,7,4.492027262115479,0.0402,mean: 4.688764596295355,mean: 0.013765624999999995,1749066614.9764597,2025/06/05 04:50:14,116.7188127040863,1.9m,53.40034341812134,40.48273324966431,0.45683765411376953,,,,
8,8,4.468809616851806,0.0418,mean: 4.695606166601183,mean: 0.014078125,1749066636.8246927,2025/06/05 04:50:36,138.56704568862915,2.3m,63.59944486618042,46.14232683181763,0.5159666538238525,4.452129428863525,0.0456,mean: 4.721735209202765,mean: 0.014449999999999998
9,9,4.445802114868164,0.0462,mean: 4.707780280017854,mean: 0.014553124999999998,1749066649.927878,2025/06/05 04:50:49,151.67023086547852,2.5m,69.5746545791626,52.117674112319946,0.5773015022277832,,,,
10,10,4.423844295501709,0.0502,mean: 4.725308043551447,mean: 0.015006249999999997,1749066671.7202404,2025/06/05 04:51:11,173.46259331703186,2.9m,79.41113829612732,57.78364968299866,0.6899828910827637,4.4216884445190425,0.047,mean: 4.730969676947593,mean: 0.015135937499999998
