step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc,val_path_loss,val_path_acc
1,1,4.983034885406494,0.015,mean: 4.983034885406494,mean: 0.015,1749069888.783484,2025/06/05 05:44:48,2.7175204753875732,2.7s,0.11198616027832031,0.11200690269470215,0.05634355545043945,,,,
2,2,4.52795991897583,0.032,mean: 4.52795991897583,mean: 0.032,1749069891.2131605,2025/06/05 05:44:51,5.147197008132935,5.1s,0.20241332054138184,0.2024669647216797,0.12274694442749023,,,,
3,3,4.326133689880371,0.033,mean: 4.326133689880371,mean: 0.033,1749069893.9946618,2025/06/05 05:44:53,7.928698301315308,7.9s,0.31228089332580566,0.31235408782958984,0.1797161102294922,,,,
4,4,4.170146377563476,0.047,mean: 4.170146377563476,mean: 0.047,1749069896.5219035,2025/06/05 05:44:56,10.455940008163452,10.5s,0.4140777587890625,0.41417431831359863,0.23744988441467285,,,,
5,5,4.088465984344483,0.051,mean: 4.088465984344483,mean: 0.051,1749069898.8417766,2025/06/05 05:44:58,12.775813102722168,12.8s,0.5084466934204102,0.5085639953613281,0.2969400882720947,,,,
6,6,3.9731399002075194,0.06,mean: 3.9731399002075194,mean: 0.06,1749069901.5188432,2025/06/05 05:45:01,15.452879667282104,15.5s,0.5893452167510986,0.5894804000854492,0.35428786277770996,,,,
7,7,3.886750072479248,0.073,mean: 3.886750072479248,mean: 0.073,1749069904.0406868,2025/06/05 05:45:04,17.97472333908081,18.0s,0.6952500343322754,0.6954026222229004,0.4145967960357666,,,,
8,8,3.8441851749420164,0.074,mean: 3.8441851749420164,mean: 0.074,1749069906.4284322,2025/06/05 05:45:06,20.362468719482422,20.4s,0.7956407070159912,0.7958207130432129,0.47295379638671875,,,,
9,9,3.7468456211090087,0.097,mean: 3.7468456211090087,mean: 0.097,1749069908.852579,2025/06/05 05:45:08,22.78661561012268,22.8s,0.8970005512237549,0.8972029685974121,0.531510591506958,,,,
10,10,3.6630680561065674,0.102,mean: 3.6630680561065674,mean: 0.102,1749069920.39028,2025/06/05 05:45:20,34.32431650161743,34.3s,1.2383744716644287,1.0012547969818115,0.5909311771392822,4.503345919799805,0.0569,mean: 4.503345919799805,mean: 0.0569
11,11,3.5496972694396973,0.123,mean: 3.5496972694396973,mean: 0.123,1749069923.2600648,2025/06/05 05:45:23,37.194101333618164,37.2s,1.3510243892669678,1.1139271259307861,0.721890926361084,,,,
12,12,3.4908967208862305,0.143,mean: 3.4908967208862305,mean: 0.143,1749069925.7721615,2025/06/05 05:45:25,39.70619797706604,39.7s,1.429044246673584,1.191969871520996,0.7770595550537109,,,,
13,13,3.445930303573608,0.133,mean: 3.445930303573608,mean: 0.133,1749069928.0993109,2025/06/05 05:45:28,42.033347368240356,42.0s,1.530155897140503,1.2931032180786133,0.8339729309082031,,,,
14,14,3.3303546447753907,0.138,mean: 3.3303546447753907,mean: 0.138,1749069930.6090853,2025/06/05 05:45:30,44.54312181472778,44.5s,1.5993342399597168,1.3623030185699463,0.8904454708099365,,,,
15,15,3.3105096645355223,0.131,mean: 3.3105096645355223,mean: 0.131,1749069933.2570143,2025/06/05 05:45:33,47.19105076789856,47.2s,1.7296717166900635,1.4926626682281494,0.960993766784668,,,,
16,16,3.185193452835083,0.162,mean: 3.185193452835083,mean: 0.162,1749069935.6541452,2025/06/05 05:45:35,49.58818173408508,49.6s,1.8352792263031006,1.5982880592346191,1.0176825523376465,,,,
17,17,3.1272152156829836,0.162,mean: 3.1272152156829836,mean: 0.162,1749069938.0625625,2025/06/05 05:45:38,51.996598958969116,52.0s,1.9079267978668213,1.6709563732147217,1.0785784721374512,,,,
18,18,3.008278293609619,0.195,mean: 3.008278293609619,mean: 0.195,1749069940.737788,2025/06/05 05:45:40,54.67182445526123,54.7s,2.0192224979400635,1.7822716236114502,1.1360459327697754,,,,
19,19,2.89336643409729,0.197,mean: 2.89336643409729,mean: 0.197,1749069943.2630901,2025/06/05 05:45:43,57.197126626968384,57.2s,2.1155240535736084,1.8785946369171143,1.1918258666992188,,,,
20,20,2.8462768268585203,0.217,mean: 2.8462768268585203,mean: 0.217,1749069954.8100805,2025/06/05 05:45:54,68.74411702156067,1.1m,2.4386610984802246,1.9453577995300293,1.250760793685913,4.92431876373291,0.0778,mean: 4.92431876373291,mean: 0.0778
21,21,2.6918638916015625,0.251,mean: 2.6918638916015625,mean: 0.251,1749069957.39161,2025/06/05 05:45:57,71.32564640045166,1.2m,2.5271692276000977,2.033886194229126,1.306901216506958,,,,
