run_id,model_arc,train_dataset,val_dataset,num_classes,train_trans,val_trans,train_ndata,val_ndata,epochs,max_lr,batch_size,iters/epoch,iters,target_steps,ndata_per_class,fils,ensembles,base_fils,criterion,optimizer,scheduler,step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc,val_path_loss,val_path_acc
0,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",10000,10000,3000,0.1,128,79,237000,30000000,100.0,32,1,32,CrossEntropyLoss,SGD,CosineAnnealingLR,mean: 1500.5,mean: 1500.5,mean: 0.4586384862088289,mean: 0.8643794999999979,,,mean: 1748983379.4289427,,mean: 9764.923985999028,,mean: 860.172299343268,mean: 852.8330802799861,mean: 96.9898742014567,mean: 3.6115373124866488,mean: 0.38772100000000004,,
1,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",10000,10000,3000,0.1,128,79,237000,30000000,100.0,4,64,32,CrossEntropyLoss,SGD,CosineAnnealingLR,mean: 1500.5,mean: 1500.5,mean: 2.855582454971949,mean: 0.3446240999999997,,,mean: 1748983379.4289427,,mean: 9764.923985999028,,mean: 8657.001204211236,mean: 8561.276580397049,mean: 96.9898742014567,mean: 3.105976441013336,mean: 0.250822,,
2,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",5000,10000,6000,0.1,128,40,240000,30000000,50.0,32,1,32,CrossEntropyLoss,SGD,CosineAnnealingLR,mean: 3000.5,mean: 3000.5,mean: 0.42011937634524477,mean: 0.8815021999999986,,,mean: 1749003367.8453448,,mean: 10169.801624040922,,mean: 879.6429610184034,mean: 872.2547843942244,mean: 179.001595091184,mean: 4.721904110275268,mean: 0.298867,,
3,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",5000,10000,6000,0.1,128,40,240000,30000000,50.0,4,64,32,CrossEntropyLoss,SGD,CosineAnnealingLR,mean: 3000.5,mean: 3000.5,mean: 3.3630010995688795,mean: 0.23802286666666747,,,mean: 1749003367.8453448,,mean: 10169.801624040922,,mean: 8687.785569110194,mean: 8592.031186546326,mean: 179.001595091184,mean: 3.7253519036254885,mean: 0.14625300000000002,,
4,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",3000,10000,10000,0.1,128,24,240000,30000000,30.0,32,1,32,CrossEntropyLoss,SGD,CosineAnnealingLR,mean: 5000.5,mean: 5000.5,mean: 0.12829794520761112,mean: 0.9679472333333293,,,mean: 1749024713.4276874,,mean: 10955.049871291805,,mean: 895.3604803147792,mean: 887.9423148262978,mean: 288.9540948460817,mean: 4.476062598258972,mean: 0.25635199999999997,,
5,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",3000,10000,10000,0.1,128,24,240000,30000000,30.0,4,64,32,CrossEntropyLoss,SGD,CosineAnnealingLR,mean: 5000.5,mean: 5000.5,mean: 1.6487380723760912,mean: 0.6693844666666658,,,mean: 1749024713.4276874,,mean: 10955.049871291805,,mean: 8764.334774510025,mean: 8667.981394281722,mean: 288.9540948460817,mean: 3.633677441547394,mean: 0.19868200000000003,,
6,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",2000,10000,15000,0.1,128,16,240000,30000000,20.0,32,1,32,CrossEntropyLoss,SGD,CosineAnnealingLR,mean: 7500.5,mean: 7500.5,mean: 0.09296119719659672,mean: 0.978106299999982,,,mean: 1749048574.8158586,,mean: 12168.254564924939,,mean: 898.8070185206573,mean: 891.4258009738604,mean: 421.99069820747377,mean: 4.779250472831726,mean: 0.20442900000000003,,
7,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",2000,10000,15000,0.1,128,16,240000,30000000,20.0,4,64,32,CrossEntropyLoss,SGD,CosineAnnealingLR,mean: 7500.5,mean: 7500.5,mean: 1.131001202706216,mean: 0.8191611000000023,,,mean: 1749048574.8158586,,mean: 12168.254564924939,,mean: 8709.020166473358,mean: 8612.955063423666,mean: 421.99069820747377,mean: 4.044809682926178,mean: 0.157916,,
8,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",1000,10000,30000,0.1,128,8,240000,30000000,10.0,32,1,32,CrossEntropyLoss,SGD,CosineAnnealingLR,mean: 15000.5,mean: 15000.5,mean: 0.05856706677635073,mean: 0.9878462333332565,,,mean: 1749082689.6454544,,mean: 20602.275028348755,,mean: 1138.7101703476112,mean: 1129.5584437927803,mean: 856.7370970713298,mean: 5.350381834346772,mean: 0.14363399999999998,,
9,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",1000,10000,30000,0.1,128,8,240000,30000000,10.0,4,64,32,CrossEntropyLoss,SGD,CosineAnnealingLR,mean: 15000.5,mean: 15000.5,mean: 0.6400124663810937,mean: 0.9553106666666813,,,mean: 1749082689.6454544,,mean: 20602.275028348755,,mean: 11071.459762823184,mean: 10940.81601311527,mean: 856.7370970713298,mean: 4.401734437263489,mean: 0.10710000000000001,,
