step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc,val_path_loss,val_path_acc
1,1,4.705176132202149,0.0195,mean: 4.705176132202149,mean: 0.0195,1749036408.5084739,2025/06/04 20:26:48,1.947183609008789,1.9s,0.17894864082336426,0.17899680137634277,0.059287309646606445,,,,
2,2,4.38244144821167,0.037,mean: 4.38244144821167,mean: 0.037,1749036410.0364864,2025/06/04 20:26:50,3.475196123123169,3.5s,0.3115115165710449,0.31160831451416016,0.12233972549438477,,,,
3,3,4.165243019104004,0.057,mean: 4.165243019104004,mean: 0.057,1749036411.5242257,2025/06/04 20:26:51,4.962935447692871,5.0s,0.44220495223999023,0.44234180450439453,0.18473362922668457,,,,
4,4,3.9924736518859865,0.072,mean: 3.9924736518859865,mean: 0.072,1749036412.9467103,2025/06/04 20:26:52,6.385420083999634,6.4s,0.5581636428833008,0.5583369731903076,0.23946261405944824,,,,
5,5,3.8647650299072267,0.077,mean: 3.8647650299072267,mean: 0.077,1749036414.377938,2025/06/04 20:26:54,7.81664776802063,7.8s,0.6742362976074219,0.6744449138641357,0.29748082160949707,,,,
6,6,3.798429521560669,0.093,mean: 3.798429521560669,mean: 0.093,1749036415.8015227,2025/06/04 20:26:55,9.240232467651367,9.2s,0.7901036739349365,0.7903468608856201,0.35295963287353516,,,,
7,7,3.6571911029815674,0.106,mean: 3.6571911029815674,mean: 0.106,1749036417.230299,2025/06/04 20:26:57,10.669008731842041,10.7s,0.9086966514587402,0.908973217010498,0.4073355197906494,,,,
8,8,3.5528346290588377,0.1155,mean: 3.5528346290588377,mean: 0.1155,1749036418.6530452,2025/06/04 20:26:58,12.091754913330078,12.1s,1.0245418548583984,1.0248539447784424,0.46187376976013184,,,,
9,9,3.458756441116333,0.141,mean: 3.458756441116333,mean: 0.141,1749036420.0898554,2025/06/04 20:27:00,13.528565168380737,13.5s,1.1432075500488281,1.1435611248016357,0.5175654888153076,,,,
10,10,3.328887393951416,0.166,mean: 3.328887393951416,mean: 0.166,1749036421.507808,2025/06/04 20:27:01,14.946517705917358,14.9s,1.259106159210205,1.2594923973083496,0.5724124908447266,,,,
11,11,3.2008160552978517,0.1885,mean: 3.2008160552978517,mean: 0.1885,1749036422.934248,2025/06/04 20:27:02,16.372957706451416,16.4s,1.3755509853363037,1.3759710788726807,0.6277060508728027,,,,
12,12,3.1310021076202394,0.19,mean: 3.1310021076202394,mean: 0.19,1749036424.3661244,2025/06/04 20:27:04,17.804834127426147,17.8s,1.4946746826171875,1.495128870010376,0.683504581451416,,,,
13,13,2.994552886962891,0.231,mean: 2.994552886962891,mean: 0.231,1749036425.846606,2025/06/04 20:27:05,19.28531575202942,19.3s,1.6187772750854492,1.6192715167999268,0.7570981979370117,,,,
14,14,2.8318699684143067,0.2745,mean: 2.8318699684143067,mean: 0.2745,1749036427.2865276,2025/06/04 20:27:07,20.725237369537354,20.7s,1.7377004623413086,1.7382307052612305,0.8135554790496826,,,,
15,15,2.7499422569274903,0.274,mean: 2.7499422569274903,mean: 0.274,1749036428.7155187,2025/06/04 20:27:08,22.154228448867798,22.2s,1.8540668487548828,1.8546302318572998,0.8697683811187744,,,,
16,16,2.657890781402588,0.288,mean: 2.657890781402588,mean: 0.288,1749036430.1850588,2025/06/04 20:27:10,23.62376856803894,23.6s,1.9812476634979248,1.9818449020385742,0.9294660091400146,,,,
17,17,2.4725750579833985,0.3305,mean: 2.4725750579833985,mean: 0.3305,1749036431.6394653,2025/06/04 20:27:11,25.07817506790161,25.1s,2.104278087615967,2.104912757873535,0.9855713844299316,,,,
18,18,2.324413185119629,0.3625,mean: 2.324413185119629,mean: 0.3625,1749036433.0829859,2025/06/04 20:27:13,26.521695613861084,26.5s,2.2219767570495605,2.222649574279785,1.043116807937622,,,,
19,19,2.2660124492645264,0.373,mean: 2.2660124492645264,mean: 0.373,1749036434.5303638,2025/06/04 20:27:14,27.96907353401184,28.0s,2.339792490005493,2.340500831604004,1.1004045009613037,,,,
20,20,2.160891361236572,0.4055,mean: 2.160891361236572,mean: 0.4055,1749036435.991597,2025/06/04 20:27:15,29.430306673049927,29.4s,2.460007429122925,2.4607555866241455,1.1582720279693604,,,,
21,21,2.046224967956543,0.4305,mean: 2.046224967956543,mean: 0.4305,1749036437.429053,2025/06/04 20:27:17,30.867762804031372,30.9s,2.579019069671631,2.579801321029663,1.2155466079711914,,,,
22,22,1.9143171939849855,0.4785,mean: 1.9143171939849855,mean: 0.4785,1749036438.8622265,2025/06/04 20:27:18,32.300936222076416,32.3s,2.695962905883789,2.6967806816101074,1.272472858428955,,,,
23,23,1.8163216667175293,0.4765,mean: 1.8163216667175293,mean: 0.4765,1749036440.293944,2025/06/04 20:27:20,33.73265361785889,33.7s,2.814600706100464,2.815458059310913,1.3303132057189941,,,,
24,24,1.629361150741577,0.5175,mean: 1.629361150741577,mean: 0.5175,1749036441.7255127,2025/06/04 20:27:21,35.16422247886658,35.2s,2.932168960571289,2.933061122894287,1.3874881267547607,,,,
25,25,1.5068148860931396,0.562,mean: 1.5068148860931396,mean: 0.562,1749036443.1438344,2025/06/04 20:27:23,36.58254408836365,36.6s,3.0498573780059814,3.0507848262786865,1.445448875427246,,,,
26,26,1.4534866523742676,0.5725,mean: 1.4534866523742676,mean: 0.5725,1749036444.5774598,2025/06/04 20:27:24,38.01616954803467,38.0s,3.1673736572265625,3.168335437774658,1.5061016082763672,,,,
27,27,1.2547013139724732,0.633,mean: 1.2547013139724732,mean: 0.633,1749036446.0033398,2025/06/04 20:27:26,39.442049503326416,39.4s,3.2840983867645264,3.285093069076538,1.5621731281280518,,,,
28,28,1.1426631631851196,0.6685,mean: 1.1426631631851196,mean: 0.6685,1749036447.430863,2025/06/04 20:27:27,40.86957263946533,40.9s,3.401228189468384,3.402257204055786,1.6192045211791992,,,,
29,29,1.064032262802124,0.676,mean: 1.064032262802124,mean: 0.676,1749036448.8552306,2025/06/04 20:27:28,42.29394030570984,42.3s,3.5186407566070557,3.519705295562744,1.6754114627838135,,,,
30,30,0.9994370508193969,0.6965,mean: 0.9994370508193969,mean: 0.6965,1749036450.2823393,2025/06/04 20:27:30,43.721049070358276,43.7s,3.636320114135742,3.637418508529663,1.7346370220184326,,,,
31,31,0.9391853122711181,0.726,mean: 0.9391853122711181,mean: 0.726,1749036451.7272327,2025/06/04 20:27:31,45.165942430496216,45.2s,3.753728151321411,3.7548608779907227,1.7909443378448486,,,,
32,32,0.8781259126663208,0.736,mean: 0.8781259126663208,mean: 0.736,1749036453.1523924,2025/06/04 20:27:33,46.5911021232605,46.6s,3.871307373046875,3.8724753856658936,1.8478455543518066,,,,
33,33,0.8069373903274536,0.76,mean: 0.8069373903274536,mean: 0.76,1749036454.6021974,2025/06/04 20:27:34,48.04090714454651,48.0s,3.9914958477020264,3.992699384689331,1.9049041271209717,,,,
34,34,0.7635779752731323,0.768,mean: 0.7635779752731323,mean: 0.768,1749036456.0427196,2025/06/04 20:27:36,49.4814293384552,49.5s,4.111321687698364,4.112560510635376,1.9615614414215088,,,,
35,35,0.6821141476631165,0.801,mean: 0.6821141476631165,mean: 0.801,1749036457.4692118,2025/06/04 20:27:37,50.90792155265808,50.9s,4.22814416885376,4.229416847229004,2.0186400413513184,,,,
36,36,0.6227458429336548,0.828,mean: 0.6227458429336548,mean: 0.828,1749036458.9038727,2025/06/04 20:27:38,52.34258246421814,52.3s,4.346014022827148,4.3473286628723145,2.0772643089294434,,,,
37,37,0.5707998514175415,0.835,mean: 0.5707998514175415,mean: 0.835,1749036460.330984,2025/06/04 20:27:40,53.76969385147095,53.8s,4.463705778121948,4.465057373046875,2.1344447135925293,,,,
38,38,0.56844482421875,0.8305,mean: 0.56844482421875,mean: 0.8305,1749036461.7590797,2025/06/04 20:27:41,55.197789430618286,55.2s,4.580374240875244,4.5817601680755615,2.191084861755371,,,,
39,39,0.6095165634155273,0.8215,mean: 0.6095165634155273,mean: 0.8215,1749036463.2021563,2025/06/04 20:27:43,56.64086604118347,56.6s,4.69846510887146,4.699887275695801,2.247993230819702,,,,
40,40,0.5999984064102173,0.8225,mean: 0.5999984064102173,mean: 0.8225,1749036464.6328928,2025/06/04 20:27:44,58.07160258293152,58.1s,4.815668821334839,4.817126274108887,2.305299997329712,,,,
41,41,0.5135201444625854,0.854,mean: 0.5135201444625854,mean: 0.854,1749036466.0550044,2025/06/04 20:27:46,59.49371409416199,59.5s,4.932599067687988,4.934090852737427,2.3629138469696045,,,,
42,42,0.40987434387207033,0.8845,mean: 0.40987434387207033,mean: 0.8845,1749036467.4772048,2025/06/04 20:27:47,60.91591453552246,1.0m,5.0498762130737305,5.05140495300293,2.4203789234161377,,,,
43,43,0.39240891313552856,0.887,mean: 0.39240891313552856,mean: 0.887,1749036468.9132557,2025/06/04 20:27:48,62.35196542739868,1.0m,5.168180227279663,5.169744491577148,2.4773502349853516,,,,
44,44,0.37639427947998044,0.888,mean: 0.37639427947998044,mean: 0.888,1749036470.3387945,2025/06/04 20:27:50,63.777504205703735,1.1m,5.286406993865967,5.288006782531738,2.5343234539031982,,,,
45,45,0.3384153242111206,0.9055,mean: 0.3384153242111206,mean: 0.9055,1749036471.7693546,2025/06/04 20:27:51,65.20806431770325,1.1m,5.404118776321411,5.405752658843994,2.5923943519592285,,,,
46,46,0.29977647829055787,0.9155,mean: 0.29977647829055787,mean: 0.9155,1749036473.2349133,2025/06/04 20:27:53,66.67362308502197,1.1m,5.52735447883606,5.52902364730835,2.6496827602386475,,,,
47,47,0.23596289324760436,0.936,mean: 0.23596289324760436,mean: 0.936,1749036474.663661,2025/06/04 20:27:54,68.10237073898315,1.1m,5.644695281982422,5.646400690078735,2.7068674564361572,,,,
48,48,0.22077650666236878,0.947,mean: 0.22077650666236878,mean: 0.947,1749036476.088002,2025/06/04 20:27:56,69.5267117023468,1.2m,5.760944366455078,5.762684345245361,2.7629594802856445,,,,
49,49,0.18610770332813262,0.952,mean: 0.18610770332813262,mean: 0.952,1749036477.5146146,2025/06/04 20:27:57,70.95332431793213,1.2m,5.876897096633911,5.878672122955322,2.8227529525756836,,,,
50,50,0.201817880153656,0.9465,mean: 0.201817880153656,mean: 0.9465,1749036478.9400263,2025/06/04 20:27:58,72.37873601913452,1.2m,5.994139671325684,5.995951175689697,2.8795413970947266,,,,
51,51,0.236635160446167,0.931,mean: 0.236635160446167,mean: 0.931,1749036480.3773239,2025/06/04 20:28:00,73.81603360176086,1.2m,6.114715337753296,6.116564035415649,2.936283826828003,,,,
52,52,0.18835080337524415,0.948,mean: 0.18835080337524415,mean: 0.948,1749036481.7978804,2025/06/04 20:28:01,75.23659014701843,1.3m,6.231625318527222,6.233508825302124,2.992804765701294,,,,
53,53,0.21606935238838196,0.9455,mean: 0.21606935238838196,mean: 0.9455,1749036483.2337625,2025/06/04 20:28:03,76.67247223854065,1.3m,6.348639726638794,6.350557565689087,3.048346757888794,,,,
54,54,0.23425658524036408,0.937,mean: 0.23425658524036408,mean: 0.937,1749036484.6597116,2025/06/04 20:28:04,78.09842133522034,1.3m,6.466245412826538,6.468199253082275,3.1042096614837646,,,,
55,55,0.2007886792421341,0.9495,mean: 0.2007886792421341,mean: 0.9495,1749036486.0859818,2025/06/04 20:28:06,79.52469158172607,1.3m,6.582639932632446,6.5846288204193115,3.1614344120025635,,,,
