run_id,model_arc,train_dataset,val_dataset,num_classes,train_trans,val_trans,train_ndata,val_ndata,epochs,max_lr,batch_size,iters/epoch,iters,target_steps,ndata_per_class,fils,ensembles,base_fils,criterion,optimizer,scheduler,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc
0,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",10000,10000,200,3.0,128,79,15800,2000000,100.0,32,1,32,CrossEntropyLoss,SGD,CosineAnnealingLR,200,4.661695099639893,0.0093,mean: 4.661695099639893,mean: 0.0093,1748883294.462141,2025/06/03 01:54:54,1535.193238735199,25.6m,142.15479493141174,126.9226713180542,12.587335348129272,4.659060270690918,0.01
1,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",10000,10000,200,3.0,128,79,15800,2000000,100.0,4,64,32,CrossEntropyLoss,SGD,CosineAnnealingLR,200,4.5167898811340335,0.0189,mean: 4.791602178597443,mean: 0.00964687500000001,1748883294.462141,2025/06/03 01:54:54,1535.193238735199,25.6m,1357.8188598155975,1167.9932806491852,12.587335348129272,4.542054452514648,0.0101
2,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",10000,10000,200,1.0,128,79,15800,2000000,100.0,32,1,32,CrossEntropyLoss,SGD,CosineAnnealingLR,200,3.2212082000732423,0.2109,mean: 3.2212082000732423,mean: 0.2109,1748884827.7283545,2025/06/03 02:20:27,1533.080316543579,25.6m,142.41178441047668,127.09427237510681,13.213910102844238,5.146967009735107,0.0671
3,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",10000,10000,200,1.0,128,79,15800,2000000,100.0,4,64,32,CrossEntropyLoss,SGD,CosineAnnealingLR,200,4.0507098636627195,0.0938,mean: 6.407608173179623,mean: 0.009515624999999998,1748884827.7283545,2025/06/03 02:20:27,1533.080316543579,25.6m,1353.6087589263916,1163.738159418106,13.213910102844238,4.174991335296631,0.0601
4,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",10000,10000,200,0.3,128,79,15800,2000000,100.0,32,1,32,CrossEntropyLoss,SGD,CosineAnnealingLR,200,1.4069840995788574,0.5998,mean: 1.4069840995788574,mean: 0.5998,1748886366.0240932,2025/06/03 02:46:06,1538.0992147922516,25.6m,142.83979082107544,127.38401699066162,13.16803503036499,4.607351708221436,0.2504
5,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",10000,10000,200,0.3,128,79,15800,2000000,100.0,4,64,32,CrossEntropyLoss,SGD,CosineAnnealingLR,200,3.407960947799683,0.225,mean: 8.826497218811511,mean: 0.012982812500000001,1748886366.0240932,2025/06/03 02:46:06,1538.0992147922516,25.6m,1357.353038072586,1167.0752623081207,13.16803503036499,4.237220446014405,0.0676
6,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",10000,10000,200,0.1,128,79,15800,2000000,100.0,32,1,32,CrossEntropyLoss,SGD,CosineAnnealingLR,200,0.4689119408607483,0.8597,mean: 0.4689119408607483,mean: 0.8597,1748887905.0242863,2025/06/03 03:11:45,1538.7964038848877,25.6m,142.95598554611206,127.50045084953308,13.189807415008545,4.001986922454834,0.3565
7,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",10000,10000,200,0.1,128,79,15800,2000000,100.0,4,64,32,CrossEntropyLoss,SGD,CosineAnnealingLR,200,2.9056549713134765,0.3371,mean: 10.296784069526193,mean: 0.0154609375,1748887905.0242863,2025/06/03 03:11:45,1538.7964038848877,25.6m,1357.192358970642,1167.164112329483,13.189807415008545,2.9977649085998537,0.2673
8,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",10000,10000,200,0.03,128,79,15800,2000000,100.0,32,1,32,CrossEntropyLoss,SGD,CosineAnnealingLR,200,0.07661611782312393,0.9834,mean: 0.07661611782312393,mean: 0.9834,1748889449.982645,2025/06/03 03:37:29,1544.7481241226196,25.7m,143.58794713020325,128.05873465538025,13.274684429168701,2.9315794052124025,0.4494
9,ee_tools.models.resnet_git_ee resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), RandomRotation(degrees=[-15.0, 15.0], interpolation=InterpolationMode.NEAREST, expand=False, fill=0), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.2673342823982239, 0.2564384639263153, 0.2761504650115967])]",10000,10000,200,0.03,128,79,15800,2000000,100.0,4,64,32,CrossEntropyLoss,SGD,CosineAnnealingLR,200,3.0711900714874267,0.3145,mean: 8.336746982812882,mean: 0.018224999999999995,1748889449.982645,2025/06/03 03:37:29,1544.7481241226196,25.7m,1361.728696346283,1171.6487872600555,13.274684429168701,3.0760399322509766,0.2546
