step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc
1,1,4.71591828918457,0.0155,mean: 4.71591828918457,mean: 0.0155,1748924656.7752507,2025/06/03 13:24:16,1.5803868770599365,1.6s,0.13872933387756348,0.13877534866333008,0.05713844299316406,,
2,2,4.389250988006592,0.041,mean: 4.389250988006592,mean: 0.041,1748924658.2376857,2025/06/03 13:24:18,3.0428218841552734,3.0s,0.27820420265197754,0.27830004692077637,0.11609172821044922,,
3,3,4.156338645935058,0.0545,mean: 4.156338645935058,mean: 0.0545,1748924659.6963975,2025/06/03 13:24:19,4.50153374671936,4.5s,0.41522669792175293,0.41536974906921387,0.18502068519592285,,
4,4,3.980149574279785,0.074,mean: 3.980149574279785,mean: 0.074,1748924661.0812728,2025/06/03 13:24:21,5.886409044265747,5.9s,0.5450541973114014,0.5452373027801514,0.24030685424804688,,
5,5,3.820366512298584,0.0965,mean: 3.820366512298584,mean: 0.0965,1748924662.4660432,2025/06/03 13:24:22,7.271179437637329,7.3s,0.6752414703369141,0.6754660606384277,0.29594969749450684,,
6,6,3.6889551277160644,0.12,mean: 3.6889551277160644,mean: 0.12,1748924663.8360894,2025/06/03 13:24:23,8.641225576400757,8.6s,0.8053226470947266,0.8055875301361084,0.35052919387817383,,
7,7,3.587217685699463,0.1335,mean: 3.587217685699463,mean: 0.1335,1748924665.216919,2025/06/03 13:24:25,10.02205514907837,10.0s,0.9353327751159668,0.9356367588043213,0.40564918518066406,,
8,8,3.460516065597534,0.134,mean: 3.460516065597534,mean: 0.134,1748924666.5987732,2025/06/03 13:24:26,11.40390944480896,11.4s,1.065082311630249,1.0654242038726807,0.46236562728881836,,
9,9,3.3678918762207033,0.1635,mean: 3.3678918762207033,mean: 0.1635,1748924668.0111852,2025/06/03 13:24:28,12.81632137298584,12.8s,1.1961843967437744,1.1965699195861816,0.5175642967224121,,
10,10,3.220867338180542,0.188,mean: 3.220867338180542,mean: 0.188,1748924671.4960825,2025/06/03 13:24:31,16.30121874809265,16.3s,1.4822156429290771,1.3267297744750977,0.5720901489257812,4.136639376068115,0.0981
11,11,3.0913462104797365,0.207,mean: 3.0913462104797365,mean: 0.207,1748924673.110598,2025/06/03 13:24:33,17.91573429107666,17.9s,1.6134278774261475,1.4579815864562988,0.6288456916809082,,
