step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,val_loss,val_acc,val_path_loss,val_path_acc,param_l2norm_layer,param_l2norm,grad_l2norm_layer,grad_l2norm,dur_total_core,dur_train_core,dur_dl_train
1,1,4.565836331685384,0.019666666666666666,last: 4.6969965502421065,last: 0.014666666666666666,,,,,(nested_data),112.48055267333984,(nested_data),1.2077593803405762,0.8594660758972168,0.8595151901245117,0.057949066162109375
2,2,4.377375827789306,0.035666666666666666,last: 4.644581565856933,last: 0.020666666666666667,,,,,(nested_data),112.5583267211914,(nested_data),1.202095627784729,1.648115873336792,1.6482300758361816,0.11458444595336914
3,3,4.147151495615641,0.06166666666666667,last: 4.660386185963948,last: 0.025333333333333333,,,,,(nested_data),112.66960144042969,(nested_data),1.3080235719680786,2.452279806137085,2.4524688720703125,0.18183064460754395
4,4,3.959263813018799,0.08266666666666667,last: 4.789253733317057,last: 0.031,,,,,(nested_data),112.80049896240234,(nested_data),1.4733723402023315,3.222426414489746,3.222662925720215,0.24494171142578125
5,5,3.796237545649211,0.10566666666666667,last: 4.962750115712484,last: 0.038,,,,,(nested_data),112.94778442382812,(nested_data),1.6963013410568237,4.010670185089111,4.010963439941406,0.3012564182281494
6,6,3.6734345645904543,0.12633333333333333,last: 5.193040744781494,last: 0.036,,,,,(nested_data),113.10313415527344,(nested_data),1.6172709465026855,4.780020236968994,4.780359506607056,0.3578813076019287
7,7,3.5426436545054116,0.15066666666666667,last: 5.260877590179444,last: 0.04033333333333333,4.467464484405518,0.1049,last: 6.188800958251953,last: 0.0328,(nested_data),113.27336120605469,(nested_data),1.625780701637268,6.558372497558594,5.568275451660156,0.4157705307006836
8,8,3.4461998685201007,0.168,last: 5.557782113393148,last: 0.03833333333333333,,,,,(nested_data),113.45536804199219,(nested_data),1.872625708580017,7.371721506118774,6.3816752433776855,0.4731414318084717
9,9,3.352705677032471,0.17766666666666667,last: 5.6893283589680985,last: 0.038,,,,,(nested_data),113.6407699584961,(nested_data),1.8194628953933716,8.14516019821167,7.155156373977661,0.5295252799987793
10,10,3.224830587387085,0.191,last: 5.784655337015788,last: 0.04766666666666667,,,,,(nested_data),113.84080505371094,(nested_data),1.8115394115447998,8.921225786209106,7.931277275085449,0.5869925022125244
11,11,3.1381704305013023,0.21433333333333332,last: 5.93737317276001,last: 0.051333333333333335,,,,,(nested_data),114.05060577392578,(nested_data),2.1676065921783447,9.725202798843384,8.735313653945923,0.645021915435791
12,12,3.0501487585703533,0.22,last: 6.319492900848389,last: 0.043,,,,,(nested_data),114.26591491699219,(nested_data),2.3331634998321533,10.526208877563477,9.536377191543579,0.7061057090759277
13,13,2.96203027788798,0.24666666666666667,last: 6.351102972666422,last: 0.047,,,,,(nested_data),114.49378204345703,(nested_data),1.934851050376892,11.339309692382812,10.349545240402222,0.7636837959289551
14,14,2.881754341761271,0.2723333333333333,last: 6.514872130076091,last: 0.05,3.796546734619141,0.1674,last: 9.0928470703125,last: 0.0392,(nested_data),114.72515869140625,(nested_data),2.0398612022399902,13.168575286865234,11.148990392684937,0.8214724063873291
15,15,2.825110996246338,0.2613333333333333,last: 6.61270779800415,last: 0.05566666666666667,,,,,(nested_data),114.96239471435547,(nested_data),2.3324384689331055,14.002952098846436,11.983424425125122,0.8793931007385254
16,16,2.69182416788737,0.297,last: 6.697423461914062,last: 0.05566666666666667,,,,,(nested_data),115.2181625366211,(nested_data),2.1283352375030518,14.808921098709106,12.789445638656616,0.9371230602264404
17,17,2.652736125310262,0.31,last: 6.87624781926473,last: 0.06133333333333333,,,,,(nested_data),115.47473907470703,(nested_data),2.238001823425293,15.610984563827515,13.591563701629639,0.9946682453155518
18,18,2.5810228068033854,0.31633333333333336,last: 6.995383847554525,last: 0.062,,,,,(nested_data),115.73409271240234,(nested_data),2.3429064750671387,16.414976358413696,14.395606756210327,1.052398681640625
19,19,2.5055977738698325,0.3406666666666667,last: 6.931437540690104,last: 0.064,,,,,(nested_data),116.00396728515625,(nested_data),2.3659818172454834,17.213629484176636,15.194312334060669,1.1117749214172363
20,20,2.4386083278656008,0.3506666666666667,last: 7.149873345692953,last: 0.060333333333333336,3.8148264335632325,0.1747,last: 8.28889365234375,last: 0.0492,(nested_data),116.28448486328125,(nested_data),2.448402166366577,19.046606302261353,15.998000621795654,1.170482873916626
21,21,2.372622507095337,0.365,last: 7.169050727844239,last: 0.064,,,,,(nested_data),116.56932830810547,(nested_data),2.2332026958465576,19.901026725769043,16.852478981018066,1.227827787399292
22,22,2.334561882654826,0.37333333333333335,last: 7.226050692240397,last: 0.06433333333333334,,,,,(nested_data),116.86426544189453,(nested_data),2.4413645267486572,20.705575227737427,17.657082319259644,1.2849023342132568
23,23,2.254373561223348,0.3983333333333333,last: 7.47868353398641,last: 0.065,,,,,(nested_data),117.1675033569336,(nested_data),2.4092514514923096,21.516826152801514,18.46838641166687,1.3436498641967773
24,24,2.1665147762298584,0.41,last: 7.431296391805013,last: 0.06666666666666667,,,,,(nested_data),117.48279571533203,(nested_data),2.297421455383301,22.324103832244873,19.275718688964844,1.40120530128479
25,25,2.0746298033396404,0.43366666666666664,last: 7.619017627716064,last: 0.071,,,,,(nested_data),117.80908203125,(nested_data),2.5926108360290527,23.129714965820312,20.08138942718506,1.462282419204712
26,26,2.0629511636098226,0.434,last: 7.532425203959147,last: 0.074,,,,,(nested_data),118.13401794433594,(nested_data),2.6867516040802,23.943098545074463,20.894832134246826,1.5203444957733154
27,27,1.9909319763183593,0.44266666666666665,last: 7.82952244313558,last: 0.06933333333333333,4.158744448852539,0.1731,last: 11.78110291595459,last: 0.045,(nested_data),118.47730255126953,(nested_data),2.5214056968688965,25.790114879608154,21.696837663650513,1.5777702331542969
28,28,1.9386802056630452,0.4693333333333333,last: 7.817111203511556,last: 0.07133333333333333,,,,,(nested_data),118.81497955322266,(nested_data),2.4076764583587646,26.628798007965088,22.53557801246643,1.6378538608551025
29,29,1.8334300746917724,0.486,last: 7.922860373179118,last: 0.077,,,,,(nested_data),119.16804504394531,(nested_data),2.6338508129119873,27.431790828704834,23.338621377944946,1.697510004043579
30,30,1.7852835222880046,0.502,last: 7.986928002675374,last: 0.07366666666666667,,,,,(nested_data),119.53463745117188,(nested_data),2.869572401046753,28.23575234413147,24.142635822296143,1.7550938129425049
31,31,1.704670493443807,0.5273333333333333,last: 8.014998168945313,last: 0.08066666666666666,,,,,(nested_data),119.90934753417969,(nested_data),2.605661392211914,29.03793692588806,24.944873571395874,1.8120067119598389
32,32,1.6562854878107707,0.536,last: 8.07854438273112,last: 0.08133333333333333,,,,,(nested_data),120.2859115600586,(nested_data),2.667370319366455,29.84640598297119,25.753401517868042,1.870814323425293
33,33,1.5475388062795004,0.5633333333333334,last: 8.179236437479656,last: 0.08266666666666667,,,,,(nested_data),120.67073059082031,(nested_data),2.662682056427002,30.654929876327515,26.56197714805603,1.9282989501953125
34,34,1.506784509340922,0.5726666666666667,last: 8.17674677403768,last: 0.07866666666666666,4.353692665863037,0.1968,last: 11.863424938964844,last: 0.049,(nested_data),121.06502532958984,(nested_data),2.51415753364563,32.49726223945618,27.367438077926636,1.986881971359253
35,35,1.4700711968739828,0.5856666666666667,last: 8.262354283650716,last: 0.08533333333333333,,,,,(nested_data),121.45826721191406,(nested_data),2.6802523136138916,33.34667253494263,28.21690607070923,2.044206142425537
36,36,1.3924861399332682,0.61,last: 8.434472297668457,last: 0.09266666666666666,,,,,(nested_data),121.86216735839844,(nested_data),2.8883402347564697,34.14759421348572,29.017881393432617,2.1019909381866455
37,37,1.3487267866134645,0.6146666666666667,last: 8.646072207132976,last: 0.084,,,,,(nested_data),122.26171112060547,(nested_data),2.810411214828491,34.95455479621887,29.824894666671753,2.1586005687713623
38,38,1.234806037902832,0.6486666666666666,last: 8.567313186645508,last: 0.09633333333333334,,,,,(nested_data),122.66252899169922,(nested_data),2.7047111988067627,35.76262021064758,30.633018493652344,2.2179441452026367
