step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc,val_path_loss,val_path_acc
1,1,4.490647842407227,0.0328,mean: 4.490647842407227,mean: 0.0328,1749703575.3530166,2025/06/12 13:46:15,3.814739465713501,3.8s,0.46387505531311035,0.46396350860595703,0.05685281753540039,,,,
2,2,4.154249409484863,0.0596,mean: 4.154249409484863,mean: 0.0596,1749703578.6905177,2025/06/12 13:46:18,7.152240514755249,7.2s,0.7640767097473145,0.7642550468444824,0.11069941520690918,,,,
3,3,3.999727600097656,0.0726,mean: 3.999727600097656,mean: 0.0726,1749703582.0997443,2025/06/12 13:46:22,10.561467170715332,10.6s,1.07265305519104,1.072920799255371,0.1645669937133789,,,,
4,4,3.9033416664123535,0.0852,mean: 3.9033416664123535,mean: 0.0852,1749703587.7917047,2025/06/12 13:46:27,16.253427505493164,16.3s,1.5369620323181152,1.3732280731201172,0.21894335746765137,4.14551911315918,0.0638,mean: 4.14551911315918,mean: 0.0638
5,5,3.7875537872314453,0.1042,mean: 3.7875537872314453,mean: 0.1042,1749703591.1896832,2025/06/12 13:46:31,19.651406049728394,19.7s,1.8315484523773193,1.667903184890747,0.2749595642089844,,,,
6,6,3.679059644317627,0.1268,mean: 3.679059644317627,mean: 0.1268,1749703594.4734092,2025/06/12 13:46:34,22.935132026672363,22.9s,2.123856782913208,1.9602978229522705,0.3307359218597412,,,,
7,7,3.591067519378662,0.1394,mean: 3.591067519378662,mean: 0.1394,1749703597.7547257,2025/06/12 13:46:37,26.216448545455933,26.2s,2.415252208709717,2.2517812252044678,0.38515782356262207,,,,
8,8,3.581927194213867,0.1336,mean: 3.581927194213867,mean: 0.1336,1749703603.30644,2025/06/12 13:46:43,31.768162965774536,31.8s,2.867309331893921,2.5442464351654053,0.4408140182495117,4.557453868103027,0.0755,mean: 4.557453868103027,mean: 0.0755
9,9,3.4887600021362304,0.1564,mean: 3.4887600021362304,mean: 0.1564,1749703606.7045805,2025/06/12 13:46:46,35.166303396224976,35.2s,3.1649680137634277,2.842003583908081,0.4996168613433838,,,,
10,10,3.39154348487854,0.1698,mean: 3.39154348487854,mean: 0.1698,1749703610.0205286,2025/06/12 13:46:50,38.48225140571594,38.5s,3.4631001949310303,3.140226125717163,0.5557882785797119,,,,
11,11,3.3544571754455568,0.1726,mean: 3.3544571754455568,mean: 0.1726,1749703613.374488,2025/06/12 13:46:53,41.83621096611023,41.8s,3.761260509490967,3.438481330871582,0.6161293983459473,,,,
12,12,3.2133821586608886,0.2,mean: 3.2133821586608886,mean: 0.2,1749703618.9977493,2025/06/12 13:46:58,47.45947217941284,47.5s,4.220432758331299,3.7356114387512207,0.6732425689697266,3.8495501865386963,0.1201,mean: 3.8495501865386963,mean: 0.1201
13,13,3.1351886569976806,0.2118,mean: 3.1351886569976806,mean: 0.2118,1749703622.5005183,2025/06/12 13:47:02,50.96224117279053,51.0s,4.5342748165130615,4.049557685852051,0.7338519096374512,,,,
14,14,3.053436787414551,0.2282,mean: 3.053436787414551,mean: 0.2282,1749703625.9082708,2025/06/12 13:47:05,54.369993686676025,54.4s,4.843435049057007,4.358816146850586,0.7903592586517334,,,,
15,15,3.018791621398926,0.2254,mean: 3.018791621398926,mean: 0.2254,1749703629.2850735,2025/06/12 13:47:09,57.74679636955261,57.7s,5.144868612289429,4.660346746444702,0.8490848541259766,,,,
16,16,2.9529439113616944,0.2438,mean: 2.9529439113616944,mean: 0.2438,1749703634.9916675,2025/06/12 13:47:14,63.45339035987854,1.1m,5.616187334060669,4.97238564491272,0.9083943367004395,3.6863642921447752,0.1666,mean: 3.6863642921447752,mean: 0.1666
17,17,2.852903341674805,0.267,mean: 2.852903341674805,mean: 0.267,1749703638.379666,2025/06/12 13:47:18,66.84138894081116,1.1m,5.9216039180755615,5.277899742126465,0.9653353691101074,,,,
18,18,2.8510819065093993,0.2688,mean: 2.8510819065093993,mean: 0.2688,1749703641.7638962,2025/06/12 13:47:21,70.2256190776825,1.2m,6.229839086532593,5.5862321853637695,1.0213093757629395,,,,
19,19,2.733814041137695,0.2836,mean: 2.733814041137695,mean: 0.2836,1749703645.2228878,2025/06/12 13:47:25,73.68461060523987,1.2m,6.543533802032471,5.900028944015503,1.0792217254638672,,,,
20,20,2.6835133769989015,0.3016,mean: 2.6835133769989015,mean: 0.3016,1749703650.8844647,2025/06/12 13:47:30,79.34618759155273,1.3m,7.006490707397461,6.2087461948394775,1.138974666595459,4.010320239257813,0.1639,mean: 4.010320239257813,mean: 0.1639
21,21,2.697610926437378,0.2894,mean: 2.697610926437378,mean: 0.2894,1749703654.2626247,2025/06/12 13:47:34,82.72434759140015,1.4m,7.305058002471924,6.507410287857056,1.1933417320251465,,,,
22,22,2.609868716430664,0.3044,mean: 2.609868716430664,mean: 0.3044,1749703657.5555604,2025/06/12 13:47:37,86.01728320121765,1.4m,7.6002984046936035,6.802743673324585,1.249464988708496,,,,
23,23,2.5683638870239256,0.3182,mean: 2.5683638870239256,mean: 0.3182,1749703660.8526936,2025/06/12 13:47:40,89.31441640853882,1.5m,7.8980629444122314,7.100599765777588,1.305887222290039,,,,
24,24,2.4931602684020997,0.3344,mean: 2.4931602684020997,mean: 0.3344,1749703666.4323647,2025/06/12 13:47:46,94.89408755302429,1.6m,8.34533166885376,7.393929958343506,1.3618035316467285,3.4735029888153077,0.2109,mean: 3.4735029888153077,mean: 0.2109
25,25,2.3824402656555175,0.3556,mean: 2.3824402656555175,mean: 0.3556,1749703669.8147852,2025/06/12 13:47:49,98.27650809288025,1.6m,8.64343810081482,7.692127227783203,1.4181301593780518,,,,
26,26,2.381139228439331,0.3634,mean: 2.381139228439331,mean: 0.3634,1749703673.1476393,2025/06/12 13:47:53,101.60936212539673,1.7m,8.94381332397461,7.992594242095947,1.4754064083099365,,,,
27,27,2.307817531967163,0.3758,mean: 2.307817531967163,mean: 0.3758,1749703676.4775667,2025/06/12 13:47:56,104.93928956985474,1.7m,9.242673873901367,8.291553497314453,1.533226490020752,,,,
28,28,2.2052233882904053,0.4024,mean: 2.2052233882904053,mean: 0.4024,1749703682.0627272,2025/06/12 13:48:02,110.52445006370544,1.8m,9.698179483413696,8.591665983200073,1.5917983055114746,3.9133632461547854,0.1971,mean: 3.9133632461547854,mean: 0.1971
29,29,2.2021611541748047,0.4002,mean: 2.2021611541748047,mean: 0.4002,1749703685.4288907,2025/06/12 13:48:05,113.8906135559082,1.9m,9.993250608444214,8.886825323104858,1.64750075340271,,,,
30,30,2.0425146995544434,0.4366,mean: 2.0425146995544434,mean: 0.4366,1749703688.7591596,2025/06/12 13:48:08,117.22088241577148,2.0m,10.292905807495117,9.186569929122925,1.7038500308990479,,,,
31,31,2.215678438568115,0.394,mean: 2.215678438568115,mean: 0.394,1749703692.165596,2025/06/12 13:48:12,120.62731885910034,2.0m,10.59871244430542,9.49247431755066,1.7605493068695068,,,,
32,32,2.047656979751587,0.4282,mean: 2.047656979751587,mean: 0.4282,1749703697.7564206,2025/06/12 13:48:17,126.21814346313477,2.1m,11.065479516983032,9.80185341835022,1.82261323928833,3.805892413330078,0.2297,mean: 3.805892413330078,mean: 0.2297
33,33,1.9746564989089965,0.4536,mean: 1.9746564989089965,mean: 0.4536,1749703701.127755,2025/06/12 13:48:21,129.58947777748108,2.2m,11.361526012420654,10.097993850708008,1.8794236183166504,,,,
34,34,1.8489233848571778,0.4778,mean: 1.8489233848571778,mean: 0.4778,1749703704.4581056,2025/06/12 13:48:24,132.919828414917,2.2m,11.668088912963867,10.404646873474121,1.9381377696990967,,,,
35,35,1.8109464645385742,0.4902,mean: 1.8109464645385742,mean: 0.4902,1749703707.8096192,2025/06/12 13:48:27,136.27134203910828,2.3m,11.977215766906738,10.713867425918579,1.9947023391723633,,,,
36,36,1.8485416635513305,0.4768,mean: 1.8485416635513305,mean: 0.4768,1749703713.4396815,2025/06/12 13:48:33,141.90140438079834,2.4m,12.44031023979187,11.020696878433228,2.0504744052886963,3.9008487045288085,0.2201,mean: 3.9008487045288085,mean: 0.2201
37,37,1.6806533294677735,0.5212,mean: 1.6806533294677735,mean: 0.5212,1749703716.8567827,2025/06/12 13:48:36,145.318505525589,2.4m,12.740794897079468,11.32129693031311,2.1087374687194824,,,,
38,38,1.7765005443572999,0.4984,mean: 1.7765005443572999,mean: 0.4984,1749703720.1803036,2025/06/12 13:48:40,148.64202642440796,2.5m,13.035577058792114,11.616174936294556,2.1655821800231934,,,,
39,39,1.7038713733673096,0.5168,mean: 1.7038713733673096,mean: 0.5168,1749703723.4875162,2025/06/12 13:48:43,151.94923901557922,2.5m,13.334449768066406,11.915137767791748,2.221097469329834,,,,
40,40,1.628596509361267,0.5286,mean: 1.628596509361267,mean: 0.5286,1749703729.0041173,2025/06/12 13:48:49,157.46584010124207,2.6m,13.786563634872437,12.214723825454712,2.277432918548584,3.6549259666442873,0.2573,mean: 3.6549259666442873,mean: 0.2573
41,41,1.4012735763549804,0.5952,mean: 1.4012735763549804,mean: 0.5952,1749703732.4317546,2025/06/12 13:48:52,160.89347743988037,2.7m,14.085177898406982,12.51343297958374,2.3363218307495117,,,,
42,42,1.3818568313598634,0.5982,mean: 1.3818568313598634,mean: 0.5982,1749703735.8340733,2025/06/12 13:48:55,164.29579615592957,2.7m,14.389352798461914,12.81770372390747,2.39512300491333,,,,
43,43,1.4377870574951173,0.5848,mean: 1.4377870574951173,mean: 0.5848,1749703739.2160633,2025/06/12 13:48:59,167.67778611183167,2.8m,14.696391105651855,13.124852895736694,2.454798936843872,,,,
44,44,1.5601765510559082,0.5478,mean: 1.5601765510559082,mean: 0.5478,1749703744.792719,2025/06/12 13:49:04,173.25444173812866,2.9m,15.15760087966919,13.427464723587036,2.5112900733947754,4.086660338973999,0.242,mean: 4.086660338973999,mean: 0.242
45,45,1.386907447052002,0.592,mean: 1.386907447052002,mean: 0.592,1749703748.2049615,2025/06/12 13:49:08,176.66668438911438,2.9m,15.454442501068115,13.724397659301758,2.56772518157959,,,,
46,46,1.594394801902771,0.5474,mean: 1.594394801902771,mean: 0.5474,1749703751.5557165,2025/06/12 13:49:11,180.01743936538696,3.0m,15.756667852401733,14.026711225509644,2.6251378059387207,,,,
47,47,1.3935021751403809,0.5922,mean: 1.3935021751403809,mean: 0.5922,1749703754.8722734,2025/06/12 13:49:14,183.33399629592896,3.1m,16.05573844909668,14.325880527496338,2.681351900100708,,,,
48,48,1.2234003356933594,0.6394,mean: 1.2234003356933594,mean: 0.6394,1749703760.4591305,2025/06/12 13:49:20,188.92085337638855,3.1m,16.51844310760498,14.633931636810303,2.7381913661956787,4.751559629821777,0.2114,mean: 4.751559629821777,mean: 0.2114
49,49,1.3536347457885742,0.6064,mean: 1.3536347457885742,mean: 0.6064,1749703763.9006734,2025/06/12 13:49:23,192.36239624023438,3.2m,16.828036785125732,14.943626403808594,2.793832540512085,,,,
50,50,1.3187663276672363,0.6158,mean: 1.3187663276672363,mean: 0.6158,1749703767.4310164,2025/06/12 13:49:27,195.89273929595947,3.3m,17.15654945373535,15.272244453430176,2.8520541191101074,,,,
51,51,1.0792872459411622,0.6824,mean: 1.0792872459411622,mean: 0.6824,1749703770.9031906,2025/06/12 13:49:30,199.36491346359253,3.3m,17.46861171722412,15.5844144821167,2.912353992462158,,,,
52,52,1.1199003467559814,0.6736,mean: 1.1199003467559814,mean: 0.6736,1749703776.6820807,2025/06/12 13:49:36,205.14380359649658,3.4m,17.943598747253418,15.90043592453003,2.9718332290649414,4.431601239013672,0.2296,mean: 4.431601239013672,mean: 0.2296
53,53,0.9962626831054687,0.7066,mean: 0.9962626831054687,mean: 0.7066,1749703780.2371626,2025/06/12 13:49:40,208.69888544082642,3.5m,18.262087106704712,16.21905493736267,3.03489089012146,,,,
54,54,1.3676009746551514,0.6086,mean: 1.3676009746551514,mean: 0.6086,1749703783.68306,2025/06/12 13:49:43,212.14478278160095,3.5m,18.572163105010986,16.52924132347107,3.0955684185028076,,,,
55,55,1.305771319961548,0.6148,mean: 1.305771319961548,mean: 0.6148,1749703787.2063081,2025/06/12 13:49:47,215.66803097724915,3.6m,18.889442682266235,16.8466215133667,3.1546285152435303,,,,
56,56,1.0944095603942872,0.6736,mean: 1.0944095603942872,mean: 0.6736,1749703793.0394635,2025/06/12 13:49:53,221.5011863708496,3.7m,19.38253426551819,17.1624174118042,3.215290069580078,4.746990390777588,0.2383,mean: 4.746990390777588,mean: 0.2383
57,57,1.037781430053711,0.6884,mean: 1.037781430053711,mean: 0.6884,1749703796.5704265,2025/06/12 13:49:56,225.03214931488037,3.8m,19.691529035568237,17.471510887145996,3.2719719409942627,,,,
58,58,1.0328357843399047,0.6952,mean: 1.0328357843399047,mean: 0.6952,1749703800.0630972,2025/06/12 13:50:00,228.5248200893402,3.8m,20.014461755752563,17.79456925392151,3.329719066619873,,,,
59,59,0.8503239572525024,0.7358,mean: 0.8503239572525024,mean: 0.7358,1749703803.5063071,2025/06/12 13:50:03,231.9680299758911,3.9m,20.324965000152588,18.10518479347229,3.3870749473571777,,,,
60,60,1.0636895830154418,0.6808,mean: 1.0636895830154418,mean: 0.6808,1749703809.3194764,2025/06/12 13:50:09,237.78119921684265,4.0m,20.809972047805786,18.4200918674469,3.4438815116882324,5.12547532043457,0.2133,mean: 5.12547532043457,mean: 0.2133
61,61,0.9163218070983886,0.7282,mean: 0.9163218070983886,mean: 0.7282,1749703812.9003031,2025/06/12 13:50:12,241.36202597618103,4.0m,21.12829303741455,18.738525867462158,3.5063843727111816,,,,
62,62,1.0728706787109374,0.6822,mean: 1.0728706787109374,mean: 0.6822,1749703816.4636033,2025/06/12 13:50:16,244.9253261089325,4.1m,21.453981399536133,19.064330101013184,3.5635359287261963,,,,
63,63,1.1395810718536377,0.6638,mean: 1.1395810718536377,mean: 0.6638,1749703820.0346084,2025/06/12 13:50:20,248.49633121490479,4.1m,21.775346279144287,19.385802030563354,3.6235527992248535,,,,
64,64,0.9978153772354126,0.7046,mean: 0.9978153772354126,mean: 0.7046,1749703825.789175,2025/06/12 13:50:25,254.2508978843689,4.2m,22.24240231513977,19.692543983459473,3.6804912090301514,4.9911424293518065,0.2109,mean: 4.9911424293518065,mean: 0.2109
65,65,0.8748666042327881,0.7386,mean: 0.8748666042327881,mean: 0.7386,1749703829.4677372,2025/06/12 13:50:29,257.92946004867554,4.3m,22.579644203186035,20.02990221977234,3.7401795387268066,,,,
66,66,1.054203939819336,0.6914,mean: 1.054203939819336,mean: 0.6914,1749703832.995747,2025/06/12 13:50:32,261.45746994018555,4.4m,22.901867628097534,20.352227449417114,3.797574758529663,,,,
67,67,0.9249032608032226,0.7242,mean: 0.9249032608032226,mean: 0.7242,1749703836.4991632,2025/06/12 13:50:36,264.9608860015869,4.4m,23.219610691070557,20.670075178146362,3.855379104614258,,,,
68,68,0.8070028076171875,0.7598,mean: 0.8070028076171875,mean: 0.7598,1749703842.506899,2025/06/12 13:50:42,270.968621969223,4.5m,23.713082313537598,20.98749876022339,3.912874460220337,4.433386923217774,0.2617,mean: 4.433386923217774,mean: 0.2617
69,69,0.734673592376709,0.7846,mean: 0.734673592376709,mean: 0.7846,1749703846.085269,2025/06/12 13:50:46,274.54699182510376,4.6m,24.02405834197998,21.298580408096313,3.969442367553711,,,,
70,70,0.806864584350586,0.7632,mean: 0.806864584350586,mean: 0.7632,1749703849.568578,2025/06/12 13:50:49,278.0303008556366,4.6m,24.342227697372437,21.61685085296631,4.026223421096802,,,,
71,71,0.896427112197876,0.7364,mean: 0.896427112197876,mean: 0.7364,1749703853.0924246,2025/06/12 13:50:53,281.55414748191833,4.7m,24.656632900238037,21.931360721588135,4.087285280227661,,,,
72,72,0.9743818286895752,0.7122,mean: 0.9743818286895752,mean: 0.7122,1749703859.0600977,2025/06/12 13:50:59,287.52182054519653,4.8m,25.157020092010498,22.252697467803955,4.14484715461731,5.389148476409912,0.217,mean: 5.389148476409912,mean: 0.217
73,73,0.8657077966690063,0.7378,mean: 0.8657077966690063,mean: 0.7378,1749703862.6196158,2025/06/12 13:51:02,291.0813386440277,4.9m,25.474629163742065,22.570404767990112,4.202343940734863,,,,
74,74,0.7132573989868164,0.789,mean: 0.7132573989868164,mean: 0.789,1749703865.9227123,2025/06/12 13:51:05,294.38443517684937,4.9m,25.768719911575317,22.864598512649536,4.258303165435791,,,,
75,75,0.6928928049087525,0.7962,mean: 0.6928928049087525,mean: 0.7962,1749703869.2768621,2025/06/12 13:51:09,297.7385849952698,5.0m,26.07378888130188,23.169764757156372,4.31468391418457,,,,
76,76,0.6451907108306885,0.811,mean: 0.6451907108306885,mean: 0.811,1749703875.1303377,2025/06/12 13:51:15,303.5920605659485,5.1m,26.5596125125885,23.486108541488647,4.372607707977295,5.142924749755859,0.2276,mean: 5.142924749755859,mean: 0.2276
77,77,0.7061077369689941,0.7902,mean: 0.7061077369689941,mean: 0.7902,1749703878.6696553,2025/06/12 13:51:18,307.1313781738281,5.1m,26.870725631713867,23.79731822013855,4.4337263107299805,,,,
78,78,0.5217193550109863,0.8474,mean: 0.5217193550109863,mean: 0.8474,1749703882.108117,2025/06/12 13:51:22,310.5698399543762,5.2m,27.181562423706055,24.1082546710968,4.4919233322143555,,,,
79,79,0.8079252590179443,0.7624,mean: 0.8079252590179443,mean: 0.7624,1749703885.575983,2025/06/12 13:51:25,314.0377058982849,5.2m,27.490705728530884,24.417497873306274,4.548935413360596,,,,
80,80,0.5776285284042358,0.8354,mean: 0.5776285284042358,mean: 0.8354,1749703891.4065278,2025/06/12 13:51:31,319.8682506084442,5.3m,27.97077226638794,24.73434042930603,4.605746030807495,5.0438649940490725,0.232,mean: 5.0438649940490725,mean: 0.232
81,81,0.649105860900879,0.8106,mean: 0.649105860900879,mean: 0.8106,1749703895.039949,2025/06/12 13:51:35,323.50167179107666,5.4m,28.285218715667725,25.048890352249146,4.663288354873657,,,,
