step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc,val_path_loss,val_path_acc
1,1,4.604991195678711,0.008,mean: 4.731804265582562,mean: 0.009959374999999996,1749703575.3530166,2025/06/12 13:46:15,3.814739465713501,3.8s,3.006998062133789,3.0070948600769043,0.05685281753540039,,,,
2,2,4.591082987976074,0.019,mean: 4.712000132131576,mean: 0.010125000000000004,1749703578.6905177,2025/06/12 13:46:18,7.152240514755249,7.2s,5.947660446166992,5.94785213470459,0.11069941520690918,,,,
3,3,4.573268197631836,0.0336,mean: 4.694137146866323,mean: 0.011181249999999997,1749703582.0997443,2025/06/12 13:46:22,10.561467170715332,10.6s,8.951781511306763,8.95207667350769,0.1645669937133789,,,,
4,4,4.550314414978027,0.0408,mean: 4.681554927945138,mean: 0.011728125000000002,1749703587.7917047,2025/06/12 13:46:27,16.253427505493164,16.3s,13.951318502426147,11.956071138381958,0.21894335746765137,4.5384810958862305,0.0406,mean: 4.667392512619495,mean: 0.012728125
5,5,4.524316600036621,0.0382,mean: 4.680919212055207,mean: 0.01265625,1749703591.1896832,2025/06/12 13:46:31,19.651406049728394,19.7s,16.89705753326416,14.901914834976196,0.2749595642089844,,,,
6,6,4.5001837966918945,0.0378,mean: 4.689066629374024,mean: 0.013215624999999998,1749703594.4734092,2025/06/12 13:46:34,22.935132026672363,22.9s,19.7888605594635,17.793816089630127,0.3307359218597412,,,,
7,7,4.473999140930176,0.0424,mean: 4.695387383532523,mean: 0.013815625,1749703597.7547257,2025/06/12 13:46:37,26.216448545455933,26.2s,22.680562496185303,20.685616731643677,0.38515782356262207,,,,
8,8,4.451144358062744,0.0498,mean: 4.707932067489622,mean: 0.013840624999999995,1749703603.30644,2025/06/12 13:46:43,31.768162965774536,31.8s,27.575007915496826,23.578440189361572,0.4408140182495117,4.444570761108398,0.0548,mean: 4.7181667563200005,mean: 0.014339062499999994
9,9,4.43015922241211,0.0536,mean: 4.7239490399599084,mean: 0.014234374999999999,1749703606.7045805,2025/06/12 13:46:46,35.166303396224976,35.2s,30.51288104057312,26.516427755355835,0.4996168613433838,,,,
10,10,4.406695827484131,0.0524,mean: 4.738413581913708,mean: 0.014524999999999996,1749703610.0205286,2025/06/12 13:46:50,38.48225140571594,38.5s,33.4295768737793,29.433236598968506,0.5557882785797119,,,,
