run_id,model_arc,train_dataset,val_dataset,num_classes,train_trans,val_trans,train_ndata,val_ndata,epochs,max_lr,wd,batch_size,iters/epoch,iters,processed_ndata,ndata_per_class,div,ensembles,scale_ch,num_params,criterion,optimizer,scheduler,step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
run_2025-12-09_05-24-05_786760,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.001,128,391,78200,10000000,500.0,4,16,0.25,11409216,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.0012466965659148992,last: 0.9998,last: 2.741357601547241,last: 0.6662,last: 2006.6541924476624,last: 33.4m,last: 1946.9142444133759,last: 32.4m,last: 2367.263172149658,last: 39.5m,last: 2219.274321079254,last: 37.0m,last: 100.0%
run_2025-12-09_05-24-05_804656,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.001,128,391,78200,10000000,500.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.0005948528528166934,last: 0.99978,last: 3.2902535049438475,last: 0.6828,last: 685.6132044792175,last: 11.4m,last: 662.7980344295502,last: 11.0m,last: 2321.757651567459,last: 38.7m,last: 2177.1259264945984,last: 36.3m,last: 100.0%
run_2025-12-09_05-24-05_834755,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.001,128,391,78200,10000000,500.0,2,4,0.5,11282960,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.0007480375533481129,last: 0.99978,last: 2.760805282974243,last: 0.6884,last: 1079.345341682434,last: 18.0m,last: 1051.1549911499023,last: 17.5m,last: 2374.5939881801605,last: 39.6m,last: 2230.3979976177216,last: 37.2m,last: 100.0%
run_2025-12-09_06-03-10_345501,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.001,128,391,78200,10000000,500.0,8,64,0.125,11664128,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.003913331900686026,last: 0.99946,last: 2.5756648790359495,last: 0.6605,last: 3996.3945927619934,last: 1.1h,last: 3867.320137023926,last: 1.1h,last: 4089.4824454784393,last: 1.1h,last: 3912.8744089603424,last: 1.1h,last: 100.0%
run_2025-12-09_06-03-54_795665,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.001,128,391,78200,10000000,500.0,16,256,0.0625,12183552,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.010643409793972968,last: 0.99874,last: 2.4885480543136596,last: 0.6416,last: 13959.334318637848,last: 3.9h,last: 13715.176126480103,last: 3.8h,last: 14038.932410478592,last: 3.9h,last: 13781.021036863327,last: 3.8h,last: 100.0%
run_2025-12-09_06-04-02_235317,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.001,128,391,78200,10000000,500.0,32,1024,0.03125,13260800,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.01229486922264099,last: 0.99858,last: 2.264472622680664,last: 0.6393,last: 59054.501229047775,last: 16.4h,last: 58438.02897024155,last: 16.2h,last: 59155.938789367676,last: 16.4h,last: 58524.72598671913,last: 16.3h,last: 100.0%
run_2025-12-09_07-11-42_279443,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",20000,10000,200,0.005,0.001,128,157,31400,4000000,200.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.00034525192975997927,last: 0.9999,last: 5.125660485458374,last: 0.5168,last: 296.2925515174866,last: 4.9m,last: 274.05372071266174,last: 4.6m,last: 1058.0886099338531,last: 17.6m,last: 913.7356641292572,last: 15.2m,last: 100.0%
run_2025-12-09_07-29-43_311311,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",20000,10000,200,0.005,0.001,128,157,31400,4000000,200.0,2,4,0.5,11282960,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.0005920148939825594,last: 0.9999,last: 4.2116880641937255,last: 0.5538,last: 457.25462341308594,last: 7.6m,last: 431.51721954345703,last: 7.2m,last: 1036.3473064899445,last: 17.3m,last: 892.6514492034912,last: 14.9m,last: 100.0%
run_2025-12-09_07-47-21_386388,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",20000,10000,200,0.005,0.001,128,157,31400,4000000,200.0,4,16,0.25,11409216,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.0011977923063561321,last: 0.9999,last: 3.9234999866485594,last: 0.5451,last: 853.7103486061096,last: 14.2m,last: 793.3937170505524,last: 13.2m,last: 1048.336349248886,last: 17.5m,last: 902.6173160076141,last: 15.0m,last: 100.0%
run_2025-12-09_08-05-11_476771,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",20000,10000,200,0.005,0.001,128,157,31400,4000000,200.0,8,64,0.125,11664128,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.004283771965652704,last: 0.99975,last: 3.7446515312194824,last: 0.5442,last: 1659.1555798053741,last: 27.7m,last: 1555.7294063568115,last: 25.9m,last: 1732.221447944641,last: 28.9m,last: 1583.210471868515,last: 26.4m,last: 100.0%
