step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
1,1,0.005,4.897940235900879,0.0172,,,37.37992978096008,37.4s,37.38021659851074,37.4s,37.45013451576233,37.5s,37.450141191482544,37.5s,0.2%
2,2,0.004999922894111975,4.36310782623291,0.0266,,,39.88587284088135,39.9s,39.88648962974548,39.9s,40.367037773132324,40.4s,40.367048263549805,40.4s,0.5%
3,3,0.004999691581204152,4.260110135650635,0.043,,,41.96407914161682,42.0s,41.96498966217041,42.0s,42.51719331741333,42.5s,42.51720690727234,42.5s,0.8%
4,4,0.004999306075545002,4.185241429138183,0.0474,4.101484371185303,0.0577,51.4328556060791,51.4s,44.01614284515381,44.0s,58.393078327178955,58.4s,44.63252258300781,44.6s,1.0%
5,5,0.0049987664009143295,4.098635808563232,0.0592,,,53.5046501159668,53.5s,46.088231801986694,46.1s,60.52970767021179,1.0m,46.76915454864502,46.8s,1.2%
6,6,0.004998072590601808,4.041858994293213,0.0686,,,55.54949402809143,55.5s,48.13335967063904,48.1s,62.64285230636597,1.0m,48.882302045822144,48.9s,1.5%
7,7,0.004997224687404926,3.9923994140625,0.076,,,57.61294960975647,57.6s,50.19716119766235,50.2s,64.77386498451233,1.1m,51.01331877708435,51.0s,1.8%
8,8,0.004996222743626346,3.947925789642334,0.0842,4.061221096038818,0.0708,60.62608981132507,1.0m,52.25356411933899,52.3s,68.58096218109131,1.1m,53.136171102523804,53.1s,2.0%
9,9,0.00499506682107068,3.900860929107666,0.0932,,,62.68277406692505,1.0m,54.31053614616394,54.3s,70.70998644828796,1.2m,55.265202045440674,55.3s,2.2%
10,10,0.004993756991040676,3.838505069732666,0.0894,,,64.73019695281982,1.1m,56.358227491378784,56.4s,72.81822896003723,1.2m,57.37344717979431,57.4s,2.5%
11,11,0.004992293334332821,3.798452349090576,0.1044,,,66.79162120819092,1.1m,58.42009711265564,58.4s,74.94670343399048,1.2m,59.501927614212036,59.5s,2.8%
12,12,0.004990675941232354,3.7333447265625,0.1198,3.7865357372283936,0.1097,69.77731323242188,1.2m,60.4774112701416,1.0m,78.47742915153503,1.3m,61.62222242355347,1.0m,3.0%
13,13,0.004988904911507701,3.6988149505615233,0.1204,,,71.83880019187927,1.2m,62.53918409347534,1.0m,80.60782957077026,1.3m,63.752628803253174,1.1m,3.2%
14,14,0.004986980354404317,3.629946674346924,0.131,,,73.90220856666565,1.2m,64.60286688804626,1.1m,82.73525786399841,1.4m,65.88006258010864,1.1m,3.5%
15,15,0.00498490238863795,3.6066761688232423,0.136,,,75.97376894950867,1.3m,66.67473006248474,1.1m,84.87657880783081,1.4m,68.02138566970825,1.1m,3.8%
16,16,0.0049826711423873165,3.561647110748291,0.1452,3.7461866649627686,0.1332,78.9779121875763,1.3m,68.73511624336243,1.1m,88.43033289909363,1.5m,70.14222955703735,1.2m,4.0%
17,17,0.004980286753286195,3.4966402351379395,0.1604,,,81.04090428352356,1.4m,70.79838347434998,1.2m,90.55604600906372,1.5m,72.2679455280304,1.2m,4.2%
18,18,0.004977749368414937,3.4565687477111817,0.1618,,,83.10317015647888,1.4m,72.86098027229309,1.2m,92.70071077346802,1.5m,74.41261458396912,1.2m,4.5%
19,19,0.0049750591442913935,3.4201078163146974,0.1642,,,85.17004585266113,1.4m,74.92822265625,1.2m,94.84390306472778,1.6m,76.55581092834473,1.3m,4.8%
20,20,0.004972216246861261,3.41170869140625,0.1668,3.521890577697754,0.1581,88.16487979888916,1.5m,76.99175310134888,1.3m,98.36980128288269,1.6m,78.68383264541626,1.3m,5.0%
21,21,0.004969220851487844,3.3091626487731935,0.1836,,,90.2347629070282,1.5m,79.0619261264801,1.3m,100.4988124370575,1.7m,80.81284880638123,1.3m,5.2%
22,22,0.004966073142941238,3.304182717895508,0.1878,,,92.29898309707642,1.5m,81.1264226436615,1.4m,102.62609767913818,1.7m,82.94013738632202,1.4m,5.5%
23,23,0.004962773315386935,3.239934654998779,0.1886,,,94.36774206161499,1.6m,83.19550085067749,1.4m,104.76677966117859,1.7m,85.08082318305969,1.4m,5.8%
24,24,0.00495932157237384,3.2052649032592773,0.2048,3.4879980670928954,0.1738,97.37106323242188,1.6m,85.26156759262085,1.4m,108.26761436462402,1.8m,87.21185064315796,1.5m,6.0%
25,25,0.004955718126821723,3.1502496086120604,0.2214,,,99.44071865081787,1.7m,87.33147621154785,1.5m,110.39879631996155,1.8m,89.34303689002991,1.5m,6.2%
26,26,0.004951963201008077,3.166001355743408,0.2042,,,101.50698184967041,1.7m,89.3980143070221,1.5m,112.52997016906738,1.9m,91.47421526908875,1.5m,6.5%
27,27,0.004948057026554415,3.0943416854858397,0.2228,,,103.57709193229675,1.7m,91.46837568283081,1.5m,114.66371035575867,1.9m,93.60795831680298,1.6m,6.8%
28,28,0.004943999844411978,3.031085285949707,0.2354,3.3978220905303953,0.1871,106.58405637741089,1.8m,93.54037094116211,1.6m,118.19966340065002,2.0m,95.74508905410767,1.6m,7.0%
29,29,0.004939791904846869,3.0068315505981444,0.2362,,,108.65295600891113,1.8m,95.6095244884491,1.6m,120.33038234710693,2.0m,97.87581086158752,1.6m,7.2%
30,30,0.0049354334674246245,2.9562607322692873,0.2452,,,110.7236819267273,1.8m,97.68052911758423,1.6m,122.46213841438293,2.0m,100.00756978988647,1.7m,7.5%
31,31,0.004930924800994192,2.900241762542725,0.2556,,,112.7933394908905,1.9m,99.7504494190216,1.7m,124.59968423843384,2.1m,102.14511895179749,1.7m,7.8%
32,32,0.004926266183671356,2.8586287246704103,0.2658,3.422663381958008,0.2062,115.79783058166504,1.9m,101.82098269462585,1.7m,128.1017291545868,2.1m,104.27666091918945,1.7m,8.0%
33,33,0.004921457902821578,2.783490765380859,0.2802,,,117.88148164749146,2.0m,103.90495991706848,1.7m,130.26639676094055,2.2m,106.44133281707764,1.8m,8.2%
34,34,0.004916500255042268,2.7476039932250975,0.2898,,,119.9571328163147,2.0m,105.98089408874512,1.8m,132.4069700241089,2.2m,108.58190894126892,1.8m,8.5%
35,35,0.004911393546144495,2.686320651245117,0.3066,,,122.03322505950928,2.0m,108.05727767944336,1.8m,134.55011248588562,2.2m,110.7250554561615,1.8m,8.8%
36,36,0.004906138091134118,2.6141847690582276,0.3202,3.497560675048828,0.2125,125.03204989433289,2.1m,110.12613916397095,1.8m,138.08265209197998,2.3m,112.85710048675537,1.9m,9.0%
