step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
1,1,0.005,4.605310440063477,0.02,,,8.226234674453735,8.2s,8.226251602172852,8.2s,8.281954526901245,8.3s,8.281960010528564,8.3s,0.0%
2,2,0.004999999969157486,4.541214466094971,0.09,,,8.4973304271698,8.5s,8.497352600097656,8.5s,8.619345426559448,8.6s,8.619353532791138,8.6s,0.0%
3,3,0.0049999998766299455,4.459292888641357,0.18,,,8.644546508789062,8.6s,8.644572257995605,8.6s,8.828359127044678,8.8s,8.828369379043579,8.8s,0.0%
4,4,0.004999999722417381,4.3791704177856445,0.25,,,8.791120529174805,8.8s,8.791149139404297,8.8s,9.03640079498291,9.0s,9.036412954330444,9.0s,0.0%
5,5,0.0049999995065197955,4.274139404296875,0.31,,,8.936501502990723,8.9s,8.936532735824585,8.9s,9.24259352684021,9.2s,9.242607355117798,9.2s,0.0%
6,6,0.004999999228937195,4.173805236816406,0.37,,,9.082310438156128,9.1s,9.082345247268677,9.1s,9.44876742362976,9.4s,9.448782682418823,9.4s,0.0%
7,7,0.0049999988896695866,4.063103199005127,0.37,,,9.228372573852539,9.2s,9.228410005569458,9.2s,9.64275860786438,9.6s,9.642775058746338,9.6s,0.0%
8,8,0.004999998488716978,3.9444687366485596,0.52,,,9.374305725097656,9.4s,9.374346256256104,9.4s,9.848572492599487,9.8s,9.848590850830078,9.8s,0.0%
9,9,0.004999998026079379,3.8253161907196045,0.52,,,9.519854545593262,9.5s,9.519897699356079,9.5s,10.056397438049316,10.1s,10.056417465209961,10.1s,0.0%
10,10,0.004999997501756802,3.719572067260742,0.61,,,9.665863990783691,9.7s,9.665910482406616,9.7s,10.264046430587769,10.3s,10.264068126678467,10.3s,0.1%
11,11,0.004999996915749258,3.595283269882202,0.61,,,9.811401844024658,9.8s,9.811450719833374,9.8s,10.473009586334229,10.5s,10.473032712936401,10.5s,0.1%
12,12,0.004999996268056764,3.4662926197052,0.68,,,9.957744359970093,10.0s,9.957796812057495,10.0s,10.67970895767212,10.7s,10.679734230041504,10.7s,0.1%
13,13,0.004999995558679334,3.346076011657715,0.71,,,10.103651762008667,10.1s,10.10370683670044,10.1s,10.888206243515015,10.9s,10.888232707977295,10.9s,0.1%
14,14,0.004999994787616986,3.1956517696380615,0.81,,,10.250255584716797,10.3s,10.250313520431519,10.3s,11.101261615753174,11.1s,11.101289510726929,11.1s,0.1%
15,15,0.004999993954869739,3.0711145401000977,0.79,,,10.397075891494751,10.4s,10.397141218185425,10.4s,11.310701608657837,11.3s,11.310731649398804,11.3s,0.1%
16,16,0.004999993060437615,2.938502311706543,0.85,,,10.543742656707764,10.5s,10.543811798095703,10.5s,11.503166675567627,11.5s,11.503198862075806,11.5s,0.1%
17,17,0.004999992104320634,2.7869157791137695,0.87,,,10.68981146812439,10.7s,10.689887285232544,10.7s,11.695227861404419,11.7s,11.695263385772705,11.7s,0.1%
18,18,0.00499999108651882,2.6294965744018555,0.93,,,10.836307287216187,10.8s,10.83638620376587,10.8s,11.888954639434814,11.9s,11.888992547988892,11.9s,0.1%
19,19,0.0049999900070322,2.4866628646850586,0.91,,,10.982891082763672,11.0s,10.982974290847778,11.0s,12.08147668838501,12.1s,12.081516981124878,12.1s,0.1%
20,20,0.0049999888658607975,2.358868360519409,0.93,,,11.129187822341919,11.1s,11.129274606704712,11.1s,12.274552345275879,12.3s,12.274595260620117,12.3s,0.1%
21,21,0.004999987663004644,2.205763578414917,0.93,,,11.275413990020752,11.3s,11.27550482749939,11.3s,12.487844467163086,12.5s,12.487890005111694,12.5s,0.1%
22,22,0.004999986398463767,2.0562353134155273,0.91,,,11.421438217163086,11.4s,11.421533823013306,11.4s,12.695739984512329,12.7s,12.69578766822815,12.7s,0.1%
23,23,0.004999985072238197,1.9207186698913574,0.96,,,11.56795597076416,11.6s,11.568055152893066,11.6s,12.905324220657349,12.9s,12.905373811721802,12.9s,0.1%
24,24,0.00499998368432797,1.7825994491577148,0.98,,,11.714210748672485,11.7s,11.714315414428711,11.7s,13.11704134941101,13.1s,13.117093563079834,13.1s,0.1%
25,25,0.004999982234733117,1.6426780223846436,0.96,,,11.86110520362854,11.9s,11.861215114593506,11.9s,13.326265573501587,13.3s,13.32632040977478,13.3s,0.1%
26,26,0.004999980723453675,1.5012246370315552,0.98,,,12.007612943649292,12.0s,12.007726907730103,12.0s,13.529781579971313,13.5s,13.52983808517456,13.5s,0.1%
27,27,0.004999979150489681,1.361540675163269,0.97,,,12.153583526611328,12.2s,12.153700351715088,12.2s,13.720961570739746,13.7s,13.721019506454468,13.7s,0.1%
28,28,0.0049999775158411745,1.2419599294662476,0.98,,,12.299919843673706,12.3s,12.300040483474731,12.3s,13.927241325378418,13.9s,13.927300691604614,13.9s,0.1%
29,29,0.004999975819508195,1.1310244798660278,1.0,,,12.44567322731018,12.4s,12.445796966552734,12.4s,14.138430833816528,14.1s,14.1384916305542,14.1s,0.1%
30,30,0.004999974061490785,1.004666805267334,0.98,,,12.591887712478638,12.6s,12.59201717376709,12.6s,14.348493337631226,14.3s,14.348556756973267,14.3s,0.1%
31,31,0.004999972241788987,0.8988327980041504,1.0,,,12.738669633865356,12.7s,12.738802433013916,12.7s,14.54068660736084,14.5s,14.54075288772583,14.5s,0.2%
32,32,0.004999970360402847,0.7954623699188232,1.0,,,12.884532690048218,12.9s,12.884668350219727,12.9s,14.732637643814087,14.7s,14.732706069946289,14.7s,0.2%
33,33,0.004999968417332411,0.6915931105613708,1.0,,,13.031246662139893,13.0s,13.031388521194458,13.0s,14.926644563674927,14.9s,14.926715612411499,14.9s,0.2%
34,34,0.004999966412577727,0.6012418866157532,1.0,,,13.178359508514404,13.2s,13.178507328033447,13.2s,15.139103889465332,15.1s,15.13917875289917,15.1s,0.2%
35,35,0.004999964346138844,0.5222930312156677,1.0,,,13.324962615966797,13.3s,13.325114250183105,13.3s,15.332032680511475,15.3s,15.332109451293945,15.3s,0.2%
36,36,0.004999962218015814,0.4545432925224304,1.0,,,13.470962762832642,13.5s,13.471117496490479,13.5s,15.542418241500854,15.5s,15.542497158050537,15.5s,0.2%
37,37,0.004999960028208688,0.3890444040298462,1.0,,,13.616880178451538,13.6s,13.617038249969482,13.6s,15.734234809875488,15.7s,15.734315633773804,15.7s,0.2%
38,38,0.004999957776717522,0.33829250931739807,1.0,,,13.763912677764893,13.8s,13.76407504081726,13.8s,16.078375577926636,16.1s,16.078458547592163,16.1s,0.2%
39,39,0.00499995546354237,0.27860116958618164,1.0,,,13.910691022872925,13.9s,13.910857915878296,13.9s,16.274373054504395,16.3s,16.274458169937134,16.3s,0.2%
40,40,0.00499995308868329,0.23852407932281494,1.0,,,14.057236671447754,14.1s,14.057407140731812,14.1s,16.467530250549316,16.5s,16.467617511749268,16.5s,0.2%
41,41,0.004999950652140339,0.20676307380199432,1.0,,,14.203379392623901,14.2s,14.203556537628174,14.2s,16.659752368927002,16.7s,16.65984272956848,16.7s,0.2%
42,42,0.004999948153913579,0.17154626548290253,1.0,,,14.350168228149414,14.4s,14.350348711013794,14.4s,16.867167711257935,16.9s,16.867260217666626,16.9s,0.2%
43,43,0.004999945594003071,0.14346995949745178,1.0,,,14.496718168258667,14.5s,14.496902704238892,14.5s,17.078274488449097,17.1s,17.078369140625,17.1s,0.2%
