run_id,model_arc,train_dataset,val_dataset,num_classes,train_trans,val_trans,train_ndata,val_ndata,epochs,max_lr,wd,batch_size,base_epochs,iters/epoch,iters,processed_ndata,ndata_per_class,div,ensembles,scale_ch,num_params,criterion,optimizer,scheduler,step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
run_2025-12-11_17-54-12_515316,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.5,128,10000,391,78200,10000000,500.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.5260548652267456,last: 0.85476,last: 1.1711487002372742,last: 0.6756,last: 883.855438709259,last: 14.7m,last: 853.2639379501343,last: 14.2m,last: 2268.3338491916656,last: 37.8m,last: 2130.291361093521,last: 35.5m,last: 100.0%
run_2025-12-11_17-54-13_126060,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.5,128,10000,391,78200,10000000,500.0,16,256,0.0625,12183552,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 2.4297120531463623,last: 0.4397,last: 2.3750009708404543,last: 0.4397,last: 14608.825159311295,last: 4.1h,last: 14266.37967300415,last: 4.0h,last: 14690.256905078888,last: 4.1h,last: 14332.57048034668,last: 4.0h,last: 100.0%
run_2025-12-11_17-54-13_483733,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,400,0.005,0.5,128,10000,40,16000,2000000,50.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 400,last: 400,last: 7.710588802584138e-8,last: 0.029502627420425417,last: 1.0,last: 3.089339514160156,last: 0.3715,last: 210.55903959274292,last: 3.5m,last: 179.36590814590454,last: 3.0m,last: 578.6444644927979,last: 9.6m,last: 443.5755934715271,last: 7.4m,last: 100.0%
run_2025-12-11_17-54-13_841306,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,400,0.005,0.5,128,10000,40,16000,2000000,50.0,16,256,0.0625,12183552,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 400,last: 400,last: 7.710588802584138e-8,last: 1.7535436511993407,last: 0.6554,last: 2.4723190200805663,last: 0.3891,last: 3214.589744567871,last: 53.6m,last: 2870.970111846924,last: 47.8m,last: 3265.1872425079346,last: 54.4m,last: 2907.322099208832,last: 48.5m,last: 100.0%
run_2025-12-11_17-54-14_067598,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",500,10000,4000,0.005,0.5,128,10000,4,16000,2000000,5.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 4000,last: 4000,last: 7.710628041612792e-10,last: 0.0018082103710621595,last: 1.0,last: 5.495645489501953,last: 0.0958,last: 259.42512917518616,last: 4.3m,last: 228.57956862449646,last: 3.8m,last: 716.2515773773193,last: 11.9m,last: 579.6844940185547,last: 9.7m,last: 100.0%
run_2025-12-11_17-54-14_227846,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",500,10000,4000,0.005,0.5,128,10000,4,16000,2000000,5.0,16,256,0.0625,12183552,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 4000,last: 4000,last: 7.710628041612792e-10,last: 0.001860435025766492,last: 1.0,last: 4.15839845123291,last: 0.1512,last: 3245.1613438129425,last: 54.1m,last: 2901.5353741645813,last: 48.4m,last: 3514.213842153549,last: 58.6m,last: 3156.051676273346,last: 52.6m,last: 100.0%
run_2025-12-11_17-54-14_337718,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",100,10000,20000,0.005,0.5,128,10000,1,20000,2000000,1.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 20000,last: 20000,last: 3.084251382068393e-11,last: 0.0004692840448115021,last: 1.0,last: 10.299318127441406,last: 0.03,last: 234.48057222366333,last: 3.9m,last: 203.7622947692871,last: 3.4m,last: 1503.7141692638397,last: 25.1m,last: 1365.0723977088928,last: 22.8m,last: 100.0%
run_2025-12-11_17-54-14_485968,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",100,10000,20000,0.005,0.5,128,10000,1,20000,2000000,1.0,16,256,0.0625,12183552,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 20000,last: 20000,last: 3.084251382068393e-11,last: 0.0005816261982545257,last: 1.0,last: 5.786246482849121,last: 0.0486,last: 3267.4549720287323,last: 54.5m,last: 2926.7002825737,last: 48.8m,last: 4465.848642110825,last: 1.2h,last: 4110.351541996002,last: 1.1h,last: 100.0%
run_2025-12-11_18-04-20_525511,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.5,128,20000,391,78200,10000000,500.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.5607091862869262,last: 0.8445,last: 1.178512550354004,last: 0.675,last: 884.1133103370667,last: 14.7m,last: 853.5423607826233,last: 14.2m,last: 2240.072869539261,last: 37.3m,last: 2103.168862104416,last: 35.1m,last: 100.0%
run_2025-12-11_18-10-55_187730,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.5,128,20000,391,78200,10000000,500.0,16,256,0.0625,12183552,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 2.436104951171875,last: 0.43892,last: 2.386619532775879,last: 0.4342,last: 14643.921509742737,last: 4.1h,last: 14300.647649765015,last: 4.0h,last: 14727.493979215622,last: 4.1h,last: 14368.748704433441,last: 4.0h,last: 100.0%
