step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
1,1,0.005,4.379095031738281,0.0484,,,18.989869832992554,19.0s,18.9901385307312,19.0s,19.075425148010254,19.1s,19.075429677963257,19.1s,0.2%
2,2,0.004999922894111975,3.824787451171875,0.1298,,,26.266374826431274,26.3s,26.266864776611328,26.3s,26.46600580215454,26.5s,26.46601438522339,26.5s,0.5%
3,3,0.004999691581204152,3.457330110549927,0.1818,,,33.42832136154175,33.4s,33.428993463516235,33.4s,33.703821897506714,33.7s,33.703834533691406,33.7s,0.8%
4,4,0.004999306075545002,3.1962940174102785,0.232,3.733857780456543,0.1695,48.81945443153381,48.8s,40.63358736038208,40.6s,55.087141036987305,55.1s,40.99644708633423,41.0s,1.0%
5,5,0.0049987664009143295,2.9716574913024902,0.272,,,55.994675636291504,56.0s,47.80902719497681,47.8s,62.37360429763794,1.0m,48.28291726112366,48.3s,1.2%
6,6,0.004998072590601808,2.7981801055908204,0.3064,,,63.17813062667847,1.1m,54.992711305618286,55.0s,69.6387369632721,1.2m,55.548054695129395,55.5s,1.5%
7,7,0.004997224687404926,2.648729244232178,0.3354,,,70.37826991081238,1.2m,62.19307899475098,1.0m,76.94247341156006,1.3m,62.8517951965332,1.0m,1.8%
8,8,0.004996222743626346,2.525248875427246,0.3554,3.0342581455230713,0.2625,81.01590514183044,1.4m,69.40388250350952,1.2m,87.75855112075806,1.5m,70.16226363182068,1.2m,2.0%
9,9,0.00499506682107068,2.4039762840270997,0.3862,,,88.22638154029846,1.5m,76.61454820632935,1.3m,95.04488635063171,1.6m,77.44860482215881,1.3m,2.2%
10,10,0.004993756991040676,2.2804799343109132,0.4048,,,95.44341731071472,1.6m,83.8317813873291,1.4m,102.36179089546204,1.7m,84.76551246643066,1.4m,2.5%
11,11,0.004992293334332821,2.165912181472778,0.4394,,,102.6667549610138,1.7m,91.0553286075592,1.5m,109.67239451408386,1.8m,92.07612133026123,1.5m,2.8%
