run_id,model_arc,train_dataset,val_dataset,num_classes,train_trans,val_trans,train_ndata,val_ndata,epochs,max_lr,wd,batch_size,iters/epoch,iters,processed_ndata,ndata_per_class,div,ensembles,scale_ch,num_params,criterion,optimizer,scheduler,step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
run_2025-12-10_01-52-01_060720,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.0001,128,391,78200,10000000,500.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.0007909641933348029,last: 0.99966,last: 3.45062967376709,last: 0.682,last: 702.9678559303284,last: 11.7m,last: 682.7199621200562,last: 11.4m,last: 2388.0601558685303,last: 39.8m,last: 2242.2726430892944,last: 37.4m,last: 100.0%
run_2025-12-10_01-52-01_105001,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",20000,10000,200,0.005,0.0001,128,157,31400,4000000,200.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.00035332756042480467,last: 0.9999,last: 5.26127714767456,last: 0.5237,last: 297.4784483909607,last: 5.0m,last: 276.9885675907135,last: 4.6m,last: 1045.4033243656158,last: 17.4m,last: 902.248672246933,last: 15.0m,last: 100.0%
run_2025-12-10_01-52-01_134160,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",10000,10000,400,0.005,0.0001,128,79,31600,4000000,100.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 400,last: 400,last: 7.710588802584138e-8,last: 0.0007958677887916565,last: 0.9997,last: 8.064813155364991,last: 0.3484,last: 303.7629494667053,last: 5.1m,last: 283.0342221260071,last: 4.7m,last: 1057.103417634964,last: 17.6m,last: 912.5791449546814,last: 15.2m,last: 100.0%
run_2025-12-10_01-52-01_188958,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",5000,10000,800,0.005,0.0001,128,40,32000,4000000,50.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 800,last: 800,last: 1.9276546323609985e-8,last: 0.0035031940937042235,last: 0.9994,last: 9.353383729553222,last: 0.245,last: 307.1407837867737,last: 5.1m,last: 286.2870180606842,last: 4.8m,last: 1076.2224960327148,last: 17.9m,last: 931.4584300518036,last: 15.5m,last: 100.0%
run_2025-12-10_02-09-48_723313,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",2000,10000,2000,0.005,0.0001,128,16,32000,4000000,20.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 2000,last: 2000,last: 3.0842507411921074e-9,last: 3.841519370325841e-6,last: 1.0,last: 13.486387130737304,last: 0.1757,last: 305.50559186935425,last: 5.1m,last: 285.23818707466125,last: 4.8m,last: 1120.8757119178772,last: 18.7m,last: 976.5595610141754,last: 16.3m,last: 100.0%
run_2025-12-10_02-10-03_659330,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",1000,10000,4000,0.005,0.0001,128,8,32000,4000000,10.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 4000,last: 4000,last: 7.710628041612792e-10,last: 9.782314300537109e-7,last: 1.0,last: 16.524499816894533,last: 0.1118,last: 363.81912207603455,last: 6.1m,last: 343.71974897384644,last: 5.7m,last: 1204.1345398426056,last: 20.1m,last: 1060.5268290042877,last: 17.7m,last: 100.0%
run_2025-12-10_02-10-32_363908,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",500,10000,8000,0.005,0.0001,128,4,32000,4000000,5.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 8000,last: 8000,last: 1.9276570839554764e-10,last: 1.892328309622826e-6,last: 1.0,last: 18.437914697265626,last: 0.0831,last: 373.6192626953125,last: 6.2m,last: 353.11759424209595,last: 5.9m,last: 1367.4326479434967,last: 22.8m,last: 1222.2993190288544,last: 20.4m,last: 100.0%
run_2025-12-10_02-29-53_962394,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",100,10000,40000,0.005,0.0001,128,1,40000,4000000,1.0,1,1,1.0,11220132,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 40000,last: 40000,last: 7.710628524559779e-12,last: 4.887580757895194e-7,last: 1.0,last: 47.97024432373047,last: 0.0356,last: 373.27962470054626,last: 6.2m,last: 354.0183057785034,last: 5.9m,last: 2634.8185997009277,last: 43.9m,last: 2491.9136538505554,last: 41.5m,last: 100.0%
run_2025-12-10_02-32-28_136378,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.1,0.0001,128,391,78200,10000000,500.0,1,1,1.0,11220132,CrossEntropyLoss,SGD,CosineAnnealingLR,last: 200,last: 200,last: 6.168375916970619e-6,last: 0.002979959506839514,last: 0.99982,last: 0.998268992137909,last: 0.7569,last: 642.42618227005,last: 10.7m,last: 622.4559609889984,last: 10.4m,last: 2357.8786630630493,last: 39.3m,last: 2214.6351401805878,last: 36.9m,last: 100.0%
run_2025-12-10_02-34-55_870104,resnet18,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",20000,10000,200,0.1,0.0001,128,157,31400,4000000,200.0,1,1,1.0,11220132,CrossEntropyLoss,SGD,CosineAnnealingLR,last: 200,last: 200,last: 6.168375916970619e-6,last: 0.0028899700760841368,last: 1.0,last: 1.5575558561325074,last: 0.6414,last: 275.98945927619934,last: 4.6m,last: 256.40750074386597,last: 4.3m,last: 1033.7695870399475,last: 17.2m,last: 890.679292678833,last: 14.8m,last: 100.0%
