step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
1,1,0.1,3.841216867675781,0.1095,,,12.850542068481445,12.9s,12.852412223815918,12.9s,21.122263193130493,21.1s,21.122270107269287,21.1s,0.5%
2,2,0.09999383162408304,3.060082075653076,0.23742,2.814132766723633,0.2894,17.920714616775513,17.9s,15.908718824386597,15.9s,41.372509717941284,41.4s,32.10854911804199,32.1s,1.0%
3,3,0.09997532801828658,2.468592463531494,0.34788,,,21.13328194618225,21.1s,19.12352681159973,19.1s,52.376518964767456,52.4s,43.11257028579712,43.1s,1.5%
4,4,0.09994449374809851,2.0866273788452148,0.4321,2.1733137069702146,0.4218,24.257214069366455,24.3s,22.041682481765747,22.0s,64.87350487709045,1.1m,54.09904646873474,54.1s,2.0%
5,5,0.09990133642141359,1.8363206836700439,0.49128,,,27.297563791275024,27.3s,25.083934545516968,25.1s,75.84794044494629,1.3m,65.07348799705505,1.1m,2.5%
6,6,0.09984586668665642,1.6823127306365966,0.53094,1.929546598815918,0.4852,30.5362491607666,30.5s,28.14440131187439,28.1s,88.2659842967987,1.5m,76.08862662315369,1.3m,3.0%
7,7,0.09977809823015402,1.5767643997192382,0.55568,,,33.52253556251526,33.5s,31.13260245323181,31.1s,99.22630262374878,1.7m,87.04894995689392,1.5m,3.5%
8,8,0.09969804777275901,1.4961517833709717,0.57402,2.0223470336914064,0.4743,36.752795934677124,36.8s,34.17780947685242,34.2s,111.56464672088623,1.9m,98.00804734230042,1.6m,4.0%
9,9,0.09960573506572391,1.4352608079910278,0.59006,,,39.72855830192566,39.7s,37.15556335449219,37.2s,122.55974650382996,2.0m,109.0031521320343,1.8m,4.5%
10,10,0.09950118288582789,1.3818273376083374,0.60078,1.6713650924682617,0.5453,43.10597562789917,43.1s,40.352396965026855,40.4s,135.11455416679382,2.3m,120.20299005508423,2.0m,5.0%
11,11,0.09938441702975691,1.3360654599761963,0.61378,,,46.111016035079956,46.1s,43.35950255393982,43.4s,146.10642528533936,2.4m,131.19487190246582,2.2m,5.5%
12,12,0.09925546630773871,1.2983205310821533,0.62774,1.6953776397705078,0.5507,49.40627193450928,49.4s,46.475080728530884,46.5s,158.39026761054993,2.6m,142.14298272132874,2.4m,6.0%
13,13,0.09911436253643445,1.270145610923767,0.6326,,,52.40895891189575,52.4s,49.479663133621216,49.5s,169.3946988582611,2.8m,153.1474220752716,2.6m,6.5%
14,14,0.0989611405310883,1.241128636856079,0.64044,1.8154684482574464,0.5154,55.54094624519348,55.5s,52.43882608413696,52.4s,181.69321465492249,3.0m,164.0687870979309,2.7m,7.0%
15,15,0.09879583809693739,1.2121923894119262,0.64524,,,58.56489849090576,58.6s,55.46470808982849,55.5s,192.66308856010437,3.2m,175.03866600990295,2.9m,7.5%
16,16,0.09861849601988384,1.1875770695495604,0.65642,1.607316558074951,0.5587,61.787501096725464,1.0m,58.50958442687988,58.5s,204.93005394935608,3.4m,185.9734435081482,3.1m,8.0%
17,17,0.09842915805643157,1.1697932779121398,0.66016,,,64.88467931747437,1.1m,61.608696699142456,1.0m,215.9048056602478,3.6m,196.94820022583008,3.3m,8.5%
18,18,0.09822787092288993,1.1498731452941895,0.66598,1.812060952758789,0.5273,68.05709147453308,1.1m,64.61486530303955,1.1m,228.17753720283508,3.8m,207.89241528511047,3.5m,9.0%
19,19,0.09801468428384717,1.1402297980499267,0.66752,,,71.0996298789978,1.2m,67.65942287445068,1.1m,239.06421518325806,4.0m,218.7790982723236,3.6m,9.5%
20,20,0.09778965073991652,1.1211758195877075,0.6709,1.658366323852539,0.5665,74.30653643608093,1.2m,70.6938009262085,1.2m,251.59952998161316,4.2m,229.97921323776245,3.8m,10.0%
21,21,0.0975528258147577,1.0973044342803955,0.67972,,,77.32933306694031,1.3m,73.71845769882202,1.2m,262.54754877090454,4.4m,240.92723846435547,4.0m,10.5%
22,22,0.09730426794137728,1.0936452946853639,0.68062,1.5755301986694337,0.5763,80.45312643051147,1.3m,76.65984535217285,1.3m,274.8210587501526,4.6m,251.85374665260315,4.2m,11.0%
