step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
1,1,0.005,4.60488224029541,0.01,,,6.896178483963013,6.9s,6.896199941635132,6.9s,6.95296311378479,7.0s,6.952970027923584,7.0s,0.0%
2,2,0.004999999969157486,4.5378007888793945,0.09,,,7.173321485519409,7.2s,7.173346996307373,7.2s,7.286585569381714,7.3s,7.286596059799194,7.3s,0.0%
3,3,0.0049999998766299455,4.4646148681640625,0.16,,,7.321180820465088,7.3s,7.321211099624634,7.3s,7.495687961578369,7.5s,7.49570107460022,7.5s,0.0%
4,4,0.004999999722417381,4.380563259124756,0.18,,,7.4671924114227295,7.5s,7.467226505279541,7.5s,7.704014301300049,7.7s,7.704029560089111,7.7s,0.0%
5,5,0.0049999995065197955,4.282124042510986,0.29,,,7.613036632537842,7.6s,7.613075017929077,7.6s,7.910709619522095,7.9s,7.910727024078369,7.9s,0.0%
6,6,0.004999999228937195,4.177850246429443,0.36,,,7.759601593017578,7.8s,7.759643793106079,7.8s,8.117832660675049,8.1s,8.117851495742798,8.1s,0.0%
7,7,0.0049999988896695866,4.076266288757324,0.4,,,7.90509557723999,7.9s,7.905140161514282,7.9s,8.323632955551147,8.3s,8.323653221130371,8.3s,0.0%
8,8,0.004999998488716978,3.967682123184204,0.42,,,8.05097770690918,8.1s,8.051026105880737,8.1s,8.530298948287964,8.5s,8.530320644378662,8.5s,0.0%
9,9,0.004999998026079379,3.8599393367767334,0.5,,,8.197423458099365,8.2s,8.197474479675293,8.2s,8.7357759475708,8.7s,8.735799074172974,8.7s,0.0%
10,10,0.004999997501756802,3.729207992553711,0.55,,,8.343130111694336,8.3s,8.343183994293213,8.3s,8.927396059036255,8.9s,8.927420616149902,8.9s,0.1%
11,11,0.004999996915749258,3.603837013244629,0.6,,,8.488590478897095,8.5s,8.488648891448975,8.5s,9.13559365272522,9.1s,9.135620594024658,9.1s,0.1%
12,12,0.004999996268056764,3.4888968467712402,0.66,,,8.6347815990448,8.6s,8.634843349456787,8.6s,9.327049732208252,9.3s,9.32707929611206,9.3s,0.1%
13,13,0.004999995558679334,3.3569443225860596,0.7,,,8.78102159500122,8.8s,8.781087636947632,8.8s,9.530890703201294,9.5s,9.530922651290894,9.5s,0.1%
14,14,0.004999994787616986,3.214705228805542,0.7,,,8.927392482757568,8.9s,8.92747974395752,8.9s,9.748417139053345,9.7s,9.748454093933105,9.7s,0.1%
15,15,0.004999993954869739,3.0832788944244385,0.76,,,9.074065685272217,9.1s,9.074156761169434,9.1s,9.954241752624512,10.0s,9.954281330108643,10.0s,0.1%
16,16,0.004999993060437615,2.933668613433838,0.85,,,9.220234632492065,9.2s,9.220329999923706,9.2s,10.160139322280884,10.2s,10.160181045532227,10.2s,0.1%
17,17,0.004999992104320634,2.7915072441101074,0.86,,,9.366781949996948,9.4s,9.366882801055908,9.4s,10.368687391281128,10.4s,10.368731260299683,10.4s,0.1%
18,18,0.00499999108651882,2.6552295684814453,0.87,,,9.51295256614685,9.5s,9.513059377670288,9.5s,10.577373266220093,10.6s,10.577420234680176,10.6s,0.1%
19,19,0.0049999900070322,2.5172061920166016,0.91,,,9.65951132774353,9.7s,9.65962290763855,9.7s,10.784882068634033,10.8s,10.784931182861328,10.8s,0.1%
20,20,0.0049999888658607975,2.370523452758789,0.91,,,9.805629968643188,9.8s,9.805746078491211,9.8s,10.991657733917236,11.0s,10.991709232330322,11.0s,0.1%
21,21,0.004999987663004644,2.237413167953491,0.93,,,9.952281713485718,10.0s,9.952402591705322,10.0s,11.184855222702026,11.2s,11.184909105300903,11.2s,0.1%
22,22,0.004999986398463767,2.0753235816955566,0.96,,,10.099109411239624,10.1s,10.099234104156494,10.1s,11.378036260604858,11.4s,11.378092527389526,11.4s,0.1%
23,23,0.004999985072238197,1.945062279701233,0.97,,,10.245701789855957,10.2s,10.245830059051514,10.2s,11.5698881149292,11.6s,11.569946527481079,11.6s,0.1%
24,24,0.00499998368432797,1.7994693517684937,0.97,,,10.392223596572876,10.4s,10.39235544204712,10.4s,11.760885238647461,11.8s,11.760946035385132,11.8s,0.1%
25,25,0.004999982234733117,1.6546989679336548,0.96,,,10.539016008377075,10.5s,10.539153337478638,10.5s,11.952482223510742,12.0s,11.952546119689941,12.0s,0.1%
26,26,0.004999980723453675,1.5237758159637451,0.97,,,10.685519218444824,10.7s,10.685659885406494,10.7s,12.158730030059814,12.2s,12.158795833587646,12.2s,0.1%
27,27,0.004999979150489681,1.3947290182113647,0.98,,,10.831863641738892,10.8s,10.83200740814209,10.8s,12.365738868713379,12.4s,12.365806818008423,12.4s,0.1%
28,28,0.0049999775158411745,1.269852638244629,0.98,,,10.979060649871826,11.0s,10.979209661483765,11.0s,12.573082208633423,12.6s,12.573152542114258,12.6s,0.1%
29,29,0.004999975819508195,1.1367948055267334,0.99,,,11.12581729888916,11.1s,11.12597131729126,11.1s,12.778345108032227,12.8s,12.778417348861694,12.8s,0.1%
30,30,0.004999974061490785,1.0483314990997314,0.99,,,11.273082494735718,11.3s,11.273239850997925,11.3s,12.986193895339966,13.0s,12.986268281936646,13.0s,0.1%
31,31,0.004999972241788987,0.9190497398376465,1.0,,,11.419161558151245,11.4s,11.419322967529297,11.4s,13.198772430419922,13.2s,13.198848485946655,13.2s,0.2%
32,32,0.004999970360402847,0.8162612318992615,1.0,,,11.56571340560913,11.6s,11.56587815284729,11.6s,13.390156745910645,13.4s,13.390234231948853,13.4s,0.2%
33,33,0.004999968417332411,0.7077724933624268,1.0,,,11.712406873703003,11.7s,11.712577819824219,11.7s,13.600858211517334,13.6s,13.60093879699707,13.6s,0.2%
34,34,0.004999966412577727,0.6119260191917419,1.0,,,11.859076976776123,11.9s,11.859255075454712,11.9s,13.811692476272583,13.8s,13.811775207519531,13.8s,0.2%
