step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
1,1,0.005,3.796744724273682,0.1328,,,111.6616723537445,1.9m,111.66244840621948,1.9m,111.81101322174072,1.9m,111.81102108955383,1.9m,0.5%
2,2,0.004999691581204151,2.983100114822388,0.2634,2.866298525619507,0.283,154.96339893341064,2.6m,140.41703534126282,2.3m,161.17044496536255,2.7m,140.71585893630981,2.3m,1.0%
3,3,0.004998766400914329,2.623919620513916,0.338,,,183.67882418632507,3.1m,169.13313460350037,2.8m,190.05309009552002,3.2m,169.59850931167603,2.8m,1.5%
4,4,0.004997224687404925,2.4031612350463867,0.3773,2.485038624954224,0.3581,216.02581214904785,3.6m,198.03508353233337,3.3m,222.71927523612976,3.7m,198.68942594528198,3.3m,2.0%
5,5,0.004995066821070679,2.227657881164551,0.4144,,,244.97119975090027,4.1m,226.98129391670227,3.8m,251.83480381965637,4.2m,227.80495858192444,3.8m,2.5%
6,6,0.004992293334332819,2.1070375175476075,0.4423,2.289513614654541,0.4047,277.37735414505005,4.6m,255.9487109184265,4.3m,284.5052661895752,4.7m,256.93635606765747,4.3m,3.0%
7,7,0.004988904911507699,2.0070826740264893,0.46635,,,306.31728744506836,5.1m,284.8892660140991,4.7m,313.57382702827454,5.2m,286.004921913147,4.8m,3.5%
8,8,0.0049849023886379485,1.9263776462554931,0.4822,2.285721279335022,0.4181,338.70609974861145,5.6m,313.8516170978546,5.2m,346.2060377597809,5.8m,315.1424148082733,5.3m,4.0%
9,9,0.004980286753286193,1.8313087238311767,0.5114,,,367.64232325553894,6.1m,342.788507938385,5.7m,375.2968385219574,6.3m,344.23321890830994,5.7m,4.5%
10,10,0.004975059144291392,1.7634154026031494,0.52695,2.137336549377441,0.4469,399.97582507133484,6.7m,371.6995213031769,6.2m,407.8579668998718,6.8m,373.27683568000793,6.2m,5.0%
11,11,0.004969220851487842,1.7017954792022705,0.5369,,,428.8915560245514,7.1m,400.6158592700958,6.7m,436.9168653488159,7.3m,402.33573818206787,6.7m,5.5%
12,12,0.004962773315386932,1.6499472021102906,0.54365,2.1162339504241943,0.4495,461.21849155426025,7.7m,429.5247251987457,7.2m,469.4889280796051,7.8m,431.3957197666168,7.2m,6.0%
13,13,0.004955718126821719,1.607992533302307,0.56245,,,490.134418964386,8.2m,458.44125056266785,7.6m,498.56941413879395,8.3m,460.47620940208435,7.7m,6.5%
14,14,0.004948057026554412,1.5737260385513305,0.5656,2.0810236440658567,0.4591,522.4728028774261,8.7m,487.35210514068604,8.1m,531.1617932319641,8.9m,489.5353467464447,8.2m,7.0%
15,15,0.0049397919048468665,1.531621039199829,0.57745,,,551.393780708313,9.2m,516.2737925052643,8.6m,560.2481112480164,9.3m,518.62166929245,8.6m,7.5%
16,16,0.004930924800994189,1.492526763820648,0.58745,2.034366301727295,0.4719,583.7132437229156,9.7m,545.1735262870789,9.1m,592.8039844036102,9.9m,547.662011384964,9.1m,8.0%
17,17,0.004921457902821575,1.453351194381714,0.59915,,,612.6228377819061,10.2m,574.0837807655334,9.6m,621.8636612892151,10.4m,576.721691608429,9.6m,8.5%
18,18,0.0049113935461444925,1.4289778747558595,0.60195,2.164215956878662,0.4515,644.9725248813629,10.7m,603.008682012558,10.1m,654.4793050289154,10.9m,605.8136365413666,10.1m,9.0%
19,19,0.004900734214192355,1.3960198236465453,0.6102,,,673.9164469242096,11.2m,631.953450679779,10.5m,683.6062529087067,11.4m,634.9405889511108,10.6m,9.5%
20,20,0.0048894825369958225,1.359406328201294,0.62105,2.093047410583496,0.4722,706.2863345146179,11.8m,660.9012026786804,11.0m,716.2732710838318,11.9m,664.0840842723846,11.1m,10.0%
21,21,0.004877641290737881,1.3333697731018066,0.6289,,,735.2014060020447,12.3m,689.8169913291931,11.5m,745.376877784729,12.4m,693.1876945495605,11.6m,10.5%
22,22,0.00486521339706886,1.3138810722351075,0.6327,2.0420007804870606,0.4729,767.5480108261108,12.8m,718.7358145713806,12.0m,778.021146774292,13.0m,722.2934083938599,12.0m,11.0%
23,23,0.00485220192238556,1.2768250942230224,0.6412,,,796.4537200927734,13.3m,747.6421539783478,12.5m,807.0675573348999,13.5m,751.3398234844208,12.5m,11.5%
24,24,0.004838610077074665,1.2623252902984619,0.6458,2.0620275367736816,0.4741,828.791200876236,13.8m,776.5564839839935,12.9m,839.6614439487457,14.0m,780.4137823581696,13.0m,12.0%
25,25,0.004824441214720625,1.253389875793457,0.64895,,,857.7108864784241,14.3m,805.4768824577332,13.4m,868.7448172569275,14.5m,809.4971611499786,13.5m,12.5%
26,26,0.004809698831278213,1.203420726776123,0.6623,1.9941633935928345,0.4927,890.0645322799683,14.8m,834.4083907604218,13.9m,901.3451571464539,15.0m,838.6128041744232,14.0m,13.0%
27,27,0.004794386564209949,1.1970265977859498,0.6637,,,918.9623100757599,15.3m,863.3068907260895,14.4m,930.4068632125854,15.5m,867.6745173931122,14.5m,13.5%
28,28,0.0047785081915886094,1.1866508111953735,0.66605,2.105885189819336,0.4812,951.3143553733826,15.9m,892.2382121086121,14.9m,963.0405459403992,16.1m,896.7864503860474,14.9m,14.0%
29,29,0.004762067631165046,1.1544135551452637,0.676,,,980.2162044048309,16.3m,921.1408121585846,15.4m,992.1219613552094,16.5m,925.8678693771362,15.4m,14.5%
30,30,0.004745068939401536,1.146181713104248,0.67245,2.1017478916168213,0.4782,1012.5631861686707,16.9m,950.0688540935516,15.8m,1024.7380068302155,17.1m,954.9657020568848,15.9m,15.0%
31,31,0.0047275163104709165,1.1265286128997802,0.6833,,,1041.4689803123474,17.4m,978.9753680229187,16.3m,1053.8012990951538,17.6m,984.0290052890778,16.4m,15.5%
32,32,0.004709414075221731,1.1042704875946046,0.6884,2.044619444274902,0.4873,1073.8192420005798,17.9m,1007.9070775508881,16.8m,1086.4269506931305,18.1m,1013.1403357982635,16.9m,16.0%
33,33,0.004690766700109656,1.0938863506317138,0.69085,,,1102.7519536018372,18.4m,1036.8407046794891,17.3m,1115.5542478561401,18.6m,1042.2676389217377,17.4m,16.5%
34,34,0.004671578786095475,1.0669323219299316,0.6993,2.0844650775909424,0.4769,1135.0838901996613,18.9m,1065.7484211921692,17.8m,1148.1189484596252,19.1m,1071.3383619785309,17.9m,17.0%
35,35,0.004651855067509856,1.0667845951080321,0.69985,,,1163.980239391327,19.4m,1094.6454074382782,18.2m,1177.176952123642,19.6m,1100.3963704109192,18.3m,17.5%
36,36,0.004631600410885227,1.0358469602584839,0.70845,2.0681373722076417,0.4829,1196.307993888855,19.9m,1123.538460969925,18.7m,1209.725078344345,20.2m,1129.4414207935333,18.8m,18.0%
37,37,0.004610819813755034,1.0346839031219481,0.707,,,1225.232179403305,20.4m,1152.4634656906128,19.2m,1238.8280742168427,20.6m,1158.5444207191467,19.3m,18.5%
38,38,0.004589518403420673,1.0251406322479248,0.70905,2.1269464614868165,0.4791,1257.577743768692,21.0m,1181.3782620429993,19.7m,1271.4701459407806,21.2m,1187.6446225643158,19.8m,19.0%
39,39,0.0045677014356864006,1.0123328575134278,0.7133,,,1286.4998488426208,21.4m,1210.3011977672577,20.2m,1300.5829384326935,21.7m,1216.7574210166931,20.3m,19.5%
40,40,0.004545374293562555,0.9814528419494629,0.7233,2.061152958679199,0.4929,1318.8164701461792,22.0m,1239.199049949646,20.7m,1333.15682721138,22.2m,1245.813987493515,20.8m,20.0%
41,41,0.004522542485937365,0.9791369026184082,0.7218,,,1347.713133096695,22.5m,1268.0964984893799,21.1m,1362.2330060005188,22.7m,1274.890171289444,21.2m,20.5%
42,42,0.004499211646217723,0.9585688823699952,0.7324,2.2739241790771483,0.4553,1380.0477352142334,23.0m,1297.008285999298,21.6m,1394.801986694336,23.2m,1303.974556684494,21.7m,21.0%
43,43,0.004475387530939221,0.958439828300476,0.72795,,,1408.942799091339,23.5m,1325.9040863513947,22.1m,1423.863444328308,23.7m,1333.0360188484192,22.2m,21.5%
44,44,0.0044510760183458205,0.942153720664978,0.7326,2.085677727127075,0.4902,1441.2642040252686,24.0m,1354.8034436702728,22.6m,1456.4555480480194,24.3m,1362.1064081192017,22.7m,22.0%
45,45,0.004426283106939469,0.9245311173439026,0.7402,,,1470.158133983612,24.5m,1383.698031425476,23.1m,1485.5116953849792,24.8m,1391.1625592708588,23.2m,22.5%
46,46,0.0044010149140000735,0.9261425827026367,0.73635,2.007158001899719,0.4954,1502.4764177799225,25.0m,1412.595249414444,23.5m,1518.0966653823853,25.3m,1420.2302742004395,23.7m,23.0%
47,47,0.004375277674076145,0.9152912364959717,0.7382,,,1531.3608930110931,25.5m,1441.480413198471,24.0m,1547.1494297981262,25.8m,1449.2830438613892,24.2m,23.5%
48,48,0.0043490777374465195,0.895572993850708,0.7454,2.1462488512039184,0.4831,1563.6571180820465,26.1m,1470.3626129627228,24.5m,1579.70321393013,26.3m,1478.3372087478638,24.6m,24.0%
49,49,0.0043224215685535245,0.8823252861022949,0.7475,,,1592.572472333908,26.5m,1499.2788362503052,25.0m,1608.7982914447784,26.8m,1507.4322900772095,25.1m,24.5%
50,50,0.004295315744407968,0.8676831472396851,0.75505,2.1219927331924437,0.4867,1624.9174118041992,27.1m,1528.1978969573975,25.5m,1641.4163177013397,27.4m,1536.519944190979,25.6m,25.0%
51,51,0.004267766952966364,0.870660258769989,0.75035,,,1653.8140518665314,27.6m,1557.0953142642975,26.0m,1670.495974779129,27.8m,1565.5996062755585,26.1m,25.5%
52,52,0.004239781991480781,0.86498743724823,0.75725,2.0224093524932862,0.4978,1686.135251045227,28.1m,1585.9964907169342,26.4m,1703.0919661521912,28.4m,1594.6782457828522,26.6m,26.0%
53,53,0.004211367764821717,0.8389697641372681,0.7617,,,1715.0356760025024,28.6m,1614.8976912498474,26.9m,1732.160588502884,28.9m,1623.7468729019165,27.1m,26.5%
54,54,0.004182531283774428,0.8320261348724365,0.768,2.1002195892333986,0.4922,1747.369635105133,29.1m,1643.8093724250793,27.4m,1764.7496938705444,29.4m,1652.8249757289886,27.5m,27.0%
55,55,0.004153279663309125,0.8171624774932862,0.76895,,,1776.2607154846191,29.6m,1672.7011458873749,27.9m,1793.8006896972656,29.9m,1681.8759763240814,28.0m,27.5%
56,56,0.004123620120825454,0.8148447093963623,0.7684,2.6267207489013673,0.4541,1808.5485997200012,30.1m,1701.5715749263763,28.4m,1826.3199977874756,30.4m,1710.8848519325256,28.5m,28.0%
57,57,0.00409355997437172,0.8080296323776245,0.77295,,,1837.4369056224823,30.6m,1730.46067070961,28.8m,1855.376919746399,30.9m,1739.9417793750763,29.0m,28.5%
58,58,0.004063106640839259,0.7972276672363281,0.77395,2.148949224853516,0.4844,1869.726327419281,31.2m,1759.3345611095428,29.3m,1887.951097726822,31.5m,1769.003566980362,29.5m,29.0%
59,59,0.004032267634132437,0.7887101402282715,0.7788,,,1898.6002070903778,31.6m,1788.2091507911682,29.8m,1917.0057787895203,32.0m,1798.058251619339,30.0m,29.5%
60,60,0.0040010505633147056,0.7646418807029725,0.78765,2.4197696273803713,0.4645,1930.888099193573,32.2m,1817.0748388767242,30.3m,1949.5461912155151,32.5m,1827.083627462387,30.5m,30.0%
61,61,0.003969463130731179,0.7472555135726928,0.79135,,,1959.7493364810944,32.7m,1845.9367697238922,30.8m,1978.5723066329956,33.0m,1856.1097469329834,30.9m,30.5%
62,62,0.003937513130108193,0.753711904335022,0.7898,2.102373508644104,0.4898,1992.0502619743347,33.2m,1874.8145337104797,31.2m,2011.1569249629974,33.5m,1885.167515039444,31.4m,31.0%
63,63,0.0039052084446303233,0.7447113952636719,0.79185,,,2020.954534292221,33.7m,1903.7196760177612,31.7m,2040.2411057949066,34.0m,1914.251701593399,31.9m,31.5%
64,64,0.0038725570449953256,0.7408110113143921,0.7936,2.137924760055542,0.4882,2053.232262134552,34.2m,1932.5840513706207,32.2m,2072.7625999450684,34.5m,1943.2716188430786,32.4m,32.0%
65,65,0.0038395669874474875,0.7388789043426514,0.7927,,,2082.108699321747,34.7m,1961.4612078666687,32.7m,2101.8310129642487,35.0m,1972.3400359153748,32.9m,32.5%
66,66,0.0038062464117898684,0.7264701358795166,0.7962,2.3967452449798583,0.4579,2114.416817188263,35.2m,1990.348620891571,33.2m,2134.406727075577,35.6m,2001.4190826416016,33.4m,33.0%
67,67,0.003772603539375925,0.7099912875175476,0.8004,,,2143.307028055191,35.7m,2019.239623785019,33.7m,2163.499752998352,36.1m,2030.5121121406555,33.8m,33.5%
68,68,0.003738646671081016,0.6914281018257141,0.8099,2.06839621925354,0.5009,2175.5936040878296,36.3m,2048.1071062088013,34.1m,2196.0546612739563,36.6m,2059.5528995990753,34.3m,34.0%
69,69,0.003704384185254285,0.6942492124557496,0.8064,,,2204.477403640747,36.7m,2076.9917063713074,34.6m,2225.1183631420135,37.1m,2088.61660695076,34.8m,34.5%
70,70,0.0036698245356514307,0.6877328866958619,0.80815,2.068628555870056,0.4975,2236.772171497345,37.3m,2105.8682940006256,35.1m,2257.656427383423,37.6m,2117.669492483139,35.3m,35.0%
71,71,0.003634976249348864,0.6761237424850464,0.8118,,,2265.6520009040833,37.8m,2134.748898744583,35.6m,2286.70973277092,38.1m,2146.7228021621704,35.8m,35.5%
72,72,0.003599847924639784,0.6672101909637451,0.81665,2.0828941152572633,0.5039,2297.9634442329407,38.3m,2163.638887643814,36.1m,2319.314185142517,38.7m,2175.8065173625946,36.3m,36.0%
73,73,0.0035644482289126788,0.6542750272750855,0.81625,,,2326.8552508354187,38.8m,2192.5315363407135,36.5m,2348.39919257164,39.1m,2204.891529560089,36.7m,36.5%
74,74,0.0035287858965127694,0.6471508962631226,0.82235,2.0660659313201903,0.4988,2359.143068790436,39.3m,2221.3986914157867,37.0m,2380.964030981064,39.7m,2233.9359426498413,37.2m,37.0%
75,75,0.0034928697265869486,0.6454004428863526,0.82355,,,2388.020290374756,39.8m,2250.276700258255,37.5m,2410.014295578003,40.2m,2262.9862127304077,37.7m,37.5%
76,76,0.003456708580912722,0.6297690923690796,0.82895,2.272023348617554,0.477,2420.309726715088,40.3m,2279.1437821388245,38.0m,2442.569591999054,40.7m,2292.0133228302,38.2m,38.0%
77,77,0.0034203113817116927,0.6205869649887085,0.83255,,,2449.1580653190613,40.8m,2307.992744445801,38.5m,2471.597503423691,41.2m,2321.0412406921387,38.7m,38.5%
78,78,0.0033836871094481405,0.6113263923645019,0.8341,2.134501272201538,0.502,2481.441129922867,41.4m,2336.8607079982758,38.9m,2504.1255939006805,41.7m,2350.0558700561523,39.2m,39.0%
79,79,0.0033468448006132266,0.6002814373016357,0.83725,,,2510.302831172943,41.8m,2365.7231018543243,39.4m,2533.1547722816467,42.2m,2379.0850534439087,39.7m,39.5%
80,80,0.0033097935454953716,0.6012830913543701,0.83685,2.085010161972046,0.51,2542.585037469864,42.4m,2394.582999229431,39.9m,2565.690145969391,42.8m,2408.1010341644287,40.1m,40.0%
81,81,0.0032725424859373665,0.5942415141105651,0.83845,,,2571.4562158584595,42.9m,2423.4549412727356,40.4m,2594.7531220912933,43.2m,2437.1640136241913,40.6m,40.5%
82,82,0.003235100813080758,0.5791999312400817,0.84255,2.1070702882766725,0.5085,2603.7399821281433,43.4m,2452.3212597370148,40.9m,2627.305379629135,43.8m,2466.205347061157,41.1m,41.0%
83,83,0.0031974777650980715,0.5619066555023193,0.84785,,,2632.5968384742737,43.9m,2481.178788423538,41.4m,2656.3477659225464,44.3m,2495.247737646103,41.6m,41.5%
84,84,0.00315968262491343,0.5524091184616089,0.85345,2.9959684354782103,0.4456,2664.8539805412292,44.4m,2510.0243723392487,41.8m,2688.847303390503,44.8m,2524.2377712726593,42.1m,42.0%
85,85,0.003121724717912135,0.5539306470870972,0.8521,,,2693.707137823105,44.9m,2538.878119945526,42.3m,2717.8719980716705,45.3m,2553.2624690532684,42.6m,42.5%
86,86,0.0030836134096397625,0.5431002597808838,0.85735,2.0703022983551027,0.505,2725.9670119285583,45.4m,2567.7208812236786,42.8m,2750.3843047618866,45.8m,2582.286840438843,43.0m,43.0%
87,87,0.0030453581034913554,0.551819941329956,0.8528,,,2754.8049581050873,45.9m,2596.5593707561493,43.3m,2779.3850803375244,46.3m,2611.2876193523407,43.5m,43.5%
88,88,0.0030069682383912803,0.5256493306159973,0.8632,2.023080119895935,0.5123,2787.0725333690643,46.5m,2625.4106051921844,43.8m,2811.917944908142,46.9m,2640.30672621727,44.0m,44.0%
89,89,0.002968453286464311,0.5175923654556275,0.8656,,,2815.921540737152,46.9m,2654.2602767944336,44.2m,2840.95258975029,47.3m,2669.3413755893707,44.5m,44.5%
90,90,0.0029298227506985223,0.5070086501121521,0.86815,2.113376950073242,0.5115,2848.183779001236,47.5m,2683.1037850379944,44.7m,2873.4817609786987,47.9m,2698.3518929481506,45.0m,45.0%
