step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,1,1.9036159408569335,0.301,2.1680090684890745,0.3352,1745228343.5417902,2025/04/21 18:39:03,13.820267915725708,13.8s,0.00017716098227538168
2,2,1.5603847721099853,0.4272,1.7072056594848632,0.4002,1745228357.0532389,2025/04/21 18:39:17,27.331716537475586,27.3s,0.0004009856202173978
3,3,1.465453412246704,0.4666,1.5135079357147216,0.4548,1745228370.8099856,2025/04/21 18:39:30,41.088463306427,41.1s,0.00026139902183786035
4,4,1.400235578918457,0.4872,1.5165498829841613,0.4772,1745228385.6469724,2025/04/21 18:39:45,55.92545008659363,55.9s,0.0002174077380914241
5,5,1.3237960199356078,0.514,2.07536552734375,0.3984,1745228399.032295,2025/04/21 18:39:59,69.31077265739441,1.2m,0.00018422130960971117
6,6,1.2550930908203124,0.5452,1.4414561498641967,0.4904,1745228412.785832,2025/04/21 18:40:12,83.06430959701538,1.4m,0.0002726206148508936
7,7,1.2172354020118714,0.558,1.3345323347091675,0.5296,1745228426.5785334,2025/04/21 18:40:26,96.85701107978821,1.6m,0.00028430260135792196
8,8,1.1783978414535523,0.5838,1.2264717765808106,0.5612,1745228441.046627,2025/04/21 18:40:41,111.32510471343994,1.9m,0.00037499776226468384
9,9,1.1413048362731935,0.5838,1.203490275669098,0.5714,1745228454.47056,2025/04/21 18:40:54,124.74903774261475,2.1m,0.0002132903755409643
10,10,1.0944148483276368,0.6122,1.2510574556350709,0.5844,1745228467.954952,2025/04/21 18:41:07,138.23342967033386,2.3m,0.0006814806838519871
11,11,1.0762258193969727,0.6164,1.2291949527740478,0.5784,1745228481.3615875,2025/04/21 18:41:21,151.64006519317627,2.5m,0.00028924926300533116
12,12,1.0490335762023926,0.6254,1.2409949165344238,0.58,1745228495.29851,2025/04/21 18:41:35,165.57698774337769,2.8m,0.00028679188108071685
13,13,1.0278158451080321,0.6354,1.2119854433059691,0.5844,1745228509.167046,2025/04/21 18:41:49,179.44552373886108,3.0m,0.00021645124070346355
14,14,1.0370809921264648,0.6308,1.2807058513641358,0.5772,1745228522.9335515,2025/04/21 18:42:02,193.2120292186737,3.2m,0.0005653758998960257
15,15,1.0302650089263916,0.6416,1.2258959041595459,0.587,1745228536.686073,2025/04/21 18:42:16,206.96455073356628,3.4m,0.00037209971924312413
16,16,1.0117439699172974,0.643,1.1696360523223877,0.605,1745228550.3491027,2025/04/21 18:42:30,220.62758040428162,3.7m,0.000486744218505919
