step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,1,2.303114485549927,0.1052,2.301124774932861,0.1142,1745231904.1892953,2025/04/21 19:38:24,3.9847402572631836,4.0s,0.00012447799963410944
2,2,2.2995729919433594,0.1322,2.297994877624512,0.1378,1745231907.591393,2025/04/21 19:38:27,7.386837959289551,7.4s,0.00012692238669842482
3,3,2.296138361740112,0.1556,2.295269763183594,0.163,1745231910.972844,2025/04/21 19:38:30,10.768288850784302,10.8s,0.00012753299961332232
4,4,2.293216778945923,0.1616,2.2929157669067384,0.1752,1745231914.3317049,2025/04/21 19:38:34,14.127149820327759,14.1s,0.00012548071390483528
5,5,2.29090732460022,0.1674,2.290983950805664,0.1846,1745231917.7168562,2025/04/21 19:38:37,17.512301206588745,17.5s,0.00012347409210633487
6,6,2.2887382709503172,0.1706,2.2892268383026124,0.1904,1745231921.0958402,2025/04/21 19:38:41,20.891285181045532,20.9s,0.00012511586828622967
7,7,2.287043325805664,0.171,2.287627796936035,0.1926,1745231924.493625,2025/04/21 19:38:44,24.289069890975952,24.3s,0.00012367175077088177
8,8,2.2859004749298095,0.1808,2.2874113815307617,0.1932,1745231927.883036,2025/04/21 19:38:47,27.678480863571167,27.7s,0.00011861626990139484
9,9,2.2855798900604247,0.1822,2.287251912689209,0.1974,1745231931.2796955,2025/04/21 19:38:51,31.075140476226807,31.1s,0.000126463666674681
10,10,2.285385078430176,0.1778,2.2868692726135254,0.1948,1745231934.6578767,2025/04/21 19:38:54,34.45332169532776,34.5s,0.00012945893104188144
