step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,1,1.9374500255584717,0.297,1.8217143688201904,0.3442,1745095784.7318323,2025/04/20 05:49:44,1.833204984664917,1.8s,0.00032850433490239084
2,2,1.6929458589553834,0.3778,1.6763303714752198,0.3906,1745095786.057732,2025/04/20 05:49:46,3.159104824066162,3.2s,0.00036777235800400376
3,3,1.641308885192871,0.4048,1.6717265384674072,0.411,1745095787.2513304,2025/04/20 05:49:47,4.352703094482422,4.4s,0.00039227481465786695
4,4,1.598750668144226,0.4114,1.6977712474823,0.4186,1745095788.4461179,2025/04/20 05:49:48,5.54749059677124,5.5s,0.000298580271191895
5,5,1.5594375820159911,0.4384,1.7959111242294312,0.3878,1745095789.6579728,2025/04/20 05:49:49,6.759345531463623,6.8s,0.0002319748018635437
6,6,1.5215076372146605,0.4444,1.479717995452881,0.4608,1745095790.867647,2025/04/20 05:49:50,7.969019651412964,8.0s,0.0002518829423934221
7,7,1.471450393486023,0.4596,1.5060937713623046,0.4702,1745095792.1985714,2025/04/20 05:49:52,9.299944162368774,9.3s,0.00024009565822780132
8,8,1.4506548044204712,0.4736,1.4814289978027344,0.4754,1745095793.41098,2025/04/20 05:49:53,10.512352705001831,10.5s,0.00022839986195322126
9,9,1.4099324989318847,0.4902,1.4381395969390869,0.4866,1745095794.6949682,2025/04/20 05:49:54,11.796340942382812,11.8s,0.0002720806223805994
10,10,1.4217150005340575,0.4874,1.517844206047058,0.4536,1745095795.8874664,2025/04/20 05:49:55,12.988839149475098,13.0s,0.00025603515678085387
11,11,1.4027470287322998,0.4958,1.4940805070877075,0.4748,1745095797.1802688,2025/04/20 05:49:57,14.281641483306885,14.3s,0.00019474637520033866
12,12,1.3686417886734008,0.5038,1.3533118503570556,0.5234,1745095798.465406,2025/04/20 05:49:58,15.566778659820557,15.6s,0.0002089420595439151
13,13,1.35252900390625,0.5076,1.3984017240524291,0.5186,1745095799.8032763,2025/04/20 05:49:59,16.904649019241333,16.9s,0.0002612509997561574
14,14,1.3372631633758545,0.5244,1.3790455320358277,0.5224,1745095801.1642616,2025/04/20 05:50:01,18.265634298324585,18.3s,0.00023430751753039658
15,15,1.3336675868988037,0.5214,1.3407423965454102,0.5248,1745095802.3940368,2025/04/20 05:50:02,19.49540948867798,19.5s,0.0002083546423818916
16,16,1.277912778186798,0.5364,1.4447131885528564,0.5072,1745095803.6395354,2025/04/20 05:50:03,20.74090814590454,20.7s,0.0001446301757823676
17,17,1.2720451063156129,0.5384,1.3129212436676025,0.5344,1745095804.923036,2025/04/20 05:50:04,22.02440881729126,22.0s,0.00021475902758538723
18,18,1.2480410179138184,0.548,1.3875210372924804,0.5132,1745095806.2240214,2025/04/20 05:50:06,23.32539415359497,23.3s,0.00025310961063951254
19,19,1.2755675746917725,0.5386,1.2923824493408202,0.5384,1745095807.5202913,2025/04/20 05:50:07,24.62166404724121,24.6s,0.00021517326240427792
20,20,1.2270370414733887,0.5556,1.3349304220199585,0.532,1745095808.7267513,2025/04/20 05:50:08,25.828124046325684,25.8s,0.00020695259445346892
21,21,1.2428857433319092,0.5478,1.282428903198242,0.5498,1745095810.0114663,2025/04/20 05:50:10,27.112838983535767,27.1s,0.00021388834284152836
22,22,1.2231368862152099,0.5604,1.2857873371124267,0.5554,1745095811.3179119,2025/04/20 05:50:11,28.41928458213806,28.4s,0.00018449958588462323
23,23,1.2023241277694703,0.5634,1.2789987434387207,0.5508,1745095812.590363,2025/04/20 05:50:12,29.69173574447632,29.7s,0.0001780395832611248
24,24,1.183376632118225,0.5736,1.250161216545105,0.562,1745095813.7512982,2025/04/20 05:50:13,30.852670907974243,30.9s,0.00020838035561610013
25,25,1.1811634565353393,0.5716,1.2654402530670166,0.5614,1745095814.9555376,2025/04/20 05:50:14,32.056910276412964,32.1s,0.00027372079784981906
26,26,1.208483932495117,0.563,1.2924690803527832,0.55,1745095816.1573176,2025/04/20 05:50:16,33.25869035720825,33.3s,0.0001633231295272708
27,27,1.1618051334381103,0.5754,1.2467673984527587,0.5646,1745095817.4943542,2025/04/20 05:50:17,34.59572696685791,34.6s,0.0002137150731869042
28,28,1.161457925605774,0.5796,1.2641994546890258,0.5626,1745095818.7182424,2025/04/20 05:50:18,35.81961512565613,35.8s,0.00022307330800686032
29,29,1.1699086154937743,0.5804,1.2610456663131713,0.5546,1745095820.0736668,2025/04/20 05:50:20,37.175039529800415,37.2s,0.00024162983754649758
30,30,1.1520967361450196,0.588,1.2575836771011353,0.5588,1745095821.3027256,2025/04/20 05:50:21,38.40409827232361,38.4s,0.00018455463577993214
31,31,1.1238629859924316,0.5914,1.2221025880813599,0.5816,1745095822.6297932,2025/04/20 05:50:22,39.73116588592529,39.7s,0.00022792964591644704
32,32,1.1283939868927002,0.6018,1.2121981552124024,0.5762,1745095823.813087,2025/04/20 05:50:23,40.91445970535278,40.9s,0.0001353212574031204
33,33,1.0950312030792235,0.6132,1.2168850862503051,0.5764,1745095824.9625683,2025/04/20 05:50:24,42.06394100189209,42.1s,0.00026555746444500983
34,34,1.1274235118865967,0.601,1.227058670425415,0.5734,1745095826.2983418,2025/04/20 05:50:26,43.39971446990967,43.4s,0.00019629109010566026
35,35,1.0895498819351197,0.6014,1.1826383375167846,0.5882,1745095827.5658545,2025/04/20 05:50:27,44.667227268218994,44.7s,0.00023314941790886223
36,36,1.094385813331604,0.6094,1.190354301738739,0.586,1745095828.8552136,2025/04/20 05:50:28,45.9565863609314,46.0s,0.00014658372674603015
37,37,1.0420745559692384,0.631,1.2055537291526794,0.5802,1745095830.2687397,2025/04/20 05:50:30,47.37011241912842,47.4s,0.00020853585738223046
38,38,1.0782080759048462,0.607,1.2219716875076294,0.5722,1745095831.5919895,2025/04/20 05:50:31,48.69336223602295,48.7s,0.0001472087315050885
39,39,1.0433023195266724,0.626,1.1582754228591918,0.5936,1745095832.778254,2025/04/20 05:50:32,49.879626750946045,49.9s,0.00016647936718072742
40,40,1.030485068321228,0.6296,1.194418629837036,0.595,1745095834.0263662,2025/04/20 05:50:34,51.12773895263672,51.1s,0.0002327964175492525
41,41,1.035620683670044,0.6324,1.2197117045402528,0.5886,1745095835.352188,2025/04/20 05:50:35,52.4535608291626,52.5s,0.00022066816745791584
42,42,1.0583285102844238,0.6208,1.213814797973633,0.5844,1745095836.5647495,2025/04/20 05:50:36,53.66612219810486,53.7s,0.0001791551912901923
43,43,1.0166008401870728,0.6418,1.193307793045044,0.5826,1745095837.7975054,2025/04/20 05:50:37,54.89887809753418,54.9s,0.00017112110799644142
44,44,0.9957860603332519,0.6498,1.1655765476226807,0.5998,1745095839.015306,2025/04/20 05:50:39,56.1166787147522,56.1s,0.00021885649766772985
45,45,1.0080174560546875,0.641,1.1706626613616944,0.594,1745095840.2061827,2025/04/20 05:50:40,57.30755543708801,57.3s,0.00019400195742491633
46,46,1.0004533447265624,0.6424,1.1538753643989563,0.606,1745095841.397689,2025/04/20 05:50:41,58.499061822891235,58.5s,0.00018888663908001035
47,47,0.980643291091919,0.656,1.1442123485565185,0.6038,1745095842.5741427,2025/04/20 05:50:42,59.6755154132843,59.7s,0.0001889362174551934
48,48,0.9899663778305053,0.6502,1.1597364387512208,0.599,1745095843.7296555,2025/04/20 05:50:43,60.83102822303772,1.0m,0.0001443350629415363
49,49,0.9658952450752258,0.6644,1.1839150267601013,0.5926,1745095844.9167116,2025/04/20 05:50:44,62.01808428764343,1.0m,0.0001630258047953248
50,50,0.9584542985916138,0.6652,1.1517714141845703,0.6088,1745095846.1183944,2025/04/20 05:50:46,63.21976709365845,1.1m,0.0001993305777432397
