step,train_loss,train_acc,val_loss,val_acc
1,1.864461081123352,0.3148,1.881609656906128,0.336
2,1.5931737224578857,0.4114,2.557619686126709,0.3098
3,1.5197427185058594,0.4484,2.4459736656188964,0.323
4,1.4753167743682862,0.4616,1.7614975933074952,0.4044
5,1.4174063188552857,0.4794,1.5722688095092774,0.4576
6,1.3822686515808105,0.4964,1.5802672632217407,0.4536
7,1.3623383648872376,0.5042,1.5211196519851684,0.4532
8,1.3068307285308838,0.525,1.4413551000595093,0.48
9,1.2490607685089112,0.5596,1.4018727416992187,0.5104
10,1.2501154933929444,0.5526,1.3080448207855224,0.539
11,1.2313442022323609,0.5596,1.4387527320861817,0.511
12,1.1899292448043823,0.5778,1.479434130191803,0.5174
13,1.176408680820465,0.5786,1.2711172337532044,0.5594
14,1.1240794942855834,0.5962,1.26737535572052,0.5528
15,1.1280184107780455,0.599,1.3064111534118652,0.546
16,1.094322485923767,0.61,1.1938817169189453,0.577
17,1.0799040155410766,0.623,1.2327871639251708,0.5672
18,1.058939323234558,0.6192,1.2127820518493653,0.5876
19,1.0438120113372802,0.631,1.1840049556732177,0.593
20,1.004042722415924,0.6376,1.2043270391464234,0.5946
21,0.9745772081375123,0.663,1.1753237839698791,0.5924
22,0.9841176228523254,0.6488,1.1753087242126465,0.5976
23,0.9257384372711182,0.674,1.1788110540390015,0.5984
24,0.9489357625961303,0.6642,1.168712600517273,0.605
25,0.9258409816741944,0.6744,1.16255182056427,0.6082
26,0.9281917798995971,0.6682,1.169195845890045,0.6126
27,0.899763394165039,0.6784,1.0955337047576905,0.6244
28,0.8691136316299438,0.6916,1.1728023956298828,0.6118
29,0.8698036008834839,0.6864,1.141799181842804,0.6124
30,0.8442992000579834,0.7064,1.215951894378662,0.5944
31,0.84145890417099,0.7056,1.0603737510681153,0.6408
32,0.8156678619384765,0.7154,1.085520292186737,0.6362
33,0.7929321561813355,0.7214,1.1334419507026672,0.6294
34,0.7831607186317444,0.723,1.0646795159578324,0.6448
35,0.7620519855499267,0.7372,1.097082624721527,0.637
36,0.7641662238121033,0.737,1.0506991850852967,0.6488
37,0.7350919814109802,0.7418,1.0304520551681517,0.6532
38,0.707053403043747,0.7542,1.0419279486179351,0.6436
39,0.6865373397827148,0.7558,1.0283205811500549,0.6556
40,0.6974602619171143,0.7544,1.0328205020904542,0.6614
41,0.6956071719646454,0.7636,1.0498170416831971,0.6544
42,0.66629604139328,0.7644,1.052114734363556,0.6508
43,0.6597347366333007,0.7776,1.040014693427086,0.6592
44,0.6641554103851318,0.7632,1.0327254117488862,0.6658
45,0.641244437789917,0.7714,1.0485532663822175,0.6608
46,0.6300774820327759,0.7822,1.0357679623603822,0.6614
47,0.5847076917648315,0.799,1.0394320008277893,0.6678
48,0.5871554759025573,0.7986,1.015749065876007,0.6728
49,0.5762023556232453,0.8004,1.026342667579651,0.6742
50,0.5539359771728516,0.8104,1.0207499979019166,0.6756
51,0.5479830926895142,0.8072,1.0311972846984863,0.6756
52,0.5384788400650025,0.8182,1.0278634232997894,0.6742
53,0.5114372072219848,0.8312,1.0325063091278077,0.6724
54,0.516092858505249,0.8246,1.0436133092880249,0.6766
55,0.5089960597991944,0.8206,1.0320579679489135,0.672
56,0.48211040687561035,0.8406,1.0340732328414917,0.673
57,0.45951191883087156,0.8462,1.0179276872634888,0.6802
58,0.4703644681930542,0.8404,1.0388128751754762,0.6762
59,0.4526008586883545,0.8456,1.0149279514312743,0.6866
60,0.45087845115661623,0.849,1.0303297903060913,0.6814
61,0.4471514259338379,0.8446,1.0270135335922241,0.6808
62,0.44588785161972044,0.8528,1.037410809803009,0.6842
63,0.41800229301452635,0.8574,1.0515943630218505,0.675
64,0.43191489639282227,0.8582,1.034522126197815,0.6824
65,0.41002309441566465,0.869,1.040315093231201,0.6774
66,0.41989712886810304,0.8584,1.0358973338127135,0.679
67,0.40194189844131467,0.8702,1.0380408517837525,0.6798
68,0.39867890748977663,0.874,1.0367600383758544,0.6842
69,0.39853699579238894,0.8718,1.048341262626648,0.6806
70,0.3891486650466919,0.8756,1.0373913784980775,0.6862
71,0.3892734729766846,0.876,1.0307075912475585,0.6846
72,0.38163485379219053,0.875,1.0305864471435546,0.6816
73,0.3853524961471558,0.871,1.04530501537323,0.6788
74,0.3811227328300476,0.8774,1.0486674180030824,0.6816
75,0.38049072303771975,0.8812,1.0355056423187257,0.6828
76,0.3709789121627808,0.8812,1.0475655452728272,0.679
77,0.3691839208602905,0.8798,1.0402369705200196,0.6844
78,0.37731489028930665,0.8804,1.0467926025390626,0.682
79,0.3754318832397461,0.879,1.0445751949310302,0.681
80,0.37368430652618406,0.8768,1.0416813056945802,0.6828
