step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,1,1.8660247211456298,0.3166,2.289475941467285,0.3012,1745089590.3027756,2025/04/20 04:06:30,3.331292152404785,3.3s,0.00026543712010607123
2,2,1.6198285514831543,0.41,2.2378566040039063,0.3298,1745089593.6291692,2025/04/20 04:06:33,6.65768575668335,6.7s,0.0002520607959013432
3,3,1.5085557348251344,0.452,1.5241036436080933,0.461,1745089596.9155722,2025/04/20 04:06:36,9.944088697433472,9.9s,0.00023540570691693574
4,4,1.4463859352111816,0.469,1.7405114261627197,0.3966,1745089600.2158582,2025/04/20 04:06:40,13.244374752044678,13.2s,0.00022244188585318625
5,5,1.3760637581825257,0.5068,1.5590691661834717,0.4294,1745089603.501986,2025/04/20 04:06:43,16.530502557754517,16.5s,0.00017798363114707172
6,6,1.2954086807250977,0.5396,1.2958292106628417,0.5272,1745089606.7844126,2025/04/20 04:06:46,19.812929153442383,19.8s,0.0002472000487614423
7,7,1.2382906528472901,0.564,1.2968229961395263,0.5214,1745089610.1215978,2025/04/20 04:06:50,23.15011429786682,23.2s,0.00025794669636525214
8,8,1.1776461666107179,0.5842,1.2053405082702637,0.5606,1745089613.5984483,2025/04/20 04:06:53,26.626964807510376,26.6s,0.00023002935631666332
9,9,1.1356545543670655,0.6058,1.1868576274871827,0.5706,1745089616.9862053,2025/04/20 04:06:56,30.014721870422363,30.0s,0.00024004851002246141
10,10,1.1002537122726441,0.6148,1.170673211479187,0.5756,1745089620.4641366,2025/04/20 04:07:00,33.492653131484985,33.5s,0.0003239897487219423
