step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,1,1.8810744266510009,0.3198,1.9967976314544678,0.3434,1745538035.5282433,2025/04/25 08:40:35,14.175563335418701,14.2s,0.00010543507960392162
2,2,1.5698422855377197,0.4232,1.5099012435913086,0.4662,1745538049.79536,2025/04/25 08:40:49,28.44268012046814,28.4s,0.00015036824333947152
3,3,1.431874836730957,0.4826,1.697219214630127,0.4228,1745538064.6849144,2025/04/25 08:41:04,43.332234382629395,43.3s,0.0006783574935980141
4,4,1.368814893913269,0.5056,1.4891647161483765,0.4908,1745538079.0648823,2025/04/25 08:41:19,57.712202310562134,57.7s,0.00040908195660449564
5,5,1.307473473739624,0.5252,1.6026927854537965,0.4716,1745538093.3239336,2025/04/25 08:41:33,71.97125363349915,1.2m,0.0002500710543245077
6,6,1.271540265274048,0.5434,1.5252883617401123,0.4864,1745538107.5954034,2025/04/25 08:41:47,86.24272346496582,1.4m,0.0002483918215148151
7,7,1.2575996207237243,0.5408,1.7005913705825806,0.452,1745538122.023011,2025/04/25 08:42:02,100.67033100128174,1.7m,0.00019147840794175863
8,8,1.1816289003372193,0.5716,1.2963274388313293,0.5504,1745538136.0483217,2025/04/25 08:42:16,114.69564175605774,1.9m,0.00031587682315148413
9,9,1.1535998978614808,0.5798,1.39992041015625,0.5382,1745538150.4669256,2025/04/25 08:42:30,129.11424565315247,2.2m,0.00017821398796513677
10,10,1.1236112312316895,0.5998,1.3026639850616455,0.5464,1745538164.7897038,2025/04/25 08:42:44,143.43702387809753,2.4m,0.00025699418620206416
11,11,1.08105013589859,0.6168,1.2162766782760621,0.581,1745538179.9209778,2025/04/25 08:42:59,158.5682978630066,2.6m,0.00018491024093236774
12,12,1.0614398380279542,0.6186,1.2317592903137207,0.568,1745538194.0076272,2025/04/25 08:43:14,172.6549472808838,2.9m,0.0004627648158930242
13,13,1.0762783472061157,0.6126,1.2029794544219972,0.5764,1745538208.1459625,2025/04/25 08:43:28,186.7932825088501,3.1m,0.00041075857006944716
14,14,1.053169626235962,0.6256,1.2368585158348084,0.5862,1745538222.6693642,2025/04/25 08:43:42,201.31668424606323,3.4m,0.0004130559100303799
15,15,1.0207600126266478,0.6406,1.1943980659484863,0.5992,1745538236.8891985,2025/04/25 08:43:56,215.536518573761,3.6m,0.0004203464195597917
16,16,1.0020826683044433,0.6458,1.166239856338501,0.5978,1745538251.4069095,2025/04/25 08:44:11,230.05422949790955,3.8m,0.0003223060630261898
17,17,1.0044961408615112,0.6414,1.3003796030044557,0.5798,1745538265.476903,2025/04/25 08:44:25,244.1242229938507,4.1m,0.000388896296499297
18,18,0.951089262008667,0.6614,1.1750586534500123,0.6018,1745538280.1867356,2025/04/25 08:44:40,258.83405566215515,4.3m,0.0004690653586294502
19,19,0.9447750281333923,0.6624,1.1351278717041016,0.6104,1745538294.8281918,2025/04/25 08:44:54,273.4755117893219,4.6m,0.00048606126802042127
20,20,0.9414987069129944,0.6676,1.1312473899841309,0.6262,1745538309.8536675,2025/04/25 08:45:09,288.50098752975464,4.8m,0.00022402610920835286
21,21,0.9097441947937012,0.6758,1.3321031652450561,0.5692,1745538323.8809826,2025/04/25 08:45:23,302.52830266952515,5.0m,0.0006344406865537167
22,22,0.9351479252815247,0.665,1.097514186000824,0.6276,1745538338.248462,2025/04/25 08:45:38,316.89578199386597,5.3m,0.00037628013524226844
23,23,0.8813243666648864,0.6802,1.0932863849639893,0.6378,1745538352.402834,2025/04/25 08:45:52,331.0501539707184,5.5m,0.0005326155223883688
24,24,0.8591093444824218,0.7034,1.0960771535873413,0.643,1745538366.5691297,2025/04/25 08:46:06,345.2164497375488,5.8m,0.0004286438343115151
25,25,0.8458961444854737,0.6966,1.1359473074913025,0.6224,1745538380.7401307,2025/04/25 08:46:20,359.38745069503784,6.0m,0.0007192144403234124
26,26,0.8661948713302612,0.6928,1.114175283432007,0.6322,1745538395.179305,2025/04/25 08:46:35,373.8266251087189,6.2m,0.00030515287653543055
27,27,0.8543491833686828,0.6982,1.114886160850525,0.6422,1745538409.566025,2025/04/25 08:46:49,388.21334505081177,6.5m,0.00032827246468514204
28,28,0.7855253092765808,0.7252,1.083353383088112,0.6594,1745538424.09105,2025/04/25 08:47:04,402.7383699417114,6.7m,0.0002620857849251479
29,29,0.7739930160522461,0.7214,1.0716106925010682,0.6486,1745538438.184945,2025/04/25 08:47:18,416.8322651386261,6.9m,0.0006045342888683081
30,30,0.8322797885417939,0.7036,1.0678387256622315,0.6504,1745538452.2036219,2025/04/25 08:47:32,430.8509418964386,7.2m,0.0004844403301831335
31,31,0.777877201461792,0.7304,1.0330118914604187,0.6604,1745538467.2789629,2025/04/25 08:47:47,445.92628288269043,7.4m,0.0005905794096179307
32,32,0.8013796174049378,0.7168,1.1984699460983277,0.6252,1745538481.616741,2025/04/25 08:48:01,460.2640609741211,7.7m,0.0003569503896869719
33,33,0.7782725910186767,0.7258,1.111432819366455,0.6396,1745538496.0622113,2025/04/25 08:48:16,474.70953130722046,7.9m,0.00022910916595719755
34,34,0.7598768244743347,0.7264,1.0524079605102539,0.6548,1745538510.0586786,2025/04/25 08:48:30,488.7059986591339,8.1m,0.00034842794411815703
35,35,0.7353360582351685,0.7416,1.1356384422302246,0.6354,1745538524.9823527,2025/04/25 08:48:44,503.6296727657318,8.4m,0.0003327273589093238
36,36,0.7627967580795288,0.729,1.1079776672363282,0.6486,1745538539.4831896,2025/04/25 08:48:59,518.1305096149445,8.6m,0.0006230489234440029
37,37,0.7738948483467102,0.7216,1.0692353899002076,0.6574,1745538553.5604923,2025/04/25 08:49:13,532.2078123092651,8.9m,0.00038395103183574975
38,38,0.7336424674034119,0.742,1.0215653562545777,0.6692,1745538568.3145616,2025/04/25 08:49:28,546.9618816375732,9.1m,0.0003683956165332347
39,39,0.7159274136543274,0.7496,1.0798694210529327,0.661,1745538582.5708678,2025/04/25 08:49:42,561.2181878089905,9.4m,0.0004900251515209675
40,40,0.6795790420532226,0.7644,1.2024730264663697,0.6322,1745538596.5703077,2025/04/25 08:49:56,575.2176277637482,9.6m,0.0005068982136435807
41,41,0.759716519165039,0.7322,1.047717163848877,0.6606,1745538610.6711464,2025/04/25 08:50:10,589.318466424942,9.8m,0.00045434071216732264
42,42,0.7255896532058715,0.7486,1.0120765509605407,0.6694,1745538625.296058,2025/04/25 08:50:25,603.9433779716492,10.1m,0.0004899498308077455
43,43,0.6928541948318482,0.7548,1.0940617198944091,0.6478,1745538640.320562,2025/04/25 08:50:40,618.9678819179535,10.3m,0.00047881322097964585
44,44,0.7021988226890564,0.7486,1.0728510705947876,0.6646,1745538654.4990761,2025/04/25 08:50:54,633.1463961601257,10.6m,0.00027894278173334897
45,45,0.6813973470687866,0.7638,1.064099217224121,0.661,1745538668.6862857,2025/04/25 08:51:08,647.3336057662964,10.8m,0.000533004233147949
46,46,0.6502112571716309,0.772,1.0316190982818603,0.6706,1745538683.167383,2025/04/25 08:51:23,661.8147029876709,11.0m,0.0004427381791174412
47,47,0.6469705497741699,0.7662,1.0254667680740357,0.6776,1745538698.025498,2025/04/25 08:51:38,676.6728179454803,11.3m,0.0007424308569170535
48,48,0.6439995408058167,0.7708,1.0531281341552734,0.6638,1745538712.642834,2025/04/25 08:51:52,691.2901539802551,11.5m,0.0007245757733471692
49,49,0.6358328567504883,0.774,1.0232635449409484,0.6676,1745538726.676553,2025/04/25 08:52:06,705.3238730430603,11.8m,0.0005450815078802407
50,50,0.6828805994033813,0.7588,1.0983349905014037,0.6614,1745538740.847728,2025/04/25 08:52:20,719.4950480461121,12.0m,0.00032960856333374977
51,51,0.6349478535652161,0.7708,1.0604700782299041,0.6676,1745538755.02903,2025/04/25 08:52:35,733.6763501167297,12.2m,0.0003556789306458086
52,52,0.6173483452796936,0.783,1.0766018498420715,0.6698,1745538769.0400934,2025/04/25 08:52:49,747.6874134540558,12.5m,0.00021669921989087015
53,53,0.6245924015045166,0.7786,1.1120005199432372,0.6586,1745538783.690932,2025/04/25 08:53:03,762.3382520675659,12.7m,0.0015533299883827567
54,54,0.6448068244934082,0.763,1.0696150945663452,0.669,1745538797.8071296,2025/04/25 08:53:17,776.4544496536255,12.9m,0.0007920759962871671
55,55,0.6093282653808594,0.7814,1.0599515658378602,0.6698,1745538812.4048402,2025/04/25 08:53:32,791.0521602630615,13.2m,0.0011428303550928831
56,56,0.6843601396560669,0.7534,1.0786136848449708,0.6758,1745538826.5072427,2025/04/25 08:53:46,805.1545627117157,13.4m,0.0009144668583758175
57,57,0.6404491638183594,0.7646,1.117076212310791,0.6606,1745538841.113405,2025/04/25 08:54:01,819.7607250213623,13.7m,0.00045952192158438265
58,58,0.6248408573150634,0.7786,1.044401674938202,0.6864,1745538855.8425865,2025/04/25 08:54:15,834.4899065494537,13.9m,0.00037102593341842294
59,59,0.5957265721321106,0.783,1.017838003730774,0.6842,1745538870.027758,2025/04/25 08:54:30,848.6750779151917,14.1m,0.0003981519548688084
60,60,0.550032459640503,0.8032,1.044067099761963,0.6806,1745538884.7358272,2025/04/25 08:54:44,863.3831472396851,14.4m,0.00038158029201440513
61,61,0.5953664540290833,0.785,1.0031055117607117,0.6842,1745538898.9005249,2025/04/25 08:54:58,877.5478448867798,14.6m,0.00040085523505695164
62,62,0.5464467496871949,0.8092,1.0626038757324219,0.6844,1745538913.04327,2025/04/25 08:55:13,891.6905901432037,14.9m,0.0005468238960020244
63,63,0.5532267292022706,0.7996,1.0726636331558228,0.6796,1745538927.3951497,2025/04/25 08:55:27,906.0424697399139,15.1m,0.0008573117665946484
64,64,0.5738324630737305,0.7974,1.0537412372589112,0.6822,1745538941.459146,2025/04/25 08:55:41,920.1064660549164,15.3m,0.00041696298285387456
65,65,0.5373887228012085,0.8064,1.0641967836380004,0.6852,1745538955.769399,2025/04/25 08:55:55,934.4167189598083,15.6m,0.0004371044924482703
66,66,0.5180162023544311,0.8182,1.0626219135284425,0.6764,1745538970.5264835,2025/04/25 08:56:10,949.1738035678864,15.8m,0.0006073323311284184
67,67,0.556791180229187,0.7984,1.1350720831871033,0.6706,1745538984.9435198,2025/04/25 08:56:24,963.5908398628235,16.1m,0.0009680637740530074
68,68,0.5560713910102845,0.7976,1.0041031135559082,0.6994,1745538999.5353336,2025/04/25 08:56:39,978.1826536655426,16.3m,0.0008839125512167811
69,69,0.5395702754974365,0.807,1.049044091963768,0.684,1745539013.9986403,2025/04/25 08:56:53,992.6459603309631,16.5m,0.0009898839052766562
70,70,0.545924258518219,0.8052,1.1354490571975708,0.677,1745539028.3460882,2025/04/25 08:57:08,1006.993408203125,16.8m,0.0005129253258928657
71,71,0.531149452495575,0.8052,1.0874581480026244,0.687,1745539042.340953,2025/04/25 08:57:22,1020.9882731437683,17.0m,0.0003225102263968438
72,72,0.5017722992897033,0.8182,1.0786217643260956,0.6852,1745539056.8998384,2025/04/25 08:57:36,1035.5471584796906,17.3m,0.0002345320681342855
73,73,0.49592169179916384,0.821,1.0789763414382934,0.688,1745539072.2475722,2025/04/25 08:57:52,1050.8948922157288,17.5m,0.00024251959985122085
74,74,0.4761605709075928,0.8264,1.0903688652038575,0.6858,1745539086.274329,2025/04/25 08:58:06,1064.921648979187,17.7m,0.000679116987157613
75,75,0.5293803673744202,0.8052,1.184513338661194,0.6622,1745539101.19482,2025/04/25 08:58:21,1079.8421399593353,18.0m,0.00012536112626548856
76,76,0.46527043914794924,0.8304,1.0257251749038696,0.6934,1745539115.151658,2025/04/25 08:58:35,1093.7989780902863,18.2m,0.0010748457862064242
77,77,0.516739722442627,0.8192,1.093228568840027,0.6862,1745539129.4158776,2025/04/25 08:58:49,1108.0631976127625,18.5m,0.0010759483557194471
78,78,0.47726142597198484,0.8296,1.0705504899978637,0.6868,1745539143.9563313,2025/04/25 08:59:03,1122.6036512851715,18.7m,0.000472506188089028
79,79,0.5170298590660095,0.8148,1.1318393045425414,0.6832,1745539158.2073307,2025/04/25 08:59:18,1136.854650735855,18.9m,0.00034551144926808774
80,80,0.4765455581665039,0.8314,1.013535664463043,0.7082,1745539173.8177176,2025/04/25 08:59:33,1152.4650375843048,19.2m,0.00045894517097622156
81,81,0.4625754507541657,0.8298,1.07196546998024,0.6904,1745539189.681716,2025/04/25 08:59:49,1168.3290359973907,19.5m,0.0004869049589615315
82,82,0.4478643928527832,0.8416,1.0537712390899658,0.6912,1745539204.3993127,2025/04/25 09:00:04,1183.0466327667236,19.7m,0.0004057233454659581
83,83,0.4713066675186157,0.8342,1.0935514285087586,0.6908,1745539218.6377182,2025/04/25 09:00:18,1197.2850382328033,20.0m,0.0005860789096914232
84,84,0.46789005746841433,0.8292,1.0898754215240478,0.691,1745539234.5476067,2025/04/25 09:00:34,1213.194926738739,20.2m,0.0002678012242540717
85,85,0.4572097395896912,0.8374,1.0345416996479035,0.7016,1745539248.741557,2025/04/25 09:00:48,1227.388876914978,20.5m,0.00029956342768855393
86,86,0.44805964012145993,0.8406,1.0752734479904176,0.692,1745539262.8781378,2025/04/25 09:01:02,1241.5254578590393,20.7m,0.001010917709209025
87,87,0.481292875289917,0.8244,1.1324853801727295,0.684,1745539277.9451919,2025/04/25 09:01:17,1256.5925118923187,20.9m,0.0007491183350794017
88,88,0.49213684158325194,0.8254,1.1194866008758544,0.6804,1745539293.852468,2025/04/25 09:01:33,1272.4997880458832,21.2m,0.0009622190846130252
89,89,0.4798762087106705,0.8254,1.0793065719604493,0.6924,1745539309.4073129,2025/04/25 09:01:49,1288.0546329021454,21.5m,0.00005965827585896477
90,90,0.40984225730895996,0.853,1.12963315782547,0.6828,1745539325.4812443,2025/04/25 09:02:05,1304.1285643577576,21.7m,0.00019154362962581217
91,91,0.4026488055229187,0.8582,1.1326587352752686,0.6914,1745539341.417338,2025/04/25 09:02:21,1320.0646579265594,22.0m,0.0008998162229545414
92,92,0.4201514883518219,0.8476,1.1092716220855714,0.6844,1745539356.4815369,2025/04/25 09:02:36,1335.1288568973541,22.3m,0.00016857795708347112
93,93,0.3755175308227539,0.8688,1.1357049721240997,0.6942,1745539373.198015,2025/04/25 09:02:53,1351.8453350067139,22.5m,0.0007306375191546977
94,94,0.4514897835254669,0.8358,1.151190637397766,0.684,1745539388.7255974,2025/04/25 09:03:08,1367.3729174137115,22.8m,0.00022748987248633057
