step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,1,1.8877831665039062,0.2946,1.7410435844421386,0.3606,1745361782.6682138,2025/04/23 07:43:02,3.3659331798553467,3.4s,0.0001432471617590636
2,2,1.5605849369049072,0.4228,1.531347604370117,0.4394,1745361786.1128697,2025/04/23 07:43:06,6.810589075088501,6.8s,0.00014422180538531393
3,3,1.453204674911499,0.4776,1.4477607368469239,0.4814,1745361789.5270958,2025/04/23 07:43:09,10.224815130233765,10.2s,0.00020629559003282338
4,4,1.3707849229812623,0.504,1.374877359199524,0.5212,1745361792.920538,2025/04/23 07:43:12,13.618257284164429,13.6s,0.00018824360449798405
5,5,1.3248814624786378,0.5212,1.6323840747833251,0.448,1745361796.3317592,2025/04/23 07:43:16,17.029478549957275,17.0s,0.00018503273895476013
6,6,1.2617453380584718,0.5454,1.4110500480651855,0.4998,1745361799.7171407,2025/04/23 07:43:19,20.414860010147095,20.4s,0.00018201748025603592
7,7,1.2402785440444946,0.5528,1.3596425380706787,0.5234,1745361803.1127973,2025/04/23 07:43:23,23.810516595840454,23.8s,0.00019223005801904947
8,8,1.2056373445510864,0.5698,1.245270461654663,0.5538,1745361806.4996812,2025/04/23 07:43:26,27.19740056991577,27.2s,0.0001454074663342908
9,9,1.1577602800369262,0.586,1.2418453873634339,0.5694,1745361809.9203975,2025/04/23 07:43:29,30.618116855621338,30.6s,0.00019657744269352406
10,10,1.1555958442687988,0.5856,1.5096452415466308,0.4984,1745361813.3092372,2025/04/23 07:43:33,34.006956577301025,34.0s,0.0001780215243343264
11,11,1.1189464855194091,0.5966,1.2298501350402833,0.5586,1745361816.7690823,2025/04/23 07:43:36,37.46680164337158,37.5s,0.00017139104602392763
12,12,1.0836187629699707,0.6088,1.4817427783966064,0.5336,1745361820.2118618,2025/04/23 07:43:40,40.90958118438721,40.9s,0.00022884678037371486
13,13,1.0946235637664794,0.6028,1.2282529769897461,0.5584,1745361823.6034977,2025/04/23 07:43:43,44.3012170791626,44.3s,0.0001551575114717707
14,14,1.0371456508636474,0.6286,1.2044863073349,0.5932,1745361826.9970908,2025/04/23 07:43:46,47.69481015205383,47.7s,0.00020014657638967037
15,15,1.0275464302062989,0.6316,1.2079374074935914,0.5848,1745361830.4337683,2025/04/23 07:43:50,51.13148760795593,51.1s,0.00016949570272117853
16,16,0.9856387308120728,0.6472,1.1367233199119569,0.6068,1745361833.9385543,2025/04/23 07:43:53,54.63627362251282,54.6s,0.00023737420269753784
17,17,0.9746505266189576,0.6554,1.164346054172516,0.6082,1745361837.4077003,2025/04/23 07:43:57,58.105419635772705,58.1s,0.00019331656221766025
18,18,0.9670765157699585,0.6618,1.1131023376464844,0.6182,1745361840.9019465,2025/04/23 07:44:00,61.59966588020325,1.0m,0.0002174402616219595
19,19,0.9550552248001098,0.6664,1.1046129890441894,0.6244,1745361844.2940884,2025/04/23 07:44:04,64.99180769920349,1.1m,0.00021196897432673723
20,20,0.9617871120452881,0.6596,1.135317341709137,0.6176,1745361847.6860843,2025/04/23 07:44:07,68.38380360603333,1.1m,0.0001702089502941817
21,21,0.9171523265838623,0.682,1.1017935327529906,0.6236,1745361851.0662954,2025/04/23 07:44:11,71.76401472091675,1.2m,0.00022002376499585807
22,22,0.9011755814552307,0.6776,1.057780320262909,0.6344,1745361854.4858317,2025/04/23 07:44:14,75.18355107307434,1.3m,0.00016457343008369207
23,23,0.8939057220458985,0.6842,1.0784725128173829,0.6304,1745361857.8727808,2025/04/23 07:44:17,78.57050013542175,1.3m,0.00016910664271563292
24,24,0.8571410402297973,0.6972,1.0947381646156311,0.6316,1745361861.2448614,2025/04/23 07:44:21,81.94258069992065,1.4m,0.00022407057986129075
25,25,0.8436780893325806,0.7,1.0626586826324462,0.646,1745361864.6622446,2025/04/23 07:44:24,85.35996389389038,1.4m,0.00012135615543229505
26,26,0.825244444656372,0.7108,1.0582604492664338,0.6404,1745361868.120371,2025/04/23 07:44:28,88.81809043884277,1.5m,0.00021511016529984772
27,27,0.809110165977478,0.7142,1.0448350353240967,0.6492,1745361871.5261476,2025/04/23 07:44:31,92.22386693954468,1.5m,0.00021936128905508667
28,28,0.7972894287109376,0.7162,1.0102216960906982,0.6584,1745361874.9404943,2025/04/23 07:44:34,95.63821363449097,1.6m,0.00022376097331289202
29,29,0.7976331218719482,0.7182,1.213378249168396,0.6274,1745361878.3390594,2025/04/23 07:44:38,99.03677868843079,1.7m,0.00016382240573875606
30,30,0.7678765535354615,0.7238,1.0080652046203613,0.6636,1745361881.7672198,2025/04/23 07:44:41,102.46493911743164,1.7m,0.00020650544320233166
31,31,0.7714665019989013,0.7264,1.0333264101028443,0.6546,1745361885.1977637,2025/04/23 07:44:45,105.89548301696777,1.8m,0.0002041741245193407
32,32,0.7446534078598023,0.7342,1.0009150592803955,0.661,1745361888.5815156,2025/04/23 07:44:48,109.27923488616943,1.8m,0.00024447901523672044
33,33,0.7553149597167969,0.7372,1.1458506229400636,0.6432,1745361892.020357,2025/04/23 07:44:52,112.71807622909546,1.9m,0.00022172888566274196
34,34,0.7325476125240326,0.741,1.076568119430542,0.6494,1745361895.4512086,2025/04/23 07:44:55,116.14892792701721,1.9m,0.00013027650129515678
35,35,0.6989350357055664,0.7524,0.9944526866912842,0.6746,1745361898.9470944,2025/04/23 07:44:58,119.64481377601624,2.0m,0.00014345700037665665
36,36,0.6685117586135865,0.7622,0.9879531498908997,0.6712,1745361902.3458352,2025/04/23 07:45:02,123.04355454444885,2.1m,0.00018623494543135166
37,37,0.6749687881469727,0.7628,1.0369419115304948,0.6706,1745361905.7406993,2025/04/23 07:45:05,126.43841862678528,2.1m,0.00023461156524717808
38,38,0.6827479187011719,0.754,1.034907403087616,0.6584,1745361909.146689,2025/04/23 07:45:09,129.8444082736969,2.2m,0.00020879312069155276
39,39,0.6631488723754883,0.7624,1.0496009662866592,0.657,1745361912.5646992,2025/04/23 07:45:12,133.26241850852966,2.2m,0.0003082549956161529
40,40,0.7144180282592774,0.7506,1.0147655885696412,0.668,1745361915.9837232,2025/04/23 07:45:15,136.68144249916077,2.3m,0.00016041970229707658
41,41,0.6381586729049683,0.7746,1.0840704926490783,0.664,1745361919.4129925,2025/04/23 07:45:19,140.11071181297302,2.3m,0.0002468362799845636
42,42,0.6387218829154968,0.7816,1.0195751850128174,0.6692,1745361922.8204632,2025/04/23 07:45:22,143.51818251609802,2.4m,0.00023200099531095475
43,43,0.6367723494052887,0.7762,1.003221800994873,0.6826,1745361926.2417843,2025/04/23 07:45:26,146.93950366973877,2.4m,0.000153078610310331
44,44,0.593700438785553,0.7952,0.9904276178359985,0.6808,1745361929.6272438,2025/04/23 07:45:29,150.32496309280396,2.5m,0.00020628022321034223
45,45,0.6030815546035767,0.792,1.0161432201385499,0.6728,1745361933.0315337,2025/04/23 07:45:33,153.72925305366516,2.6m,0.00018033683591056615
46,46,0.5710439929962158,0.8038,1.0126973928451537,0.681,1745361936.4240308,2025/04/23 07:45:36,157.12175011634827,2.6m,0.0002356740296818316
47,47,0.5741203778266907,0.802,0.9980869622230529,0.6824,1745361939.801001,2025/04/23 07:45:39,160.49872040748596,2.7m,0.00023461366072297096
48,48,0.5611801769256591,0.8064,1.0194348706245422,0.6754,1745361943.1923792,2025/04/23 07:45:43,163.89009857177734,2.7m,0.0003467869246378541
49,49,0.5964420429229736,0.7962,1.0569221105575561,0.6762,1745361946.5630908,2025/04/23 07:45:46,167.26081013679504,2.8m,0.00028671114705502987
50,50,0.5810349758148193,0.7968,0.9945811878204346,0.6872,1745361949.9524987,2025/04/23 07:45:49,170.65021800994873,2.8m,0.00023391492140945047
51,51,0.5545731834411621,0.8008,0.974860103225708,0.6926,1745361953.3239262,2025/04/23 07:45:53,174.02164554595947,2.9m,0.00016776734264567494
52,52,0.5151648487091064,0.8224,1.0115803995132446,0.6816,1745361956.7427762,2025/04/23 07:45:56,177.44049549102783,3.0m,0.0002553518279455602
53,53,0.514530023431778,0.821,1.0076023929595948,0.685,1745361960.143195,2025/04/23 07:46:00,180.84091424942017,3.0m,0.0001946513948496431
54,54,0.5000957874298095,0.8268,0.9933999341964722,0.6966,1745361963.5286245,2025/04/23 07:46:03,184.22634387016296,3.1m,0.0003141018096357584
55,55,0.49917877321243287,0.8272,1.0082264362335205,0.6878,1745361966.8948314,2025/04/23 07:46:06,187.59255075454712,3.1m,0.00023475007037632167
56,56,0.5001128669738769,0.8232,1.0010005157470703,0.6892,1745361970.2854612,2025/04/23 07:46:10,190.9831805229187,3.2m,0.0004263726877979934
57,57,0.5045185002326965,0.8252,0.9955121109008789,0.6906,1745361973.6904597,2025/04/23 07:46:13,194.388179063797,3.2m,0.0002228696394013241
58,58,0.48850743370056154,0.822,0.9882135629653931,0.6944,1745361977.0992289,2025/04/23 07:46:17,197.79694819450378,3.3m,0.00030297794728539884
59,59,0.48229768447875976,0.8374,1.0322587297439576,0.6836,1745361980.4668763,2025/04/23 07:46:20,201.16459560394287,3.4m,0.00031977103208191693
60,60,0.4774989309310913,0.832,1.0009184141159058,0.6938,1745361983.8767867,2025/04/23 07:46:23,204.57450604438782,3.4m,0.0003198481281287968
61,61,0.4629161049842834,0.8386,0.9937556457519531,0.6916,1745361987.272714,2025/04/23 07:46:27,207.97043323516846,3.5m,0.00011385078687453642
62,62,0.415307077217102,0.8626,0.9869318435668946,0.7018,1745361990.7295814,2025/04/23 07:46:30,211.42730069160461,3.5m,0.00018679795903153718
63,63,0.4154623670578003,0.8528,1.0051395221710204,0.692,1745361994.2189128,2025/04/23 07:46:34,214.91663217544556,3.6m,0.00027123966719955206
64,64,0.4040583194732666,0.8654,0.988168254327774,0.6988,1745361997.7109468,2025/04/23 07:46:37,218.40866613388062,3.6m,0.00021826531155966222
65,65,0.4058301347732544,0.8626,1.027611291217804,0.6954,1745362001.1177754,2025/04/23 07:46:41,221.8154947757721,3.7m,0.0002977503463625908
66,66,0.3975982675552368,0.866,1.0151185161590577,0.6958,1745362004.534763,2025/04/23 07:46:44,225.2324824333191,3.8m,0.0002369385038036853
67,67,0.38537096848487856,0.8658,1.0074122215270995,0.6972,1745362007.9187043,2025/04/23 07:46:47,228.61642360687256,3.8m,0.00023479759693145752
68,68,0.3798343900680542,0.8766,0.9932962741851806,0.7002,1745362011.302881,2025/04/23 07:46:51,232.00060033798218,3.9m,0.00021651553106494248
69,69,0.3564896619796753,0.881,1.0095081056594848,0.6946,1745362014.6900694,2025/04/23 07:46:54,235.387788772583,3.9m,0.0003140754997730255
70,70,0.3576755481719971,0.881,0.9980464121818543,0.701,1745362018.127358,2025/04/23 07:46:58,238.82507729530334,4.0m,0.00028667275910265744
