run_id,model_arc,epochs,ensemble_type,params,grad,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
0,models.resnet_git_ee resnet18,1,EE,2855808,2855808,1,2.3119685649871826,0.0546875,2.499161958694458,0.078125,1745670785.6906075,2025/04/26 21:33:05,0.7098796367645264,709.9ms,0.00003525929059833288
1,models.resnet_git_ee resnet18,1,ME,2855808,2855808,1,2.289501428604126,0.15625,2.8728466033935547,0.078125,1745670787.0642264,2025/04/26 21:33:07,0.8471558094024658,847.2ms,0.00003475547947573432
2,models.resnet_git_ee resnet18,1,EE,2855808,2855808,1,2.303654193878174,0.1484375,2.5121288299560547,0.078125,1745670994.9859562,2025/04/26 21:36:34,0.7197349071502686,719.7ms,0.00003526960426825099
3,models.resnet_git_ee resnet18,1,ME,2855808,2855808,1,2.3142616748809814,0.1171875,2.4056951999664307,0.078125,1745670996.2955894,2025/04/26 21:36:36,0.8578476905822754,857.8ms,0.000035575736234250144
4,models.resnet_git_ee resnet18,1,EE,2855808,2855808,1,2.3109130859375,0.09375,2.439201831817627,0.078125,1745671154.3640552,2025/04/26 21:39:14,0.7140882015228271,714.1ms,0.00003535140785970725
5,models.resnet_git_ee resnet18,1,ME,2855808,2855808,1,2.300093412399292,0.140625,2.445610284805298,0.078125,1745671155.6340485,2025/04/26 21:39:15,0.7649307250976562,764.9ms,0.0000354064846987967
6,models.resnet_git_ee resnet18,1,EE,2855808,2855808,1,2.3032007217407227,0.0859375,2.5417392253875732,0.078125,1745671209.278393,2025/04/26 21:40:09,0.6737785339355469,673.8ms,0.00003551127156242728
7,models.resnet_git_ee resnet18,1,ME,2855808,2855808,1,2.310220718383789,0.0625,2.545370578765869,0.078125,1745671210.6322837,2025/04/26 21:40:10,0.8377516269683838,837.8ms,0.000035296386670324864
8,models.resnet_git_ee resnet18,1,EE,2855808,2855808,1,2.301280975341797,0.1484375,2.417208433151245,0.1015625,1745671778.2007244,2025/04/26 21:49:38,0.6837618350982666,683.8ms,0.00003501071114442311
9,models.resnet_git_ee resnet18,1,ME,2855808,2855808,1,2.302023410797119,0.1328125,2.401071071624756,0.0703125,1745671779.449656,2025/04/26 21:49:39,0.7901692390441895,790.2ms,0.00003460319371129117
