step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,1,2.3024541275024415,0.1354,2.299113599395752,0.1436,1745689850.4316642,2025/04/27 02:50:50,5.106333494186401,5.1s,0.00013171717000659555
2,2,2.2978463508605955,0.1546,2.299113599395752,0.1436,1745689853.1045713,2025/04/27 02:50:53,7.779240608215332,7.8s,0.00012534059351310134
3,3,2.293717064666748,0.1712,2.299113599395752,0.1436,1745689855.7240973,2025/04/27 02:50:55,10.39876651763916,10.4s,0.0001225224550580606
4,4,2.2902153545379638,0.1714,2.299113599395752,0.1436,1745689858.4344914,2025/04/27 02:50:58,13.109160661697388,13.1s,0.00012929816148243845
5,5,2.286194341278076,0.1858,2.299113599395752,0.1436,1745689861.0595124,2025/04/27 02:51:01,15.734181642532349,15.7s,0.00012929897638969123
6,6,2.2819543361663817,0.1926,2.299113599395752,0.1436,1745689863.7024028,2025/04/27 02:51:03,18.37707209587097,18.4s,0.00012761628022417426
7,7,2.2786336559295655,0.1916,2.299113599395752,0.1436,1745689866.3712647,2025/04/27 02:51:06,21.045933961868286,21.0s,0.00012777690426446497
8,8,2.274703406906128,0.1978,2.299113599395752,0.1436,1745689869.0597174,2025/04/27 02:51:09,23.734386682510376,23.7s,0.0001279997668461874
9,9,2.270121557998657,0.2038,2.299113599395752,0.1436,1745689871.7101538,2025/04/27 02:51:11,26.384823083877563,26.4s,0.00012959037849213928
10,10,2.2656012748718264,0.2042,2.299113599395752,0.1436,1745689874.44428,2025/04/27 02:51:14,29.11894917488098,29.1s,0.00012927106581628323
11,11,2.260084661102295,0.2096,2.25827988319397,0.2166,1745689878.511323,2025/04/27 02:51:18,33.18599224090576,33.2s,0.00012890412472188473
12,12,2.2561186515808105,0.2148,2.25827988319397,0.2166,1745689881.2566805,2025/04/27 02:51:21,35.931349754333496,35.9s,0.00013130046136211604
13,13,2.251477908706665,0.209,2.25827988319397,0.2166,1745689883.9156327,2025/04/27 02:51:23,38.59030199050903,38.6s,0.00012870188220404088
14,14,2.245485877609253,0.2168,2.25827988319397,0.2166,1745689886.550324,2025/04/27 02:51:26,41.22499322891235,41.2s,0.0001313110115006566
15,15,2.2389771194458006,0.2162,2.25827988319397,0.2166,1745689889.2141223,2025/04/27 02:51:29,43.88879156112671,43.9s,0.00012552841508295387
