step,lr,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,0.1,1,2.306431531906128,0.0703125,2.284026861190796,0.09375,1745744361.116558,2025/04/27 17:59:21,2.4743638038635254,2.5s,0.000034895911085186526
2,0.09755282581475769,2,2.306871771812439,0.0703125,2.2883667945861816,0.109375,1745744361.3721876,2025/04/27 17:59:21,2.7299933433532715,2.7s,0.00003590169581002556
3,0.09045084971874738,3,2.305772304534912,0.0703125,2.290450096130371,0.125,1745744361.6085782,2025/04/27 17:59:21,2.966383934020996,3.0s,0.000035253007808933035
4,0.07938926261462367,4,2.3046560287475586,0.0703125,2.293057441711426,0.1328125,1745744361.8339436,2025/04/27 17:59:21,3.191749334335327,3.2s,0.00003541256592143327
5,0.06545084971874739,5,2.306825280189514,0.0703125,2.2944884300231934,0.1171875,1745744362.0679705,2025/04/27 17:59:22,3.425776243209839,3.4s,0.00003436407132539898
6,0.05000000000000001,6,2.3069732189178467,0.0703125,2.2954261302948,0.1015625,1745744362.2973711,2025/04/27 17:59:22,3.655176877975464,3.7s,0.00003606801328714937
7,0.03454915028125264,7,2.3023080825805664,0.0703125,2.2960472106933594,0.109375,1745744362.529204,2025/04/27 17:59:22,3.887009620666504,3.9s,0.00003443136301939376
8,0.020610737385376353,8,2.3023029565811157,0.0703125,2.296757698059082,0.109375,1745744362.7698333,2025/04/27 17:59:22,4.127639055252075,4.1s,0.000034700322430580854
9,0.009549150281252635,9,2.3018710613250732,0.0703125,2.2975308895111084,0.09375,1745744363.011281,2025/04/27 17:59:23,4.369086742401123,4.4s,0.00003621858195401728
10,0.002447174185242324,10,2.3036513328552246,0.0703125,2.2981464862823486,0.09375,1745744363.2409618,2025/04/27 17:59:23,4.598767518997192,4.6s,0.00003599608680815436
