step,lr,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,0.1,1,2.30087329826355,0.1076,2.297227342224121,0.118,1745753372.6873384,2025/04/27 20:29:32,4.06146240234375,4.1s,0.00012405241432134062
2,0.09972609476841367,2,2.296703966140747,0.114,2.2933685958862307,0.1254,1745753376.1208975,2025/04/27 20:29:36,7.49502158164978,7.5s,0.00012455596879590303
3,0.09890738003669028,3,2.292059169769287,0.1324,2.289571146774292,0.1382,1745753379.5501235,2025/04/27 20:29:39,10.92424750328064,10.9s,0.00012359573156572878
4,0.09755282581475767,4,2.2885933628082276,0.1422,2.285984254837036,0.1524,1745753383.1171854,2025/04/27 20:29:43,14.491309404373169,14.5s,0.0001274200767511502
5,0.09567727288213003,5,2.2847122734069822,0.164,2.281837581253052,0.169,1745753386.5984838,2025/04/27 20:29:46,17.972607851028442,18.0s,0.00012416730169206858
6,0.09330127018922194,6,2.2802344066619873,0.186,2.2774805770874025,0.1884,1745753390.0590477,2025/04/27 20:29:50,21.43317174911499,21.4s,0.00012993406562600285
7,0.09045084971874737,7,2.2766264484405516,0.2012,2.272871795654297,0.2076,1745753393.5083456,2025/04/27 20:29:53,24.882469654083252,24.9s,0.00012592997518368065
8,0.0871572412738697,8,2.271855796813965,0.2174,2.269056014251709,0.2152,1745753396.9048996,2025/04/27 20:29:56,28.27902364730835,28.3s,0.00012634966697078198
9,0.0834565303179429,9,2.2676924160003664,0.2242,2.264567237854004,0.2202,1745753400.285302,2025/04/27 20:30:00,31.659425973892212,31.7s,0.00012468511704355478
10,0.07938926261462365,10,2.2639751163482664,0.2342,2.2601582439422607,0.2246,1745753403.6743906,2025/04/27 20:30:03,35.04851460456848,35.0s,0.00012620366760529578
11,0.07499999999999998,11,2.2590255718231202,0.239,2.2558997272491457,0.2274,1745753407.1228375,2025/04/27 20:30:07,38.49696159362793,38.5s,0.0001244211453013122
12,0.07033683215379001,12,2.255012794494629,0.2444,2.2513867721557617,0.2268,1745753410.5549054,2025/04/27 20:30:10,41.92902946472168,41.9s,0.00012843817239627242
13,0.06545084971874737,13,2.2510871837615967,0.2442,2.2474288974761962,0.2252,1745753413.9420283,2025/04/27 20:30:13,45.31615233421326,45.3s,0.00012800742115359753
14,0.06039558454088796,14,2.2476312061309813,0.2426,2.2431232261657716,0.2262,1745753417.359971,2025/04/27 20:30:17,48.734095096588135,48.7s,0.00012556456204038113
15,0.05522642316338268,15,2.243443725967407,0.2456,2.24170332069397,0.232,1745753420.8053977,2025/04/27 20:30:20,52.179521799087524,52.2s,0.00012610603880602866
16,0.05000000000000001,16,2.2408361179351806,0.247,2.237617478179932,0.2314,1745753424.224887,2025/04/27 20:30:24,55.599010944366455,55.6s,0.00012708362191915512
17,0.04477357683661733,17,2.236695076751709,0.245,2.2352546401977538,0.2312,1745753427.6197944,2025/04/27 20:30:27,58.99391841888428,59.0s,0.00012837930989917368
18,0.03960441545911203,18,2.235323193359375,0.244,2.2323467338562013,0.2324,1745753431.0470665,2025/04/27 20:30:31,62.4211905002594,1.0m,0.00012458274431992322
19,0.03454915028125263,19,2.232679943847656,0.24,2.230508183670044,0.2306,1745753434.4552712,2025/04/27 20:30:34,65.82939529418945,1.1m,0.00012491898087318987
20,0.02966316784621,20,2.230952690887451,0.2366,2.2280504081726074,0.2322,1745753437.8679187,2025/04/27 20:30:37,69.24204277992249,1.2m,0.00012718560174107552
21,0.025000000000000012,21,2.2290983196258547,0.2412,2.225182066345215,0.2314,1745753441.2347238,2025/04/27 20:30:41,72.6088478565216,1.2m,0.0001226493768626824
22,0.02061073738537635,22,2.2268364360809327,0.247,2.226417911529541,0.2338,1745753444.6285489,2025/04/27 20:30:44,76.00267291069031,1.3m,0.00012605117808561772
23,0.016543469682057107,23,2.225839197921753,0.2534,2.221189937210083,0.2306,1745753448.034356,2025/04/27 20:30:48,79.40848016738892,1.3m,0.00012481131125241518
24,0.012842758726130301,24,2.2242025173187256,0.2436,2.2208382995605467,0.2326,1745753451.4318595,2025/04/27 20:30:51,82.805983543396,1.4m,0.0001248124026460573
25,0.009549150281252635,25,2.224791906738281,0.2462,2.2225867752075197,0.2352,1745753454.852524,2025/04/27 20:30:54,86.2266480922699,1.4m,0.00012527150101959705
26,0.006698729810778067,26,2.223879615020752,0.245,2.2192630283355714,0.2328,1745753458.2559316,2025/04/27 20:30:58,89.63005566596985,1.5m,0.00012929082731716335
27,0.004322727117869953,27,2.2237362648010253,0.2402,2.217482177734375,0.2306,1745753461.659895,2025/04/27 20:31:01,93.03401899337769,1.6m,0.00012613266881089658
28,0.002447174185242324,28,2.2234885082244875,0.246,2.2200875778198244,0.2322,1745753465.0502748,2025/04/27 20:31:05,96.42439889907837,1.6m,0.0001278050331166014
29,0.0010926199633097158,29,2.2236037979125975,0.2464,2.218990182876587,0.23,1745753468.430082,2025/04/27 20:31:08,99.8042061328888,1.7m,0.00012125165812904015
30,0.00027390523158633,30,2.2213681816101074,0.2564,2.221492573928833,0.2318,1745753471.8429222,2025/04/27 20:31:11,103.21704626083374,1.7m,0.0001265178871108219
