run_id,model_arc,epochs,ensemble_type,params,grad,lr,epoch,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean,val_loss,val_acc
0,models.resnet_git_ee resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.250347220993042,0.9256,1745756916.9403312,2025/04/27 21:28:36,285.66104102134705,4.8m,0.0004554239858407527,1.007099440574646,0.7085
1,models.resnet_git_ee resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.2680918281555176,0.9212,1745758010.4233985,2025/04/27 21:46:50,1093.0356078147888,18.2m,0.000377706570702685,1.0205261344909669,0.7064
2,models.resnet_git_ee resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.2535762735366821,0.9192,1745758291.5250037,2025/04/27 21:51:31,281.0505781173706,4.7m,0.00030477941618300974,1.0081814754962921,0.711
3,models.resnet_git_ee resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.2679061095237732,0.9186,1745759401.176902,2025/04/27 22:10:01,1109.1833145618439,18.5m,0.00024007186203789388,1.008184800338745,0.7057
4,models.resnet_git_ee resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.2673591191291809,0.9172,1745759684.9687057,2025/04/27 22:14:44,283.7373969554901,4.7m,0.0003251235466450453,1.0324425937652588,0.7052
5,models.resnet_git_ee resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.2633809851646423,0.9202,1745760804.0468717,2025/04/27 22:33:24,1118.5537197589874,18.6m,0.0003870909661713995,1.0079924144744874,0.7066
6,models.resnet_git_ee resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.2499824827194214,0.9274,1745761085.9142423,2025/04/27 22:38:05,281.8131890296936,4.7m,0.00045446783769875765,0.9890662971496582,0.7117
7,models.resnet_git_ee resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.2439310857772827,0.9282,1745762203.9585526,2025/04/27 22:56:43,1117.5632827281952,18.6m,0.00020507903968791652,0.9986770935058594,0.7129
8,models.resnet_git_ee resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.25085412340164187,0.9204,1745762491.128135,2025/04/27 23:01:31,287.1126317977905,4.8m,0.0003485521301627159,1.0281974318504334,0.7084
9,models.resnet_git_ee resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.24750535125732423,0.9272,1745763605.643246,2025/04/27 23:20:05,1114.0274930000305,18.6m,0.0003770682602493025,0.9593213101387024,0.7221
10,models.resnet_git_ee resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.26439813709259036,0.9172,1745764041.4085112,2025/04/27 23:27:21,435.7080316543579,7.3m,0.00038546681753359735,1.0129176482200624,0.7113
11,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.32290578927993774,0.8978,1745764335.1473374,2025/04/27 23:32:15,551.9432055950165,9.2m,0.00033406700822524726,1.0062757270812988,0.6956
12,models.resnet_git_ee resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.25953504009246825,0.9192,1745765903.8902032,2025/04/27 23:58:23,1858.6462767124176,31.0m,0.00032128059876868065,1.0364475436210632,0.7029
13,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.2528693522453308,0.9204,1745765982.7118979,2025/04/27 23:59:42,1646.096715927124,27.4m,0.0003081712731045627,1.0209222946166991,0.7007
