step,lr,epoch,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean,val_loss,val_acc
1,0.005,1,1.8764001174926759,0.3004,1745785571.4410725,2025/04/28 05:26:11,2.730757713317871,2.7s,0.0003137202002108097,,
2,0.0049987664009143295,2,1.631274701690674,0.4048,1745785574.1607256,2025/04/28 05:26:14,5.450410842895508,5.5s,0.0002725680824369192,,
3,0.00499506682107068,3,1.5407220432281494,0.4332,1745785576.8555696,2025/04/28 05:26:16,8.145254850387573,8.1s,0.0002108412008965388,,
4,0.004988904911507701,4,1.4606565591812133,0.4644,1745785579.558428,2025/04/28 05:26:19,10.848113298416138,10.8s,0.0002087564062094316,,
5,0.004980286753286196,5,1.4378249794006348,0.473,1745785582.2396047,2025/04/28 05:26:22,13.529289960861206,13.5s,0.00017555123486090451,,
6,0.004969220851487845,6,1.378074355316162,0.505,1745785584.9803553,2025/04/28 05:26:24,16.27004051208496,16.3s,0.000234357183217071,,
7,0.004955718126821723,7,1.3629555816650392,0.5008,1745785587.6554983,2025/04/28 05:26:27,18.945183515548706,18.9s,0.00019642831466626376,,
8,0.004939791904846869,8,1.3116824048995972,0.5264,1745785590.3388803,2025/04/28 05:26:30,21.628565549850464,21.6s,0.0001600028044776991,,
9,0.004921457902821578,9,1.2610077590942383,0.552,1745785593.0441744,2025/04/28 05:26:33,24.33385968208313,24.3s,0.00012836132373195142,,
10,0.004900734214192358,10,1.2391861597061158,0.5552,1745785597.123395,2025/04/28 05:26:37,28.4130802154541,28.4s,0.0001895007153507322,1.2935407249450683,0.5428
11,0.004877641290737884,11,1.230006109046936,0.558,1745785599.7838154,2025/04/28 05:26:39,31.073500633239746,31.1s,0.00018319256196264178,,
12,0.004852201922385563,12,1.1904870135307313,0.575,1745785602.4535053,2025/04/28 05:26:42,33.74319052696228,33.7s,0.00011725294461939484,,
13,0.004824441214720628,13,1.1419059341430664,0.5972,1745785605.1169457,2025/04/28 05:26:45,36.406630992889404,36.4s,0.00019033107673749328,,
14,0.004794386564209952,14,1.144000478553772,0.5914,1745785607.803442,2025/04/28 05:26:47,39.09312725067139,39.1s,0.0001829914253903553,,
15,0.004762067631165048,15,1.1195045367240906,0.601,1745785610.4995863,2025/04/28 05:26:50,41.78927159309387,41.8s,0.0001138312291004695,,
16,0.004727516310470919,16,1.084070272064209,0.6156,1745785613.182194,2025/04/28 05:26:53,44.47187924385071,44.5s,0.0002687058295123279,,
17,0.0046907667001096585,17,1.0977588013648987,0.6054,1745785615.9167137,2025/04/28 05:26:55,47.20639896392822,47.2s,0.00014657186693511903,,
18,0.004651855067509859,18,1.082196556854248,0.611,1745785618.6676373,2025/04/28 05:26:58,49.95732259750366,50.0s,0.00015385165170300752,,
19,0.004610819813755038,19,1.0382231872558594,0.631,1745785621.36738,2025/04/28 05:27:01,52.65706515312195,52.7s,0.00018358620582148433,,
20,0.004567701435686405,20,1.0458166393280028,0.6276,1745785625.4429781,2025/04/28 05:27:05,56.73266339302063,56.7s,0.00022538880875799805,1.1699363189697265,0.587
21,0.004522542485937369,21,1.0292978565216064,0.631,1745785628.147791,2025/04/28 05:27:08,59.43747615814209,59.4s,0.00017076314543373883,,
22,0.004475387530939226,22,1.0252170176506044,0.6304,1745785630.918284,2025/04/28 05:27:10,62.207969188690186,1.0m,0.00010647160524968058,,
23,0.004426283106939473,23,0.962240559387207,0.6568,1745785633.6309848,2025/04/28 05:27:13,64.92067003250122,1.1m,0.00017640352598391473,,
24,0.004375277674076149,24,0.9540093994140625,0.6634,1745785636.4079475,2025/04/28 05:27:16,67.69763278961182,1.1m,0.00022232430637814105,,
25,0.00432242156855353,25,0.9828101253509521,0.653,1745785639.176235,2025/04/28 05:27:19,70.46592020988464,1.2m,0.0002488211030140519,,
26,0.004267766952966369,26,0.9816510669708252,0.6506,1745785641.9889126,2025/04/28 05:27:21,73.27859783172607,1.2m,0.0002140663709724322,,
27,0.004211367764821722,27,0.9547270538330078,0.6648,1745785644.7596016,2025/04/28 05:27:24,76.04928684234619,1.3m,0.00013900357589591295,,
28,0.00415327966330913,28,0.8920425693511963,0.6848,1745785647.446753,2025/04/28 05:27:27,78.73643827438354,1.3m,0.00016609638987574726,,
29,0.004093559974371725,29,0.8817312540054322,0.6856,1745785650.120032,2025/04/28 05:27:30,81.40971732139587,1.4m,0.00021049029601272196,,
30,0.004032267634132442,30,0.8685469848632813,0.6946,1745785654.2239087,2025/04/28 05:27:34,85.51359391212463,1.4m,0.00013984210090711713,1.0855777236938478,0.6326
31,0.003969463130731184,31,0.831011858177185,0.7062,1745785656.9269674,2025/04/28 05:27:36,88.21665263175964,1.5m,0.00019408483058214188,,
