step,epoch,lr,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,val_loss,val_acc
1,1,0.005,1.5543360013961791,0.333,1744767244.1225162,2025/04/16 10:34:04,1.643303394317627,1.6s,,
2,2,0.004999996915749259,1.261569327354431,0.438,1744767245.2208762,2025/04/16 10:34:05,2.7416634559631348,2.7s,,
3,3,0.004999987663004646,1.1942898893356324,0.489,1744767246.3060596,2025/04/16 10:34:06,3.8268468379974365,3.8s,,
4,4,0.004999972241788991,1.1534300031661988,0.482,1744767247.2820065,2025/04/16 10:34:07,4.802793741226196,4.8s,,
5,5,0.004999950652140343,1.097921841621399,0.538,1744767248.244179,2025/04/16 10:34:08,5.764966249465942,5.8s,,
6,6,0.004999922894111975,1.070949315547943,0.531,1744767249.2035286,2025/04/16 10:34:09,6.724315881729126,6.7s,,
7,7,0.004999888967772375,1.06320814037323,0.535,1744767250.1658528,2025/04/16 10:34:10,7.686640024185181,7.7s,,
8,8,0.004999848873205254,0.9861707220077515,0.587,1744767251.1269276,2025/04/16 10:34:11,8.647714853286743,8.6s,,
9,9,0.004999802610509541,0.9858554964065551,0.602,1744767252.0935886,2025/04/16 10:34:12,9.614375829696655,9.6s,,
10,10,0.004999750179799384,0.9312384719848633,0.595,1744767253.0554988,2025/04/16 10:34:13,10.57628607749939,10.6s,,
11,11,0.004999691581204151,0.9203909964561462,0.623,1744767254.0326562,2025/04/16 10:34:14,11.553443431854248,11.6s,,
12,12,0.00499962681486843,0.903674557685852,0.641,1744767254.9964201,2025/04/16 10:34:14,12.517207384109497,12.5s,,
13,13,0.004999555880952022,0.8555175261497497,0.654,1744767255.957528,2025/04/16 10:34:15,13.478315353393555,13.5s,,
14,14,0.004999478779629953,0.8639092636108399,0.645,1744767256.9214475,2025/04/16 10:34:16,14.442234754562378,14.4s,,
15,15,0.004999395511092461,0.8504243717193604,0.644,1744767257.89029,2025/04/16 10:34:17,15.41107726097107,15.4s,,
16,16,0.004999306075545002,0.8153398060798644,0.671,1744767258.855746,2025/04/16 10:34:18,16.376533269882202,16.4s,,
17,17,0.00499921047320825,0.7859230093955993,0.682,1744767259.826708,2025/04/16 10:34:19,17.347495317459106,17.3s,,
18,18,0.004999108704318095,0.7564552617073059,0.695,1744767260.795079,2025/04/16 10:34:20,18.315866231918335,18.3s,,
19,19,0.004999000769125641,0.7381110091209412,0.709,1744767261.7595882,2025/04/16 10:34:21,19.280375480651855,19.3s,,
20,20,0.004998886667897208,0.729616946220398,0.718,1744767263.923286,2025/04/16 10:34:23,21.44407320022583,21.4s,1.29745887966156,0.5732
21,21,0.004998766400914329,0.709080237865448,0.725,1744767267.8444743,2025/04/16 10:34:27,25.365261554718018,25.4s,,
22,22,0.00499863996847375,0.638602933883667,0.755,1744767268.8109179,2025/04/16 10:34:28,26.33170509338379,26.3s,,
23,23,0.004998507370887432,0.6421715993881225,0.752,1744767269.7736375,2025/04/16 10:34:29,27.294424772262573,27.3s,,
24,24,0.004998368608482545,0.6867070937156677,0.75,1744767270.742481,2025/04/16 10:34:30,28.26326823234558,28.3s,,
25,25,0.004998223681601472,0.6605550065040589,0.74,1744767271.755478,2025/04/16 10:34:31,29.276265144348145,29.3s,,
26,26,0.004998072590601806,0.6420261335372924,0.755,1744767272.7311132,2025/04/16 10:34:32,30.25190043449402,30.3s,,
27,27,0.004997915335856349,0.6504989776611328,0.753,1744767273.6978009,2025/04/16 10:34:33,31.21858811378479,31.2s,,
28,28,0.004997751917753111,0.5689370336532593,0.766,1744767274.6679375,2025/04/16 10:34:34,32.188724756240845,32.2s,,
29,29,0.004997582336695311,0.5819286251068115,0.765,1744767275.6355648,2025/04/16 10:34:35,33.156352043151855,33.2s,,
30,30,0.004997406593101372,0.5768818054199218,0.782,1744767276.6224976,2025/04/16 10:34:36,34.14328479766846,34.1s,,
31,31,0.004997224687404924,0.5339445576667786,0.779,1744767277.5951571,2025/04/16 10:34:37,35.115944385528564,35.1s,,
32,32,0.0049970366200548025,0.49733475971221924,0.812,1744767278.5631175,2025/04/16 10:34:38,36.08390474319458,36.1s,,
33,33,0.004996842391515043,0.4663119449615479,0.823,1744767279.5308528,2025/04/16 10:34:39,37.051640033721924,37.1s,,
34,34,0.004996642002264886,0.5241319723129273,0.81,1744767280.5045063,2025/04/16 10:34:40,38.025293588638306,38.0s,,
35,35,0.004996435452798773,0.48992827892303464,0.808,1744767281.4875393,2025/04/16 10:34:41,39.00832653045654,39.0s,,
36,36,0.0049962227436263435,0.4835177984237671,0.805,1744767282.4522014,2025/04/16 10:34:42,39.97298860549927,40.0s,,
37,37,0.004996003875272436,0.47770363473892213,0.824,1744767283.4240086,2025/04/16 10:34:43,40.94479584693909,40.9s,,
38,38,0.004995778848277086,0.4441011662483215,0.842,1744767284.389425,2025/04/16 10:34:44,41.91021227836609,41.9s,,
39,39,0.0049955476631955275,0.3885060882568359,0.859,1744767285.3706737,2025/04/16 10:34:45,42.89146089553833,42.9s,,
40,40,0.004995310320598184,0.3926529302597046,0.858,1744767287.5249245,2025/04/16 10:34:47,45.04571175575256,45.0s,1.3928697103500367,0.597
41,41,0.004995066821070676,0.4044771089553833,0.844,1744767291.4275413,2025/04/16 10:34:51,48.948328495025635,48.9s,,
42,42,0.004994817165213814,0.4345849094390869,0.838,1744767292.4049594,2025/04/16 10:34:52,49.92574667930603,49.9s,,
43,43,0.004994561353643601,0.40036811304092407,0.855,1744767293.374674,2025/04/16 10:34:53,50.895461320877075,50.9s,,
44,44,0.004994299386991224,0.4061832814216614,0.846,1744767294.3430016,2025/04/16 10:34:54,51.86378884315491,51.9s,,
