step,epoch,lr,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,val_loss,val_acc
1,1,0.03,4.605813580322265,0.0094,1746695757.5887878,2025/05/08 18:15:57,5.301435232162476,5.3s,,
2,2,0.029999537364671845,4.602736135101319,0.012,1746695762.2657213,2025/05/08 18:16:02,9.978368759155273,10.0s,,
3,3,0.029998149487224905,4.598804991149902,0.013,1746695766.9263825,2025/05/08 18:16:06,14.63902997970581,14.6s,,
4,4,0.029995836453270006,4.594962739562988,0.018,1746695773.981423,2025/05/08 18:16:13,21.69407033920288,21.7s,4.592585429382324,0.0204
5,5,0.02999259840548597,4.591171328735352,0.0258,1746695778.7865937,2025/05/08 18:16:18,26.49924111366272,26.5s,,
6,6,0.02998843554361084,4.5871577003479,0.0324,1746695783.4305305,2025/05/08 18:16:23,31.14317798614502,31.1s,,
7,7,0.02998334812442955,4.582405868530273,0.0294,1746695788.0985634,2025/05/08 18:16:28,35.8112108707428,35.8s,,
8,8,0.02997733646175807,4.576835522460938,0.0372,1746695795.1643732,2025/05/08 18:16:35,42.877020597457886,42.9s,4.570738238525391,0.039
9,9,0.02997040092642407,4.5720284553527835,0.0406,1746695799.9865677,2025/05/08 18:16:39,47.69921517372131,47.7s,,
10,10,0.02996254194624405,4.565322041320801,0.0414,1746695804.6590216,2025/05/08 18:16:44,52.37166905403137,52.4s,,
11,11,0.02995376000599692,4.559264544677735,0.041,1746695809.3214514,2025/05/08 18:16:49,57.034098863601685,57.0s,,
12,12,0.029944055647394118,4.553077142333985,0.0432,1746695816.3901138,2025/05/08 18:16:56,64.10276126861572,1.1m,4.540397750091553,0.0458
13,13,0.0299334294690462,4.545444263458252,0.0462,1746695821.1822388,2025/05/08 18:17:01,68.89488625526428,1.1m,,
14,14,0.029921882126425898,4.5378306907653805,0.0462,1746695825.8858294,2025/05/08 18:17:05,73.59847688674927,1.2m,,
15,15,0.029909414331827696,4.531022004699707,0.0456,1746695830.5827756,2025/05/08 18:17:10,78.29542303085327,1.3m,,
16,16,0.029896026854323896,4.522882894134521,0.0424,1746695837.7484317,2025/05/08 18:17:17,85.46107912063599,1.4m,4.521031607818603,0.0485
17,17,0.02988172051971717,4.514223869323731,0.0448,1746695842.5791967,2025/05/08 18:17:22,90.29184412956238,1.5m,,
18,18,0.02986649621048962,4.507728218078613,0.0452,1746695847.2920773,2025/05/08 18:17:27,95.00472474098206,1.6m,,
19,19,0.02985035486574836,4.500055297851563,0.0448,1746695852.0436711,2025/05/08 18:17:32,99.75631856918335,1.7m,,
20,20,0.02983329748116757,4.493491321563721,0.0456,1746695859.1540637,2025/05/08 18:17:39,106.86671113967896,1.8m,4.4793786010742185,0.0509
