step,epoch,lr,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,val_loss,val_acc
1,1,0.3,4.449031834411621,0.0345,1746781867.688976,2025/05/09 18:11:07,6.738820314407349,6.7s,,
2,2,0.29999925978027875,4.097471384048462,0.0583,1746781873.7745142,2025/05/09 18:11:13,12.824358463287354,12.8s,,
3,3,0.2999970391284206,3.9975619426727294,0.078,1746781879.6997292,2025/05/09 18:11:19,18.749573469161987,18.7s,,
4,4,0.2999933380663425,3.8679012260437013,0.0938,1746781885.77345,2025/05/09 18:11:25,24.823294162750244,24.8s,,
5,5,0.29998815663057243,3.784167272949219,0.1052,1746781891.8052516,2025/05/09 18:11:31,30.855095863342285,30.9s,,
6,6,0.2999814948722491,3.688906746292114,0.121,1746781897.7750773,2025/05/09 18:11:37,36.82492160797119,36.8s,,
7,7,0.2999733528571214,3.5885837215423586,0.1384,1746781903.8056793,2025/05/09 18:11:43,42.85552358627319,42.9s,,
8,8,0.29996373066554766,3.4706623741149905,0.1614,1746781909.9831996,2025/05/09 18:11:49,49.03304386138916,49.0s,,
9,9,0.29995262839249504,3.3922962882995606,0.1743,1746781915.9680011,2025/05/09 18:11:55,55.01784539222717,55.0s,,
10,10,0.2999400461475385,3.3145267280578614,0.1854,1746781923.590277,2025/05/09 18:12:03,62.64012122154236,1.0m,3.58008628616333,0.1601
11,11,0.29992598405485976,3.252448076629639,0.2022,1746781929.6041164,2025/05/09 18:12:09,68.65396070480347,1.1m,,
12,12,0.299910442253246,3.159099815750122,0.2138,1746781935.4920309,2025/05/09 18:12:15,74.54187512397766,1.2m,,
13,13,0.29989342089608845,3.1126773582458496,0.2253,1746781941.3309598,2025/05/09 18:12:21,80.38080406188965,1.3m,,
14,14,0.29987492015138106,3.048966323852539,0.2317,1746781947.2342832,2025/05/09 18:12:27,86.28412747383118,1.4m,,
15,15,0.2998549402017188,3.017829574584961,0.2427,1746781953.1422987,2025/05/09 18:12:33,92.19214296340942,1.5m,,
16,16,0.29983348124429565,2.940335916137695,0.2583,1746781959.050587,2025/05/09 18:12:39,98.10043120384216,1.6m,,
17,17,0.2998105434909028,2.8748792861938477,0.2673,1746781964.8692148,2025/05/09 18:12:44,103.91905903816223,1.7m,,
18,18,0.29978612716792663,2.8357634941101075,0.2806,1746781970.7861054,2025/05/09 18:12:50,109.83594965934753,1.8m,,
19,19,0.2997602325163464,2.743086778640747,0.2977,1746781976.6666915,2025/05/09 18:12:56,115.71653580665588,1.9m,,
20,20,0.2997328597917319,2.725999109649658,0.2948,1746781984.0936642,2025/05/09 18:13:04,123.14350843429565,2.1m,3.2141557552337647,0.2357
21,21,0.29970400926424084,2.6669427169799804,0.3099,1746781989.9905121,2025/05/09 18:13:09,129.04035639762878,2.2m,,
22,22,0.2996736812186164,2.6874880939483643,0.3058,1746781995.8763213,2025/05/09 18:13:15,134.9261655807495,2.2m,,
23,23,0.2996418759541839,2.60574305267334,0.3257,1746782001.7798197,2025/05/09 18:13:21,140.8296639919281,2.3m,,
24,24,0.29960859378484866,2.571810399246216,0.3347,1746782007.7134144,2025/05/09 18:13:27,146.76325869560242,2.4m,,
25,25,0.2995738350390922,2.517569480133057,0.346,1746782013.5598993,2025/05/09 18:13:33,152.6097435951233,2.5m,,
26,26,0.2995376000599693,2.4633567089080812,0.3516,1746782019.404826,2025/05/09 18:13:39,158.45467019081116,2.6m,,
27,27,0.29949988920510456,2.4164289405822754,0.3644,1746782025.2953043,2025/05/09 18:13:45,164.345148563385,2.7m,,
28,28,0.29946070284668896,2.3756046897888186,0.3739,1746782031.1539621,2025/05/09 18:13:51,170.20380640029907,2.8m,,
29,29,0.299420041371476,2.3547456970214844,0.3682,1746782037.0120757,2025/05/09 18:13:57,176.06191992759705,2.9m,,
30,30,0.29937790518077795,2.342673121070862,0.3771,1746782044.3723636,2025/05/09 18:14:04,183.42220783233643,3.1m,3.2870051502227784,0.2756
31,31,0.2993342946904621,2.3024232421875,0.3893,1746782050.2021914,2025/05/09 18:14:10,189.25203561782837,3.2m,,
32,32,0.29928921033094635,2.226218995285034,0.4037,1746782056.0574727,2025/05/09 18:14:16,195.1073169708252,3.3m,,
33,33,0.2992426525471951,2.2569350818634035,0.3969,1746782062.050267,2025/05/09 18:14:22,201.100111246109,3.4m,,
34,34,0.2991946217987149,2.223868557739258,0.4077,1746782067.913798,2025/05/09 18:14:27,206.9636423587799,3.4m,,
35,35,0.2991451185595499,2.203610084915161,0.4108,1746782073.76394,2025/05/09 18:14:33,212.81378436088562,3.5m,,
36,36,0.29909414331827705,2.1128765815734862,0.4342,1746782079.6651957,2025/05/09 18:14:39,218.7150399684906,3.6m,,
37,37,0.29904169657800134,2.163288753890991,0.4211,1746782085.5424685,2025/05/09 18:14:45,224.59231281280518,3.7m,,
38,38,0.29898777885635097,2.0882493923187258,0.4336,1746782091.3615553,2025/05/09 18:14:51,230.41139960289001,3.8m,,
39,39,0.2989323906854721,2.0749889781951905,0.4333,1746782097.293908,2025/05/09 18:14:57,236.3437523841858,3.9m,,
40,40,0.29887553261202365,2.0339571197509767,0.443,1746782104.6909132,2025/05/09 18:15:04,243.74075746536255,4.1m,2.9690593215942385,0.3151
41,41,0.29881720519717175,2.0369372821807863,0.4444,1746782110.6295094,2025/05/09 18:15:10,249.67935371398926,4.2m,,
42,42,0.2987574090165845,2.0280349296569824,0.4481,1746782116.584813,2025/05/09 18:15:16,255.6346573829651,4.3m,,
43,43,0.298696144660426,2.007550004196167,0.4483,1746782122.4610856,2025/05/09 18:15:22,261.51092982292175,4.4m,,
44,44,0.2986334127333508,1.985037042617798,0.4596,1746782128.4470038,2025/05/09 18:15:28,267.4968481063843,4.5m,,
45,45,0.29856921385449764,2.0029620166778566,0.4539,1746782134.4166503,2025/05/09 18:15:34,273.4664945602417,4.6m,,
46,46,0.2985035486574836,1.9844639640808106,0.4615,1746782140.3697596,2025/05/09 18:15:40,279.4196038246155,4.7m,,
47,47,0.29843641779039753,1.952205078125,0.4678,1746782146.325213,2025/05/09 18:15:46,285.375057220459,4.8m,,
48,48,0.2983678219157942,1.913278782272339,0.4707,1746782152.1969268,2025/05/09 18:15:52,291.2467710971832,4.9m,,
49,49,0.29829776171068706,1.8968409545898437,0.4753,1746782158.0350568,2025/05/09 18:15:58,297.08490109443665,5.0m,,
50,50,0.29822623786654207,1.8699578245162964,0.477,1746782165.424444,2025/05/09 18:16:05,304.47428822517395,5.1m,2.702636592102051,0.3475
51,51,0.29815325108927065,1.8865544666290284,0.484,1746782171.3004048,2025/05/09 18:16:11,310.35024905204773,5.2m,,
52,52,0.2980788020992229,1.9230413604736327,0.4672,1746782177.1335201,2025/05/09 18:16:17,316.1833643913269,5.3m,,
53,53,0.2980028916311802,1.8800160726547241,0.4823,1746782183.0821872,2025/05/09 18:16:23,322.13203144073486,5.4m,,
54,54,0.29792552043434833,1.8360397666931152,0.4906,1746782189.15848,2025/05/09 18:16:29,328.20832419395447,5.5m,,
55,55,0.2978466892723497,1.8381220359802246,0.4871,1746782195.2163591,2025/05/09 18:16:35,334.2662034034729,5.6m,,
56,56,0.29776639892321605,1.8624600395202637,0.4888,1746782201.1601477,2025/05/09 18:16:41,340.2099919319153,5.7m,,
57,57,0.2976846501793808,1.7873897415161133,0.4989,1746782207.070555,2025/05/09 18:16:47,346.1203992366791,5.8m,,
58,58,0.29760144384767095,1.8257167253494262,0.4948,1746782212.9066153,2025/05/09 18:16:52,351.9564595222473,5.9m,,
59,59,0.2975167807492995,1.8365747505187988,0.4903,1746782218.77964,2025/05/09 18:16:58,357.82948422431946,6.0m,,
60,60,0.2974306617198569,1.787429277420044,0.5037,1746782226.147842,2025/05/09 18:17:06,365.19768619537354,6.1m,3.2158059661865233,0.3075
61,61,0.29734308760930334,1.7944961458206177,0.5004,1746782232.0301588,2025/05/09 18:17:12,371.0800030231476,6.2m,,
62,62,0.29725405928195986,1.79504959526062,0.504,1746782237.8988504,2025/05/09 18:17:17,376.94869470596313,6.3m,,
63,63,0.29716357761650014,1.7620574075698852,0.5103,1746782243.7861586,2025/05/09 18:17:23,382.8360028266907,6.4m,,
64,64,0.2970716435059417,1.77326357421875,0.5056,1746782249.690254,2025/05/09 18:17:29,388.74009823799133,6.5m,,
65,65,0.29697825785763704,1.8099460565567016,0.4971,1746782255.5433471,2025/05/09 18:17:35,394.59319138526917,6.6m,,
66,66,0.29688342159326486,1.7632644866943359,0.503,1746782261.4789577,2025/05/09 18:17:41,400.5288019180298,6.7m,,
67,67,0.2967871356488208,1.7993267318725585,0.4998,1746782267.418358,2025/05/09 18:17:47,406.4682023525238,6.8m,,
68,68,0.2966894009746083,1.7683176378250123,0.5073,1746782273.2980235,2025/05/09 18:17:53,412.34786772727966,6.9m,,
69,69,0.296590218535229,1.7296733659744263,0.5185,1746782279.2852752,2025/05/09 18:17:59,418.3351194858551,7.0m,,
70,70,0.29648958930957364,1.7033811418533324,0.5239,1746782286.9015613,2025/05/09 18:18:06,425.9514055252075,7.1m,3.201741234588623,0.3123
71,71,0.29638751429081206,1.6914467380523681,0.529,1746782292.973381,2025/05/09 18:18:12,432.0232253074646,7.2m,,
72,72,0.29628399448638343,1.7351721462249756,0.5163,1746782298.9236755,2025/05/09 18:18:18,437.9735198020935,7.3m,,
73,73,0.29617903091798653,1.7767311613082886,0.5069,1746782305.0597703,2025/05/09 18:18:25,444.109614610672,7.4m,,
74,74,0.29607262462156925,1.7094442768096925,0.5295,1746782311.2965739,2025/05/09 18:18:31,450.3464181423187,7.5m,,
75,75,0.2959647766473189,1.7151552001953125,0.5208,1746782317.495873,2025/05/09 18:18:37,456.5457172393799,7.6m,,
76,76,0.2958554880596514,1.7077404932022096,0.5236,1746782323.7785559,2025/05/09 18:18:43,462.8284001350403,7.7m,,
77,77,0.295744759937201,1.7130177707672118,0.5253,1746782330.000987,2025/05/09 18:18:50,469.0508313179016,7.8m,,
78,78,0.29563259337280956,1.6784094953536988,0.5294,1746782336.1643102,2025/05/09 18:18:56,475.2141544818878,7.9m,,
79,79,0.2955189894735158,1.719011591720581,0.5205,1746782342.0438845,2025/05/09 18:19:02,481.09372878074646,8.0m,,
80,80,0.29540394936054426,1.6975226257324219,0.5229,1746782349.7555044,2025/05/09 18:19:09,488.80534863471985,8.1m,2.9626077674865723,0.3214
81,81,0.2952874741692946,1.6867288154602051,0.5338,1746782355.8412778,2025/05/09 18:19:15,494.8911221027374,8.2m,,
82,82,0.29516956504932973,1.6478381587982178,0.5377,1746782361.8122125,2025/05/09 18:19:21,500.86205673217773,8.3m,,
83,83,0.2950502231643652,1.6793623455047608,0.5312,1746782367.7861645,2025/05/09 18:19:27,506.83600878715515,8.4m,,
84,84,0.2949294496922571,1.6972077770233154,0.5297,1746782373.6790166,2025/05/09 18:19:33,512.7288608551025,8.5m,,
85,85,0.294807245824991,1.6513330909729005,0.5373,1746782379.648225,2025/05/09 18:19:39,518.6980693340302,8.6m,,
86,86,0.2946836127686696,1.7425224197387694,0.5202,1746782385.4981613,2025/05/09 18:19:45,524.5480055809021,8.7m,,
87,87,0.2945585517435014,1.6425470273971559,0.5412,1746782391.392084,2025/05/09 18:19:51,530.4419281482697,8.8m,,
88,88,0.2944320639837881,1.665596734237671,0.5369,1746782397.29484,2025/05/09 18:19:57,536.3446843624115,8.9m,,
89,89,0.2943041507379128,1.6907035564422608,0.5218,1746782403.1466484,2025/05/09 18:20:03,542.1964926719666,9.0m,,
