step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,1,2.300431468963623,0.1166,2.299464267730713,0.1114,1745232069.3271987,2025/04/21 19:41:09,3.3748435974121094,3.4s,0.0001276690309168771
2,2,2.297328847122192,0.1298,2.296567487335205,0.1262,1745232072.7992778,2025/04/21 19:41:12,6.8469226360321045,6.8s,0.0001271194632863626
3,3,2.2934966526031495,0.1484,2.292987602233887,0.1404,1745232076.2193732,2025/04/21 19:41:16,10.26701807975769,10.3s,0.0001252247457159683
4,4,2.290526279067993,0.1502,2.2903939037323,0.1546,1745232079.61984,2025/04/21 19:41:19,13.667484760284424,13.7s,0.00012807489838451147
5,5,2.2884223777770996,0.1574,2.2886828605651854,0.1584,1745232083.0041063,2025/04/21 19:41:23,17.051751136779785,17.1s,0.00012671419244725257
6,6,2.2856189426422118,0.1716,2.2867422344207764,0.161,1745232086.4020414,2025/04/21 19:41:26,20.449686288833618,20.4s,0.00012243447417858988
7,7,2.284687424850464,0.1664,2.284928240966797,0.1616,1745232089.7979786,2025/04/21 19:41:29,23.84562349319458,23.8s,0.00012628482363652438
8,8,2.2829991470336912,0.1674,2.2839300128936766,0.1662,1745232093.190146,2025/04/21 19:41:33,27.237790822982788,27.2s,0.0001270456559723243
9,9,2.2826247356414795,0.1792,2.2834473888397215,0.1648,1745232096.5326478,2025/04/21 19:41:36,30.58029270172119,30.6s,0.0001264724851353094
10,10,2.2826698333740234,0.18,2.284215807723999,0.167,1745232099.890882,2025/04/21 19:41:39,33.93852686882019,33.9s,0.0001246801984962076
