step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,1,1.8825242519378662,0.3228,1.7719642784118652,0.3748,1745221723.993078,2025/04/21 16:48:43,4.1769773960113525,4.2s,0.00013585865963250399
2,2,1.5417438899993896,0.434,1.762112203979492,0.3822,1745221727.4517102,2025/04/21 16:48:47,7.6356096267700195,7.6s,0.00015972733672242612
3,3,1.4206696029663086,0.4862,1.4378033926010132,0.476,1745221730.9544926,2025/04/21 16:48:50,11.138391971588135,11.1s,0.0002279293112223968
4,4,1.3637595634460449,0.5026,1.4645189344406129,0.4916,1745221734.4446123,2025/04/21 16:48:54,14.628511667251587,14.6s,0.00015935918781906366
5,5,1.2670121053695678,0.5478,1.2890704566955566,0.535,1745221737.8829036,2025/04/21 16:48:57,18.066802978515625,18.1s,0.0001840697368606925
6,6,1.1971645338058472,0.5736,1.2589285485267638,0.5432,1745221741.4143906,2025/04/21 16:49:01,21.598289966583252,21.6s,0.00018874988018069416
7,7,1.1344939682006836,0.5986,1.1734590019226074,0.5782,1745221744.85809,2025/04/21 16:49:04,25.04198932647705,25.0s,0.00017648385255597532
8,8,1.0753533394813537,0.625,1.1576434590339661,0.5902,1745221748.2367628,2025/04/21 16:49:08,28.42066216468811,28.4s,0.00018898396228905767
9,9,1.0363909084320069,0.6356,1.1378934198379516,0.596,1745221751.6567025,2025/04/21 16:49:11,31.840601921081543,31.8s,0.00015812937635928392
10,10,1.0051997890472413,0.654,1.1226268516540527,0.597,1745221755.051104,2025/04/21 16:49:15,35.23500347137451,35.2s,0.00019921839702874422
