step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,1,1.8694354579925536,0.3152,1.6153341682434081,0.4072,1745236876.907521,2025/04/21 21:01:16,13.136162996292114,13.1s,0.0002548452466726303
2,2,1.5567803730010987,0.4332,1.4721261753082275,0.4694,1745236890.067007,2025/04/21 21:01:30,26.29564905166626,26.3s,0.00008866042480804026
3,3,1.43082879447937,0.4784,1.3752823488235473,0.5074,1745236903.1718864,2025/04/21 21:01:43,39.40052843093872,39.4s,0.00015060238365549594
4,4,1.3512698513031005,0.505,1.3539114665985108,0.5092,1745236916.248157,2025/04/21 21:01:56,52.47679901123047,52.5s,0.00007281143189175054
5,5,1.3024619934082031,0.5318,1.307141582107544,0.5354,1745236929.4469862,2025/04/21 21:02:09,65.67562818527222,1.1m,0.00009014313400257379
6,6,1.275599733543396,0.5466,1.2646354789733887,0.5542,1745236942.523185,2025/04/21 21:02:22,78.75182700157166,1.3m,0.00006498921720776707
7,7,1.2095336723327637,0.5698,1.228255189704895,0.565,1745236955.648114,2025/04/21 21:02:35,91.87675595283508,1.5m,0.000030712311854586005
8,8,1.2024383306503297,0.5658,1.2304387481689454,0.5638,1745236968.8079765,2025/04/21 21:02:48,105.03661847114563,1.8m,0.00012181655620224774
9,9,1.1560464062690734,0.5852,1.2126942733764647,0.5696,1745236981.9798229,2025/04/21 21:03:01,118.20846486091614,2.0m,0.0000415234208048787
10,10,1.1289790216445923,0.5966,1.1931941389083862,0.5786,1745236994.932795,2025/04/21 21:03:14,131.16143703460693,2.2m,0.00005717192107113078
11,11,1.1147110054016114,0.589,1.1981149057388305,0.5818,1745237007.880028,2025/04/21 21:03:27,144.1086699962616,2.4m,0.00010618886153679341
12,12,1.0841488342285157,0.6118,1.1604729677200318,0.5864,1745237020.9770868,2025/04/21 21:03:40,157.20572876930237,2.6m,0.000070473353844136
13,13,1.0746773166656494,0.6164,1.1514602066040038,0.5962,1745237033.903425,2025/04/21 21:03:53,170.13206696510315,2.8m,0.0002673575945664197
14,14,1.0270526334762573,0.6292,1.142091312789917,0.6032,1745237046.9175906,2025/04/21 21:04:06,183.14623260498047,3.1m,0.0002852706820704043
15,15,1.0047294702529908,0.6372,1.1136303434371948,0.6094,1745237060.055194,2025/04/21 21:04:20,196.28383588790894,3.3m,0.000052223316743038595
16,16,0.9773492834091186,0.655,1.1303309114456177,0.6084,1745237073.374041,2025/04/21 21:04:33,209.60268306732178,3.5m,0.0002084446168737486
17,17,1.0122219624519349,0.641,1.1311349479675292,0.6016,1745237086.4123526,2025/04/21 21:04:46,222.6409945487976,3.7m,0.00007074341556290165
