step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,1,1.9840153411865233,0.2818,1.7289677383422852,0.3626,1745089288.5672061,2025/04/20 04:01:28,14.401296377182007,14.4s,0.00025840665330179036
2,2,1.6985934020996094,0.3756,1.5917613788604736,0.4198,1745089302.621109,2025/04/20 04:01:42,28.455199241638184,28.5s,0.0003057276480831206
3,3,1.596012845802307,0.4134,1.540957646560669,0.4414,1745089316.6026258,2025/04/20 04:01:56,42.436716079711914,42.4s,0.00011187588097527623
4,4,1.5236407634735107,0.4428,1.5059877256393432,0.4416,1745089330.4781778,2025/04/20 04:02:10,56.312268018722534,56.3s,0.00017128291074186563
5,5,1.4685668239593506,0.4638,1.4465167289733887,0.471,1745089344.4268355,2025/04/20 04:02:24,70.26092576980591,1.2m,0.0003058651927858591
6,6,1.410678554534912,0.4892,1.4013701892852783,0.4992,1745089358.2373378,2025/04/20 04:02:38,84.07142806053162,1.4m,0.00012515751586761326
7,7,1.359004644203186,0.5078,1.3487572078704835,0.5162,1745089372.060872,2025/04/20 04:02:52,97.89496231079102,1.6m,0.0000973588103079237
8,8,1.2967757472991943,0.5316,1.3259740579605102,0.5204,1745089385.9081767,2025/04/20 04:03:05,111.74226689338684,1.9m,0.00021812810155097395
9,9,1.2674157648086548,0.5406,1.3377392951965332,0.5212,1745089399.9918032,2025/04/20 04:03:19,125.82589340209961,2.1m,0.00010304552415618673
10,10,1.2420756080627442,0.556,1.308363226699829,0.528,1745089414.3940368,2025/04/20 04:03:34,140.22812700271606,2.3m,0.00043718924280256033
