step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt
1,1,1.9943995471954346,0.2734,1.8292481695175171,0.3602,1745083795.7250051,2025/04/20 02:29:55,13.833633661270142,13.8s
2,2,1.708404376220703,0.3656,1.6215503810882568,0.3962,1745083809.4615417,2025/04/20 02:30:09,27.570170164108276,27.6s
3,3,1.6224830299377442,0.4034,1.5736323766708373,0.4404,1745083823.0128546,2025/04/20 02:30:23,41.12148308753967,41.1s
4,4,1.5574110080718995,0.4296,1.4863075357437134,0.46,1745083836.6121762,2025/04/20 02:30:36,54.7208046913147,54.7s
5,5,1.5091424385070802,0.4506,1.4632698535919189,0.472,1745083850.0682898,2025/04/20 02:30:50,68.17691826820374,1.1m
6,6,1.4910572256088257,0.4562,1.4801304145812988,0.473,1745083863.9931502,2025/04/20 02:31:03,82.10177874565125,1.4m
7,7,1.4463974977493286,0.4738,1.4348025489807128,0.4872,1745083877.2731364,2025/04/20 02:31:17,95.38176488876343,1.6m
8,8,1.430154136276245,0.4748,1.426928737449646,0.495,1745083890.633805,2025/04/20 02:31:30,108.74243354797363,1.8m
9,9,1.4057363538742065,0.4866,1.3804987945556642,0.5132,1745083904.9939134,2025/04/20 02:31:44,123.10254192352295,2.1m
10,10,1.365144110107422,0.5068,1.3916261610031129,0.5078,1745083918.2535596,2025/04/20 02:31:58,136.36218810081482,2.3m
11,11,1.354972304725647,0.5118,1.4204655448913575,0.4908,1745083931.9796193,2025/04/20 02:32:11,150.0882477760315,2.5m
12,12,1.322978360939026,0.524,1.3527762706756592,0.513,1745083945.516025,2025/04/20 02:32:25,163.62465357780457,2.7m
13,13,1.301634838104248,0.523,1.430315092277527,0.5178,1745083959.5318007,2025/04/20 02:32:39,177.64042925834656,3.0m
14,14,1.2900187616348266,0.5318,1.3648692821502686,0.5222,1745083972.9919393,2025/04/20 02:32:52,191.100567817688,3.2m
15,15,1.245803452682495,0.545,1.3709217769622803,0.5208,1745083986.4441326,2025/04/20 02:33:06,204.55276107788086,3.4m
16,16,1.265317557144165,0.541,1.320233388710022,0.5292,1745083999.804781,2025/04/20 02:33:19,217.91340947151184,3.6m
17,17,1.2219654079437257,0.5574,1.3210978141784668,0.5356,1745084013.4763706,2025/04/20 02:33:33,231.58499908447266,3.9m
18,18,1.2317755622863769,0.5546,1.292427136039734,0.5512,1745084027.0987911,2025/04/20 02:33:47,245.20741963386536,4.1m
19,19,1.187071307182312,0.5752,1.3190278327941896,0.5448,1745084040.9505832,2025/04/20 02:34:00,259.05921173095703,4.3m
20,20,1.1987656024932862,0.5668,1.3083361499786377,0.5462,1745084054.3050241,2025/04/20 02:34:14,272.4136526584625,4.5m
21,21,1.2022068912506103,0.5586,1.2596839708328247,0.549,1745084067.6880107,2025/04/20 02:34:27,285.79663920402527,4.8m
22,22,1.1839282787322998,0.5724,1.2843039966583252,0.5598,1745084081.2727222,2025/04/20 02:34:41,299.3813507556915,5.0m
23,23,1.1876318384170532,0.5698,1.2847781631469726,0.5452,1745084094.669012,2025/04/20 02:34:54,312.777640581131,5.2m
24,24,1.1439960515975953,0.5876,1.280606281375885,0.554,1745084107.8701496,2025/04/20 02:35:07,325.9787781238556,5.4m
25,25,1.1539430349349975,0.5802,1.2827720149993898,0.5576,1745084121.5433707,2025/04/20 02:35:21,339.6519992351532,5.7m
26,26,1.1497712921142578,0.5898,1.2439127679824828,0.5636,1745084135.100357,2025/04/20 02:35:35,353.2089855670929,5.9m
27,27,1.1290370597839356,0.5956,1.2432317923545837,0.5658,1745084149.1882575,2025/04/20 02:35:49,367.29688596725464,6.1m
28,28,1.141307448387146,0.5938,1.2512893102645875,0.5684,1745084162.7876568,2025/04/20 02:36:02,380.89628529548645,6.3m
29,29,1.1173222820281983,0.6024,1.218651176261902,0.5782,1745084176.1332557,2025/04/20 02:36:16,394.2418842315674,6.6m
30,30,1.1391948823928832,0.5922,1.2452603993415832,0.5754,1745084190.129285,2025/04/20 02:36:30,408.237913608551,6.8m
31,31,1.0753699256896974,0.6164,1.2020868234634399,0.5918,1745084203.786227,2025/04/20 02:36:43,421.8948554992676,7.0m
32,32,1.074597856903076,0.6186,1.2281532300949096,0.5796,1745084217.6571484,2025/04/20 02:36:57,435.7657768726349,7.3m
33,33,1.071351067352295,0.6208,1.2348043167114258,0.5726,1745084232.080507,2025/04/20 02:37:12,450.18913555145264,7.5m
34,34,1.0623523714065553,0.6236,1.2432542779922486,0.58,1745084246.3698864,2025/04/20 02:37:26,464.47851490974426,7.7m
35,35,1.0727648490905761,0.6224,1.2104668794631959,0.5886,1745084260.7749436,2025/04/20 02:37:40,478.883572101593,8.0m
36,36,1.0240846057891846,0.6226,1.2204044713973998,0.5832,1745084275.249117,2025/04/20 02:37:55,493.35774540901184,8.2m
37,37,1.0913586437225342,0.6132,1.250449634552002,0.567,1745084289.3687024,2025/04/20 02:38:09,507.47733092308044,8.5m
38,38,1.0900100723266601,0.6158,1.2305609691619872,0.5792,1745084303.3275933,2025/04/20 02:38:23,521.4362218379974,8.7m
39,39,1.0374646059036254,0.6302,1.201539721775055,0.5878,1745084317.1704226,2025/04/20 02:38:37,535.279051065445,8.9m
40,40,1.0212799270629882,0.6334,1.2125559560775756,0.585,1745084330.7651098,2025/04/20 02:38:50,548.8737382888794,9.1m
41,41,1.039936707496643,0.6212,1.2247197883605958,0.5898,1745084345.2061841,2025/04/20 02:39:05,563.3148126602173,9.4m
42,42,0.9940464538574219,0.6394,1.2193409761428833,0.5924,1745084359.4330454,2025/04/20 02:39:19,577.5416738986969,9.6m
