step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,1,1.8619973274230956,0.3144,2.7704771755218505,0.2782,1745573083.6795778,2025/04/25 18:24:43,3.3940186500549316,3.4s,0.0002637402794789523
2,2,1.6247342254638673,0.3994,2.876369973754883,0.27,1745573087.1107128,2025/04/25 18:24:47,6.825153589248657,6.8s,0.000279685395071283
3,3,1.5224064559936523,0.4364,2.2702436721801758,0.339,1745573090.5725286,2025/04/25 18:24:50,10.286969423294067,10.3s,0.0002601152809802443
4,4,1.485599057006836,0.462,1.7832938451766969,0.4286,1745573093.9981415,2025/04/25 18:24:53,13.712582349777222,13.7s,0.000307383801555261
5,5,1.4334864507675171,0.479,1.5467306350708008,0.4614,1745573097.4324906,2025/04/25 18:24:57,17.146931409835815,17.1s,0.00016447661619167775
6,6,1.3831209419250488,0.5022,1.4365189022064209,0.501,1745573100.8548064,2025/04/25 18:25:00,20.569247245788574,20.6s,0.0001578545052325353
7,7,1.344682343673706,0.511,1.4527293869018554,0.477,1745573104.2851548,2025/04/25 18:25:04,23.999595642089844,24.0s,0.00022627008729614317
8,8,1.3158481328964233,0.522,1.4887489608764648,0.4996,1745573107.7038126,2025/04/25 18:25:07,27.418253421783447,27.4s,0.0001730429648887366
9,9,1.287538809967041,0.5338,1.3006965381622315,0.5404,1745573111.1406925,2025/04/25 18:25:11,30.855133295059204,30.9s,0.00023855101608205587
10,10,1.2790912019729614,0.5402,1.4003368282318116,0.512,1745573114.578712,2025/04/25 18:25:14,34.293152809143066,34.3s,0.00016253518697340041
11,11,1.2319259014129638,0.5502,1.3296485836982728,0.5312,1745573118.0620534,2025/04/25 18:25:18,37.77649426460266,37.8s,0.00023213020176626742
12,12,1.2197844787597656,0.5616,1.4728086320877076,0.4906,1745573121.4825077,2025/04/25 18:25:21,41.196948528289795,41.2s,0.0001885045348899439
13,13,1.1735845680236816,0.5796,1.2780981346130371,0.5552,1745573124.8933434,2025/04/25 18:25:24,44.607784271240234,44.6s,0.00022147575509734452
14,14,1.168347727394104,0.5822,1.3311888845443725,0.5384,1745573128.3180757,2025/04/25 18:25:28,48.03251647949219,48.0s,0.00020995669183321297
15,15,1.1450225540161132,0.589,1.2288242560386657,0.5704,1745573131.7468193,2025/04/25 18:25:31,51.461260080337524,51.5s,0.0002033590862993151
16,16,1.156650232696533,0.5906,1.2737792764663696,0.5516,1745573135.1595087,2025/04/25 18:25:35,54.87394952774048,54.9s,0.00018886369070969522
17,17,1.0973203789711,0.6108,1.1984405908584594,0.5908,1745573138.6160347,2025/04/25 18:25:38,58.33047556877136,58.3s,0.00015843729488551617
18,18,1.0599753150939941,0.626,1.2298953142166138,0.576,1745573142.1031342,2025/04/25 18:25:42,61.817574977874756,1.0m,0.00016114315076265484
19,19,1.027125792980194,0.6318,1.167752767753601,0.5868,1745573145.5017061,2025/04/25 18:25:45,65.21614694595337,1.1m,0.00013066103565506637
20,20,1.0214657712936401,0.6334,1.2531877294540406,0.5732,1745573148.9187326,2025/04/25 18:25:48,68.63317346572876,1.1m,0.000210664322366938
