step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,1,1.8661565830230713,0.3156,1.9639356590270995,0.346,1745386606.3040757,2025/04/23 14:36:46,13.934450626373291,13.9s,0.0001529241562820971
2,2,1.5529628101348878,0.4296,1.779564478492737,0.403,1745386620.1695936,2025/04/23 14:37:00,27.799968481063843,27.8s,0.00007055726018734276
3,3,1.4568782260894775,0.4656,1.9574041486740112,0.4098,1745386634.0483332,2025/04/23 14:37:14,41.67870807647705,41.7s,0.00011605910549405962
4,4,1.3620938463211059,0.5064,1.5115459003448486,0.4692,1745386647.793447,2025/04/23 14:37:27,55.42382192611694,55.4s,0.00013444892829284072
5,5,1.3069499729156495,0.5274,1.4996284784317016,0.4878,1745386661.5317197,2025/04/23 14:37:41,69.1620945930481,1.2m,0.00010416661825729534
6,6,1.272791036605835,0.538,1.3481867458343506,0.5276,1745386675.5097132,2025/04/23 14:37:55,83.14008808135986,1.4m,0.00009381900599692017
7,7,1.2222126049041748,0.5558,1.3349365047454833,0.5248,1745386690.5673237,2025/04/23 14:38:10,98.19769859313965,1.6m,0.00006768149614799768
8,8,1.184765784549713,0.569,1.3364491855621339,0.5344,1745386704.4222355,2025/04/23 14:38:24,112.05261039733887,1.9m,0.00008297137537738308
9,9,1.1734195650100707,0.583,1.3622309000968933,0.5418,1745386718.43403,2025/04/23 14:38:38,126.06440496444702,2.1m,0.00006259752990445122
10,10,1.127236724090576,0.5996,1.2254827335357665,0.5656,1745386732.3005228,2025/04/23 14:38:52,139.93089771270752,2.3m,0.00011827908019768074
11,11,1.0831660289764404,0.6058,1.224964031982422,0.5784,1745386746.285565,2025/04/23 14:39:06,153.91593980789185,2.6m,0.00009283667168347165
12,12,1.0559093589782715,0.6196,1.3347369483947753,0.5486,1745386760.4869754,2025/04/23 14:39:20,168.11735033988953,2.8m,0.00009020143625093624
13,13,1.054749288368225,0.6154,1.1904724411964416,0.5758,1745386774.1507049,2025/04/23 14:39:34,181.78107976913452,3.0m,0.00004263791925041005
14,14,1.0073781063079834,0.64,1.2385610889434815,0.5668,1745386788.2034707,2025/04/23 14:39:48,195.83384561538696,3.3m,0.00013402166950982064
15,15,1.0278786470413208,0.6318,1.2277552841186523,0.5854,1745386802.883467,2025/04/23 14:40:02,210.5138418674469,3.5m,0.00014087212912272662
16,16,1.0045846576690673,0.6388,1.2002726446151732,0.5846,1745386816.9180124,2025/04/23 14:40:16,224.54838728904724,3.7m,0.00003496578210615553
17,17,0.9729338222503662,0.6568,1.1523374248504639,0.6026,1745386830.7334416,2025/04/23 14:40:30,238.36381649971008,4.0m,0.00005566860636463389
18,18,0.9382414093017578,0.6722,1.1475575378417968,0.621,1745386844.8257182,2025/04/23 14:40:44,252.45609307289124,4.2m,0.00012399177649058402
19,19,0.9468670124053955,0.66,1.2618718585968018,0.5772,1745386858.9837847,2025/04/23 14:40:58,266.6141595840454,4.4m,0.00009589474939275533
20,20,0.9413274139404297,0.6578,1.1084402616500855,0.621,1745386873.4190886,2025/04/23 14:41:13,281.0494635105133,4.7m,0.00027320568915456533
21,21,0.9246360433578491,0.662,1.268607002067566,0.5848,1745386887.794047,2025/04/23 14:41:27,295.42442202568054,4.9m,0.00010539893992245197
22,22,0.8950301117420196,0.6798,1.1506596212387086,0.617,1745386901.8318193,2025/04/23 14:41:41,309.46219420433044,5.2m,0.00011483262642286718
23,23,0.8709429662704468,0.696,1.1188500898361207,0.6192,1745386915.5738604,2025/04/23 14:41:55,323.2042353153229,5.4m,0.00014409993309527636
24,24,0.9055390356063843,0.6792,1.0936380075454712,0.627,1745386930.965263,2025/04/23 14:42:10,338.5956377983093,5.6m,0.00018983686459250748
25,25,0.8704323985099792,0.6874,1.050998365020752,0.638,1745386944.7995605,2025/04/23 14:42:24,352.42993545532227,5.9m,0.0000829944692668505
26,26,0.8298716091156005,0.7022,1.168538233947754,0.6116,1745386958.5655186,2025/04/23 14:42:38,366.19589352607727,6.1m,0.00006398537516361102
27,27,0.8319918726444244,0.7038,1.1448758850097656,0.6122,1745386973.0245094,2025/04/23 14:42:53,380.6548843383789,6.3m,0.0000386482170142699
28,28,0.8239155574798585,0.7036,1.0719671474456787,0.6442,1745386986.9233742,2025/04/23 14:43:06,394.55374908447266,6.6m,0.00010070692223962396
29,29,0.8616435310363769,0.6868,1.0746524605751038,0.637,1745387000.774002,2025/04/23 14:43:20,408.4043769836426,6.8m,0.00005123381924931891
30,30,0.8314437757492066,0.697,1.0777004462718964,0.6432,1745387014.820618,2025/04/23 14:43:34,422.4509928226471,7.0m,0.0001744643523124978
31,31,0.8065642078399659,0.7092,1.0782351360321045,0.6372,1745387028.7849777,2025/04/23 14:43:48,436.4153525829315,7.3m,0.000042257390305167064
32,32,0.7996418661117554,0.7084,1.0486134466171264,0.6454,1745387043.5932896,2025/04/23 14:44:03,451.223664522171,7.5m,0.00006342304550344124
33,33,0.8139621335983276,0.7028,1.0360468198776245,0.6584,1745387057.9518533,2025/04/23 14:44:17,465.58222818374634,7.8m,0.00011175196414114907
34,34,0.7717431474685669,0.7168,1.0776529253959655,0.6518,1745387071.8025482,2025/04/23 14:44:31,479.432923078537,8.0m,0.0002954181400127709
35,35,0.7936790744781494,0.7206,1.1352240974426269,0.631,1745387086.8518124,2025/04/23 14:44:46,494.48218727111816,8.2m,0.00015183392679318786
36,36,0.7863130947113037,0.719,1.073453392982483,0.6522,1745387103.1594563,2025/04/23 14:45:03,510.789831161499,8.5m,0.00010082573862746358
37,37,0.7750940292358398,0.7244,1.0886164682388306,0.639,1745387116.979029,2025/04/23 14:45:16,524.6094038486481,8.7m,0.00005487388261826709
38,38,0.7386402896881104,0.7382,1.111329563331604,0.6548,1745387130.7698216,2025/04/23 14:45:30,538.4001965522766,9.0m,0.000060435791965574026
39,39,0.7195990602493286,0.7476,1.0491820825576783,0.6566,1745387145.782925,2025/04/23 14:45:45,553.4132997989655,9.2m,0.00007364995690295473
40,40,0.7272738370895385,0.7426,1.0316121046066284,0.6558,1745387160.2274559,2025/04/23 14:46:00,567.8578307628632,9.5m,0.000023336184312938713
41,41,0.6916234880447387,0.7502,1.0877840688705445,0.653,1745387174.011238,2025/04/23 14:46:14,581.6416130065918,9.7m,0.00005784113454865292
42,42,0.6590241607666015,0.7604,1.0460679104804993,0.6656,1745387187.9438462,2025/04/23 14:46:27,595.5742211341858,9.9m,0.000058143003116128966
43,43,0.6965347566604614,0.7526,1.0430470377922059,0.6604,1745387201.874406,2025/04/23 14:46:41,609.5047810077667,10.2m,0.00015496384003199637
44,44,0.7156200117111206,0.7392,1.049854483985901,0.6604,1745387215.8205078,2025/04/23 14:46:55,623.4508826732635,10.4m,0.00003634802487795241
45,45,0.6856576056480408,0.7584,1.0512486413002013,0.6582,1745387229.775728,2025/04/23 14:47:09,637.4061028957367,10.6m,0.00004069682108820416
46,46,0.6548890432357788,0.7698,1.1626034633636475,0.6448,1745387243.991332,2025/04/23 14:47:23,651.6217069625854,10.9m,0.0000468505677417852
47,47,0.6749284023284912,0.761,1.0504492723464967,0.6544,1745387258.1511316,2025/04/23 14:47:38,665.7815065383911,11.1m,0.0002660041209310293
48,48,0.6532374464035035,0.768,1.1113712106227875,0.6544,1745387271.9376216,2025/04/23 14:47:51,679.5679965019226,11.3m,0.00004960562728228979
49,49,0.6577707054138183,0.765,1.073750883102417,0.665,1745387286.2772396,2025/04/23 14:48:06,693.9076144695282,11.6m,0.00007734673999948427
50,50,0.6688518251419068,0.7558,1.1380157937526703,0.6474,1745387300.1323504,2025/04/23 14:48:20,707.762725353241,11.8m,0.00005920867988606915
51,51,0.6949049381256104,0.7512,1.1191743517875672,0.647,1745387314.553448,2025/04/23 14:48:34,722.1838228702545,12.0m,0.00014082960842642933
52,52,0.6875021343231201,0.7586,1.094996503829956,0.6582,1745387328.876715,2025/04/23 14:48:48,736.5070898532867,12.3m,0.00009113597479881719
53,53,0.6748771357536316,0.7618,1.066101544380188,0.6716,1745387342.785831,2025/04/23 14:49:02,750.4162058830261,12.5m,0.0000774668442318216
54,54,0.6071381784439087,0.7872,1.0877761556625367,0.6648,1745387357.546404,2025/04/23 14:49:17,765.176778793335,12.8m,0.00015491028898395598
55,55,0.65464268283844,0.771,1.0440425407409668,0.6728,1745387372.3787088,2025/04/23 14:49:32,780.0090837478638,13.0m,0.00013628021406475455
56,56,0.5799270391464233,0.7952,1.0497074283599854,0.672,1745387386.6590846,2025/04/23 14:49:46,794.2894594669342,13.2m,0.0000851556978886947
57,57,0.6176207547187805,0.7774,1.176169700241089,0.6502,1745387400.9070525,2025/04/23 14:50:00,808.5374274253845,13.5m,0.0000650164729449898
58,58,0.6004583462715148,0.7854,1.0553855920791626,0.669,1745387415.280748,2025/04/23 14:50:15,822.9111227989197,13.7m,0.00003919111622963101
59,59,0.555215832901001,0.8,1.0003405391693114,0.6818,1745387429.5983076,2025/04/23 14:50:29,837.2286825180054,14.0m,0.00015012096264399588
60,60,0.553150044631958,0.7984,1.0178604919433594,0.6868,1745387443.8506765,2025/04/23 14:50:43,851.4810514450073,14.2m,0.00010184040002059191
61,61,0.5781285585403443,0.788,1.0793891975402832,0.6732,1745387458.0454705,2025/04/23 14:50:58,865.6758453845978,14.4m,0.00035518573713488877
62,62,0.5772498564720154,0.7932,1.0131501136779786,0.6772,1745387472.4971588,2025/04/23 14:51:12,880.1275336742401,14.7m,0.00003996786836069077
63,63,0.55223125,0.8082,1.097491170835495,0.6756,1745387487.4368482,2025/04/23 14:51:27,895.067223072052,14.9m,0.0000685170671204105
64,64,0.543563765335083,0.8086,1.079710841178894,0.6758,1745387502.4431608,2025/04/23 14:51:42,910.0735356807709,15.2m,0.00004294637983548455
65,65,0.5432921426773071,0.8068,1.0248529912948607,0.689,1745387517.1103218,2025/04/23 14:51:57,924.7406966686249,15.4m,0.00007269778870977461
66,66,0.5870152393341065,0.7932,1.1723755355834962,0.6522,1745387531.4875565,2025/04/23 14:52:11,939.1179313659668,15.7m,0.00014029514568392187
67,67,0.6163023403167724,0.7818,1.0583210790634154,0.674,1745387546.0994852,2025/04/23 14:52:26,953.7298600673676,15.9m,0.00017732956621330231
68,68,0.5740944759368897,0.8034,1.018938482284546,0.6846,1745387560.0801103,2025/04/23 14:52:40,967.7104852199554,16.1m,0.00017407542327418923
69,69,0.5540421560287475,0.801,1.0292121461391448,0.6832,1745387574.1863873,2025/04/23 14:52:54,981.8167622089386,16.4m,0.00017434483743272722
70,70,0.5472956930160523,0.7984,1.0296704635620118,0.6844,1745387588.5568745,2025/04/23 14:53:08,996.1872494220734,16.6m,0.00007198047387646511
71,71,0.5378107191085816,0.8088,1.0907964458465575,0.675,1745387603.6325667,2025/04/23 14:53:23,1011.2629415988922,16.9m,0.000057166391343344
72,72,0.49770377197265625,0.8234,1.0601862761497498,0.6874,1745387618.1257913,2025/04/23 14:53:38,1025.7561662197113,17.1m,0.00012009927013423294
73,73,0.48738170337677,0.8274,1.028159548473358,0.6836,1745387632.0459304,2025/04/23 14:53:52,1039.6763052940369,17.3m,0.000025998748242272995
74,74,0.46377640018463134,0.8374,1.0591446731567382,0.6892,1745387646.3249648,2025/04/23 14:54:06,1053.9553396701813,17.6m,0.0001787641813280061
75,75,0.5041771567344665,0.8166,1.049897540140152,0.692,1745387661.3717568,2025/04/23 14:54:21,1069.0021317005157,17.8m,0.00004915178215014748
76,76,0.4944257535934448,0.8216,1.062073840713501,0.6862,1745387675.73106,2025/04/23 14:54:35,1083.3614349365234,18.1m,0.00014278067101258785
77,77,0.48572864360809326,0.8296,1.0606449882507325,0.6914,1745387690.8833737,2025/04/23 14:54:50,1098.5137486457825,18.3m,0.00028343519079498947
78,78,0.5072351458072663,0.8172,1.0860398113250733,0.6834,1745387705.142023,2025/04/23 14:55:05,1112.7723979949951,18.5m,0.000027327121642883867
79,79,0.4640010503768921,0.8344,1.0556953449249267,0.691,1745387719.2255993,2025/04/23 14:55:19,1126.8559741973877,18.8m,0.00015848982729949057
80,80,0.4524674575805664,0.8408,1.1106625173568725,0.6766,1745387733.9773664,2025/04/23 14:55:33,1141.607741355896,19.0m,0.0001483534142607823
