step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,1,2.2997269302368166,0.1042,2.2969466300964356,0.11,1745675463.553785,2025/04/26 22:51:03,5.8686158657073975,5.9s,0.00012519059237092733
2,2,2.295233039855957,0.1116,2.2969466300964356,0.11,1745675466.226822,2025/04/26 22:51:06,8.54165267944336,8.5s,0.00012717604113277048
3,3,2.2907136405944826,0.1108,2.2969466300964356,0.11,1745675468.8262777,2025/04/26 22:51:08,11.141108512878418,11.1s,0.00013085042883176357
4,4,2.2863598621368406,0.1324,2.2969466300964356,0.11,1745675471.5389402,2025/04/26 22:51:11,13.853770971298218,13.9s,0.00012712605530396104
5,5,2.2818333797454833,0.1442,2.2969466300964356,0.11,1745675474.2473328,2025/04/26 22:51:14,16.562163591384888,16.6s,0.00012917786079924554
6,6,2.2774457290649415,0.1728,2.2969466300964356,0.11,1745675476.8737335,2025/04/26 22:51:16,19.18856430053711,19.2s,0.0001270999782718718
7,7,2.272435437774658,0.187,2.2969466300964356,0.11,1745675479.4754245,2025/04/26 22:51:19,21.790255308151245,21.8s,0.00012608252291101962
8,8,2.266772686004639,0.1986,2.2969466300964356,0.11,1745675482.070727,2025/04/26 22:51:22,24.385557889938354,24.4s,0.00012691137089859694
9,9,2.260704979324341,0.2108,2.2969466300964356,0.11,1745675484.6585681,2025/04/26 22:51:24,26.9733989238739,27.0s,0.00012869603233411908
10,10,2.2549258922576905,0.2086,2.2969466300964356,0.11,1745675487.3091023,2025/04/26 22:51:27,29.62393307685852,29.6s,0.0001245037274202332
11,11,2.2495808895111082,0.2118,2.244205513381958,0.2181,1745675491.3029215,2025/04/26 22:51:31,33.61775231361389,33.6s,0.00012558150046970695
12,12,2.2434075645446776,0.2196,2.244205513381958,0.2181,1745675493.924284,2025/04/26 22:51:33,36.23911476135254,36.2s,0.00012636171595659107
13,13,2.235416035079956,0.2226,2.244205513381958,0.2181,1745675496.5367053,2025/04/26 22:51:36,38.85153603553772,38.9s,0.00012603268260136247
14,14,2.2292691696166993,0.2242,2.244205513381958,0.2181,1745675499.1409771,2025/04/26 22:51:39,41.45580792427063,41.5s,0.000126308950711973
15,15,2.2218675323486328,0.2332,2.244205513381958,0.2181,1745675501.7829785,2025/04/26 22:51:41,44.09780931472778,44.1s,0.00012325539137236774
16,16,2.215111061859131,0.2336,2.244205513381958,0.2181,1745675504.4358943,2025/04/26 22:51:44,46.75072503089905,46.8s,0.00011853755859192461
17,17,2.208483519363403,0.2322,2.244205513381958,0.2181,1745675507.1373813,2025/04/26 22:51:47,49.45221209526062,49.5s,0.00012900713772978634
18,18,2.2011609062194823,0.238,2.244205513381958,0.2181,1745675509.7819536,2025/04/26 22:51:49,52.096784353256226,52.1s,0.00012806062295567244
19,19,2.193589950942993,0.2412,2.244205513381958,0.2181,1745675512.42469,2025/04/26 22:51:52,54.73952078819275,54.7s,0.00012263086682651192
20,20,2.186187935638428,0.2428,2.244205513381958,0.2181,1745675515.040039,2025/04/26 22:51:55,57.3548698425293,57.4s,0.00012260528455954045
21,21,2.178582755279541,0.245,2.1656260608673095,0.236,1745675519.0253758,2025/04/26 22:51:59,61.34020662307739,1.0m,0.00012743253319058567
22,22,2.171448516845703,0.2474,2.1656260608673095,0.236,1745675521.6789033,2025/04/26 22:52:01,63.99373412132263,1.1m,0.00012348295422270894
23,23,2.1651397930145264,0.2472,2.1656260608673095,0.236,1745675524.3033772,2025/04/26 22:52:04,66.61820793151855,1.1m,0.00012560110189951956
24,24,2.1573943267822266,0.2452,2.1656260608673095,0.236,1745675526.935574,2025/04/26 22:52:06,69.25040483474731,1.2m,0.00012790052278432995
25,25,2.150019439315796,0.2488,2.1656260608673095,0.236,1745675529.6039343,2025/04/26 22:52:09,71.9187650680542,1.2m,0.0001265715400222689
26,26,2.1429720264434815,0.2512,2.1656260608673095,0.236,1745675532.2488935,2025/04/26 22:52:12,74.56372427940369,1.2m,0.0001269800413865596
27,27,2.1365984497070314,0.258,2.1656260608673095,0.236,1745675534.9322538,2025/04/26 22:52:14,77.24708461761475,1.3m,0.0001238362747244537
28,28,2.1288960792541505,0.2496,2.1656260608673095,0.236,1745675537.5994475,2025/04/26 22:52:17,79.91427826881409,1.3m,0.0001264129241462797
29,29,2.1214766704559325,0.264,2.1656260608673095,0.236,1745675540.2457676,2025/04/26 22:52:20,82.56059837341309,1.4m,0.00012789574975613505
30,30,2.116280522155762,0.258,2.1656260608673095,0.236,1745675542.870747,2025/04/26 22:52:22,85.18557786941528,1.4m,0.00013010222755838186
31,31,2.107097920227051,0.2616,2.094366648101807,0.2514,1745675546.9079525,2025/04/26 22:52:26,89.22278332710266,1.5m,0.00011947032908210531
32,32,2.1017491989135744,0.2598,2.094366648101807,0.2514,1745675549.5557256,2025/04/26 22:52:29,91.8705563545227,1.5m,0.0001219445766764693
33,33,2.096213384246826,0.2716,2.094366648101807,0.2514,1745675552.2480414,2025/04/26 22:52:32,94.56287217140198,1.6m,0.00012833044456783682
34,34,2.0904228843688966,0.2674,2.094366648101807,0.2514,1745675554.964609,2025/04/26 22:52:34,97.27943968772888,1.6m,0.00011440310481702909
35,35,2.0815206188201905,0.2746,2.094366648101807,0.2514,1745675557.6668935,2025/04/26 22:52:37,99.98172426223755,1.7m,0.00013772561214864254
36,36,2.0768115791320803,0.271,2.094366648101807,0.2514,1745675560.3468766,2025/04/26 22:52:40,102.66170740127563,1.7m,0.00012516946299001575
37,37,2.073128790664673,0.268,2.094366648101807,0.2514,1745675562.9956822,2025/04/26 22:52:42,105.31051301956177,1.8m,0.00012876885011792183
38,38,2.0667678276062014,0.2786,2.094366648101807,0.2514,1745675565.6393445,2025/04/26 22:52:45,107.95417523384094,1.8m,0.00013205598224885762
39,39,2.0599427062988283,0.2748,2.094366648101807,0.2514,1745675568.290521,2025/04/26 22:52:48,110.60535168647766,1.8m,0.00013605538697447628
40,40,2.055716555786133,0.2718,2.094366648101807,0.2514,1745675570.9432096,2025/04/26 22:52:50,113.25804042816162,1.9m,0.00013304852473083884
41,41,2.0492695869445803,0.2752,2.034208137893677,0.2665,1745675574.976632,2025/04/26 22:52:54,117.2914628982544,2.0m,0.000137128314236179
42,42,2.0455424531936646,0.2754,2.034208137893677,0.2665,1745675577.6489534,2025/04/26 22:52:57,119.96378421783447,2.0m,0.00013092008884996176
43,43,2.041596335220337,0.2808,2.034208137893677,0.2665,1745675580.3117967,2025/04/26 22:53:00,122.62662744522095,2.0m,0.00012730575690511614
44,44,2.0365439529418947,0.2756,2.034208137893677,0.2665,1745675583.0302444,2025/04/26 22:53:03,125.34507513046265,2.1m,0.000139247888000682
45,45,2.03089538230896,0.2806,2.034208137893677,0.2665,1745675585.7663426,2025/04/26 22:53:05,128.0811734199524,2.1m,0.00011633704707492143
46,46,2.027368743133545,0.278,2.034208137893677,0.2665,1745675588.4084125,2025/04/26 22:53:08,130.72324323654175,2.2m,0.000137611452373676
47,47,2.0233005802154542,0.2848,2.034208137893677,0.2665,1745675591.021576,2025/04/26 22:53:11,133.33640670776367,2.2m,0.00013461237540468574
48,48,2.0180287658691407,0.287,2.034208137893677,0.2665,1745675593.6724062,2025/04/26 22:53:13,135.98723697662354,2.3m,0.00011725457443390042
49,49,2.0151338130950927,0.2874,2.034208137893677,0.2665,1745675596.3373024,2025/04/26 22:53:16,138.65213322639465,2.3m,0.0001401175686623901
50,50,2.0092691535949707,0.2844,2.034208137893677,0.2665,1745675599.0108962,2025/04/26 22:53:19,141.3257269859314,2.4m,0.00013909590779803693
51,51,2.0065946239471435,0.289,1.9858017116546631,0.2799,1745675603.020113,2025/04/26 22:53:23,145.3349437713623,2.4m,0.00013723001757171005
52,52,2.0021054836273193,0.2918,1.9858017116546631,0.2799,1745675605.6825957,2025/04/26 22:53:25,147.99742650985718,2.5m,0.00011978343536611646
53,53,1.9990425735473634,0.2954,1.9858017116546631,0.2799,1745675608.3013923,2025/04/26 22:53:28,150.61622309684753,2.5m,0.00012814931687898934
54,54,1.9949101337432862,0.2876,1.9858017116546631,0.2799,1745675610.9228854,2025/04/26 22:53:30,153.23771619796753,2.6m,0.00013081030920147896
55,55,1.9907335012435914,0.2916,1.9858017116546631,0.2799,1745675613.5685263,2025/04/26 22:53:33,155.88335704803467,2.6m,0.00013648398453369737
56,56,1.990694384765625,0.2912,1.9858017116546631,0.2799,1745675616.2043166,2025/04/26 22:53:36,158.51914739608765,2.6m,0.0001346329227089882
57,57,1.9864165534973144,0.2948,1.9858017116546631,0.2799,1745675618.8242161,2025/04/26 22:53:38,161.13904690742493,2.7m,0.00014871018356643617
58,58,1.9835422966003418,0.2984,1.9858017116546631,0.2799,1745675621.451025,2025/04/26 22:53:41,163.76585578918457,2.7m,0.00014019105583429337
59,59,1.98068799533844,0.2996,1.9858017116546631,0.2799,1745675624.0604293,2025/04/26 22:53:44,166.3752601146698,2.8m,0.0001306708436459303
60,60,1.977645760536194,0.2958,1.9858017116546631,0.2799,1745675626.6759195,2025/04/26 22:53:46,168.99075031280518,2.8m,0.00012999316095374525
61,61,1.9785227607727052,0.2994,1.9732174587249756,0.2747,1745675630.7161572,2025/04/26 22:53:50,173.03098797798157,2.9m,0.0001376353029627353
62,62,1.97484295463562,0.306,1.9732174587249756,0.2747,1745675633.339659,2025/04/26 22:53:53,175.6544897556305,2.9m,0.00014374453166965395
