step,lr,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,0.1,1,2.2995967079162596,0.1136,2.2984166107177733,0.1156,1745749295.1705341,2025/04/27 19:21:35,6.499384641647339,6.5s,0.00012736819917336106
2,0.09755282581475769,2,2.2957311267852782,0.122,2.2941451210021975,0.1271,1745749299.338825,2025/04/27 19:21:39,10.667675495147705,10.7s,0.00012946769129484892
3,0.09045084971874738,3,2.2918859195709227,0.1364,2.290743041610718,0.143,1745749303.4769669,2025/04/27 19:21:43,14.805817365646362,14.8s,0.0001281190343433991
4,0.07938926261462367,4,2.287860471725464,0.1476,2.287740601348877,0.1486,1745749307.6534355,2025/04/27 19:21:47,18.982285976409912,19.0s,0.00012635336315725
5,0.06545084971874739,5,2.284899058151245,0.1588,2.284813062286377,0.1556,1745749311.8107529,2025/04/27 19:21:51,23.13960337638855,23.1s,0.00012719481310341507
6,0.05000000000000001,6,2.282990903091431,0.1558,2.282845044708252,0.1613,1745749315.8568943,2025/04/27 19:21:55,27.185744762420654,27.2s,0.0001299941068282351
7,0.03454915028125264,7,2.2804221614837648,0.1712,2.280996478271484,0.1646,1745749319.9419403,2025/04/27 19:21:59,31.270790815353394,31.3s,0.00012417693505994976
8,0.020610737385376353,8,2.279349155807495,0.1796,2.2801248310089113,0.1676,1745749324.0528934,2025/04/27 19:22:04,35.38174390792847,35.4s,0.00012846768368035555
9,0.009549150281252635,9,2.279059344482422,0.1766,2.2798681045532225,0.1677,1745749328.2095082,2025/04/27 19:22:08,39.53835868835449,39.5s,0.00012925243936479092
10,0.002447174185242324,10,2.2785440784454347,0.1822,2.2802317237854,0.1698,1745749332.3464773,2025/04/27 19:22:12,43.67532777786255,43.7s,0.00012675703328568488
