step,lr,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
1,0.1,1,2.301847172546387,0.0912,2.299336758041382,0.0928,1745754715.591742,2025/04/27 20:51:55,4.090018272399902,4.1s,0.0001226161402883008
2,0.09972609476841367,2,2.297231767654419,0.1202,2.295199867630005,0.131,1745754719.0701072,2025/04/27 20:51:59,7.568383455276489,7.6s,0.0001254925155080855
3,0.09890738003669028,3,2.2930075233459473,0.144,2.2915272178649904,0.158,1745754722.4700692,2025/04/27 20:52:02,10.968345403671265,11.0s,0.0001246643951162696
4,0.09755282581475767,4,2.2884003337860106,0.1596,2.288104071807861,0.1688,1745754725.9272244,2025/04/27 20:52:05,14.425500631332397,14.4s,0.00012675582547672093
5,0.09567727288213003,5,2.284595336532593,0.1672,2.2835252143859863,0.183,1745754729.3291652,2025/04/27 20:52:09,17.827441453933716,17.8s,0.00012598466128110886
6,0.09330127018922194,6,2.2800081855773926,0.1752,2.278753617477417,0.1984,1745754732.7176852,2025/04/27 20:52:12,21.215961456298828,21.2s,0.00012523146870080382
7,0.09045084971874737,7,2.275613076019287,0.2,2.2736903591156006,0.2028,1745754736.121284,2025/04/27 20:52:16,24.61956024169922,24.6s,0.0001267823827220127
8,0.0871572412738697,8,2.2711556789398193,0.2092,2.271424404525757,0.2132,1745754739.4878607,2025/04/27 20:52:19,27.98613691329956,28.0s,0.0001252517249668017
9,0.0834565303179429,9,2.2671099239349366,0.2034,2.266906541442871,0.2178,1745754742.902914,2025/04/27 20:52:22,31.401190280914307,31.4s,0.00011911426554434001
10,0.07938926261462365,10,2.2631795654296876,0.2118,2.2610504329681396,0.2208,1745754746.2849097,2025/04/27 20:52:26,34.783185958862305,34.8s,0.00012505834456533194
11,0.07499999999999998,11,2.2587230400085447,0.2222,2.256418614578247,0.2214,1745754749.6322134,2025/04/27 20:52:29,38.13048958778381,38.1s,0.00012294425687287003
12,0.07033683215379001,12,2.255182350921631,0.22,2.255185982131958,0.2272,1745754753.0061293,2025/04/27 20:52:33,41.50440549850464,41.5s,0.00012699569924734533
13,0.06545084971874737,13,2.2510018699645995,0.2292,2.251097159576416,0.2264,1745754756.4533937,2025/04/27 20:52:36,44.95166993141174,45.0s,0.00012314943887759
14,0.06039558454088796,14,2.2468921516418456,0.2332,2.248842325592041,0.2246,1745754759.8122282,2025/04/27 20:52:39,48.31050443649292,48.3s,0.00012647945550270379
15,0.05522642316338268,15,2.2428639598846436,0.2328,2.2440253314971925,0.2258,1745754763.2212324,2025/04/27 20:52:43,51.7195086479187,51.7s,0.00012580612383317202
16,0.05000000000000001,16,2.240790774154663,0.2296,2.2410487426757815,0.226,1745754766.6246605,2025/04/27 20:52:46,55.122936725616455,55.1s,0.00012281273666303605
17,0.04477357683661733,17,2.237465450668335,0.2384,2.237852434158325,0.2228,1745754770.0476756,2025/04/27 20:52:50,58.54595184326172,58.5s,0.00012852520740125328
18,0.03960441545911203,18,2.2360762733459474,0.2306,2.235255839538574,0.223,1745754773.4276829,2025/04/27 20:52:53,61.92595911026001,1.0m,0.0001256651885341853
19,0.03454915028125263,19,2.232417878341675,0.2348,2.232158631134033,0.2208,1745754776.8180373,2025/04/27 20:52:56,65.31631350517273,1.1m,0.00012434192467480898
20,0.02966316784621,20,2.230402893447876,0.2412,2.231777027130127,0.2276,1745754780.184167,2025/04/27 20:53:00,68.68244314193726,1.1m,0.0001270897191716358
21,0.025000000000000012,21,2.227454055786133,0.2394,2.230601228713989,0.2274,1745754783.5656295,2025/04/27 20:53:03,72.06390571594238,1.2m,0.0001279275311389938
22,0.02061073738537635,22,2.2262067123413085,0.2406,2.2258878253936767,0.224,1745754786.9636736,2025/04/27 20:53:06,75.46194982528687,1.3m,0.0001252028887392953
23,0.016543469682057107,23,2.225539602279663,0.2364,2.224468569946289,0.2218,1745754790.398422,2025/04/27 20:53:10,78.89669823646545,1.3m,0.0001237239921465516
24,0.012842758726130301,24,2.2243667667388918,0.2378,2.2237036804199217,0.2248,1745754793.8082497,2025/04/27 20:53:13,82.30652594566345,1.4m,0.00012320558016654104
25,0.009549150281252635,25,2.2245709941864016,0.2402,2.221906400680542,0.2214,1745754797.1723304,2025/04/27 20:53:17,85.67060661315918,1.4m,0.00012257260095793754
26,0.006698729810778067,26,2.2231543582916258,0.2448,2.2226137321472166,0.2226,1745754800.5300047,2025/04/27 20:53:20,89.02828097343445,1.5m,0.00012486161722335964
27,0.004322727117869953,27,2.222833251571655,0.245,2.222167105102539,0.2244,1745754803.9563687,2025/04/27 20:53:23,92.45464491844177,1.5m,0.0001264392485609278
28,0.002447174185242324,28,2.2224779094696046,0.231,2.22660367603302,0.2268,1745754807.3426883,2025/04/27 20:53:27,95.84096455574036,1.6m,0.00012253325257916003
29,0.0010926199633097158,29,2.2232125381469725,0.2402,2.220451362609863,0.2242,1745754810.7151077,2025/04/27 20:53:30,99.21338391304016,1.7m,0.0001258064148714766
30,0.00027390523158633,30,2.223267445755005,0.2438,2.224608845901489,0.2258,1745754814.1063645,2025/04/27 20:53:34,102.60464072227478,1.7m,0.00012619778863154352
