step,lr,epoch,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean,val_loss,val_acc
1,0.005,1,1.8739663536071778,0.309,1745785863.3861525,2025/04/28 05:31:03,10.39635157585144,10.4s,0.00013587004332293873,,
2,0.0049987664009143295,2,1.5514143463134766,0.43,1745785873.9232154,2025/04/28 05:31:13,20.933414459228516,20.9s,0.00015083358937317826,,
3,0.00499506682107068,3,1.431191470527649,0.4754,1745785884.4265013,2025/04/28 05:31:24,31.436700344085693,31.4s,0.00019129782248228366,,
4,0.004988904911507701,4,1.3657089778900147,0.5044,1745785894.9343555,2025/04/28 05:31:34,41.944554567337036,41.9s,0.00014968574180329597,,
5,0.004980286753286196,5,1.3046113506317139,0.527,1745785905.3563027,2025/04/28 05:31:45,52.366501808166504,52.4s,0.00017966541872738162,,
6,0.004969220851487845,6,1.275513606452942,0.5348,1745785915.7907276,2025/04/28 05:31:55,62.80092668533325,1.0m,0.00016139691081207275,,
7,0.004955718126821723,7,1.2316985343933105,0.5558,1745785926.4570649,2025/04/28 05:32:06,73.46726393699646,1.2m,0.00018653564234227815,,
8,0.004939791904846869,8,1.1937715408325196,0.5734,1745785936.8595912,2025/04/28 05:32:16,83.86979031562805,1.4m,0.00017883067224033766,,
9,0.004921457902821578,9,1.161016588973999,0.5802,1745785947.5699828,2025/04/28 05:32:27,94.58018183708191,1.6m,0.00019361513233207006,,
10,0.004900734214192358,10,1.1457234172821045,0.594,1745785965.0057747,2025/04/28 05:32:45,112.01597380638123,1.9m,0.00016769351958600964,1.197225383758545,0.5719
11,0.004877641290737884,11,1.1034364151000977,0.601,1745785975.5596812,2025/04/28 05:32:55,122.56988024711609,2.0m,0.00018208300781452635,,
12,0.004852201922385563,12,1.0910758472442628,0.617,1745785986.349438,2025/04/28 05:33:06,133.35963702201843,2.2m,0.00018526955955167068,,
13,0.004824441214720628,13,1.0702860256195068,0.6194,1745785996.7614694,2025/04/28 05:33:16,143.77166843414307,2.4m,0.00015321958539971092,,
14,0.004794386564209952,14,1.0413273496627808,0.63,1745786007.2454057,2025/04/28 05:33:27,154.25560474395752,2.6m,0.0001559685693450774,,
15,0.004762067631165048,15,1.0102465209960938,0.6372,1745786017.6514978,2025/04/28 05:33:37,164.66169691085815,2.7m,0.00017433362293672872,,
16,0.004727516310470919,16,0.979997472190857,0.6534,1745786028.473475,2025/04/28 05:33:48,175.48367404937744,2.9m,0.0001790095828368976,,
17,0.0046907667001096585,17,0.9735748861312866,0.6582,1745786038.9151676,2025/04/28 05:33:58,185.92536664009094,3.1m,0.00021696289988426543,,
18,0.004651855067509859,18,0.9659726539611816,0.658,1745786049.4498274,2025/04/28 05:34:09,196.46002650260925,3.3m,0.00015074796476710617,,
19,0.004610819813755038,19,0.9388883567810059,0.6572,1745786059.8264084,2025/04/28 05:34:19,206.83660745620728,3.4m,0.00016514163789338454,,
20,0.004567701435686405,20,0.9100861005783081,0.6768,1745786077.6345057,2025/04/28 05:34:37,224.6447048187256,3.7m,0.00021000445156005298,1.1066317024230956,0.6153
21,0.004522542485937369,21,0.892085417175293,0.6896,1745786088.239237,2025/04/28 05:34:48,235.24943614006042,3.9m,0.00015755679999074346,,
22,0.004475387530939226,22,0.8660028452396393,0.6974,1745786098.6690457,2025/04/28 05:34:58,245.6792447566986,4.1m,0.000055981912758795715,,
23,0.004426283106939473,23,0.810700413608551,0.715,1745786109.245577,2025/04/28 05:35:09,256.2557761669159,4.3m,0.00011061065069384313,,
24,0.004375277674076149,24,0.815283107471466,0.7122,1745786120.0056453,2025/04/28 05:35:20,267.0158443450928,4.5m,0.00018459120985880872,,
25,0.00432242156855353,25,0.8246031081199646,0.7082,1745786130.4607158,2025/04/28 05:35:30,277.47091484069824,4.6m,0.0001932770380435045,,
26,0.004267766952966369,26,0.8049413639068603,0.71,1745786140.8683512,2025/04/28 05:35:40,287.8785502910614,4.8m,0.0002149365980130824,,
27,0.004211367764821722,27,0.8018359413146973,0.7152,1745786151.3421578,2025/04/28 05:35:51,298.35235691070557,5.0m,0.00015109852552086522,,
28,0.00415327966330913,28,0.7701190687179565,0.7276,1745786161.7311847,2025/04/28 05:36:01,308.74138379096985,5.1m,0.00019466183519512015,,
29,0.004093559974371725,29,0.7634068484783173,0.726,1745786172.2821896,2025/04/28 05:36:12,319.29238867759705,5.3m,0.00009039116670805925,,
30,0.004032267634132442,30,0.7456884572029113,0.7394,1745786189.7890465,2025/04/28 05:36:29,336.799245595932,5.6m,0.00010483701525743072,1.015951641178131,0.6651
31,0.003969463130731184,31,0.708106662940979,0.749,1745786200.3662148,2025/04/28 05:36:40,347.3764138221741,5.8m,0.00023456935389276623,,
32,0.0039052084446303276,32,0.7377939926624298,0.7406,1745786210.7537668,2025/04/28 05:36:50,357.76396584510803,6.0m,0.00011211642014075096,,
33,0.0038395669874474922,33,0.685838157081604,0.7532,1745786221.2548535,2025/04/28 05:37:01,368.2650525569916,6.1m,0.0002093000992999805,,
34,0.003772603539375929,34,0.6825099501609803,0.763,1745786231.7956803,2025/04/28 05:37:11,378.80587935447693,6.3m,0.00024200348497060986,,
35,0.003704384185254289,35,0.7034421449661254,0.7514,1745786242.2125733,2025/04/28 05:37:22,389.222772359848,6.5m,0.00024585892262507514,,
36,0.0036349762493488678,36,0.6955020854949951,0.7512,1745786252.7651446,2025/04/28 05:37:32,399.7753436565399,6.7m,0.00029394053436249123,,
37,0.0035644482289126827,37,0.6943015958786011,0.753,1745786263.3777845,2025/04/28 05:37:43,410.38798356056213,6.8m,0.00029525604577429476,,
38,0.0034928697265869525,38,0.6837206063270569,0.7504,1745786273.8219364,2025/04/28 05:37:53,420.83213543891907,7.0m,0.00019671675227073138,,
39,0.0034203113817116966,39,0.6402070184707641,0.7692,1745786284.4007258,2025/04/28 05:38:04,431.410924911499,7.2m,0.0002582242532298551,,
40,0.00334684480061323,40,0.6428099588394165,0.765,1745786301.8615198,2025/04/28 05:38:21,448.8717188835144,7.5m,0.0002839607141993383,1.0038544761657715,0.6742
41,0.00327254248593737,41,0.6528743940353393,0.7772,1745786312.3764546,2025/04/28 05:38:32,459.3866536617279,7.7m,0.0002008858920419243,,
42,0.003197477765098075,42,0.5994311605453492,0.786,1745786322.8525064,2025/04/28 05:38:42,469.86270546913147,7.8m,0.0003120703921126733,,
43,0.003121724717912138,43,0.6237091499328613,0.782,1745786333.2342012,2025/04/28 05:38:53,480.24440026283264,8.0m,0.00019619358795353037,,
44,0.003045358103491358,44,0.5944089385986329,0.7906,1745786343.694669,2025/04/28 05:39:03,490.7048680782318,8.2m,0.0002955779515900758,,
45,0.0029684532864643134,45,0.6005266090393067,0.7856,1745786354.146455,2025/04/28 05:39:14,501.1566541194916,8.4m,0.0002998088365586682,,
46,0.002891086162600579,46,0.5989213302612305,0.789,1745786364.750255,2025/04/28 05:39:24,511.76045417785645,8.5m,0.00028371332217602685,,
47,0.0028133330839107628,47,0.5661888193130493,0.8058,1745786375.439654,2025/04/28 05:39:35,522.449853181839,8.7m,0.00016683594249400358,,
48,0.0027352707832962874,48,0.5268000401496887,0.818,1745786385.9064403,2025/04/28 05:39:45,532.9166393280029,8.9m,0.00020587808631944426,,
49,0.0026569762988232853,49,0.5263014805316925,0.8182,1745786396.386692,2025/04/28 05:39:56,543.396891117096,9.1m,0.0001699487951398737,,
50,0.0025785268976953224,50,0.49514396915435793,0.8288,1745786414.7157934,2025/04/28 05:40:14,561.7259924411774,9.4m,0.00033282824057323523,0.9980067862510681,0.686
51,0.002500000000000002,51,0.5219099521636963,0.8174,1745786426.1277428,2025/04/28 05:40:26,573.1379418373108,9.6m,0.0002589822228742378,,
52,0.002421473102304681,52,0.5057173963546753,0.8244,1745786436.638526,2025/04/28 05:40:36,583.6487250328064,9.7m,0.00017209127165074278,,
53,0.0023430237011767183,53,0.4699969373226166,0.8332,1745786447.240561,2025/04/28 05:40:47,594.2507600784302,9.9m,0.00018774231043039435,,
54,0.002264729216703716,54,0.4452837203979492,0.8422,1745786457.645292,2025/04/28 05:40:57,604.6554911136627,10.1m,0.000319603196544449,,
55,0.0021866669160892412,55,0.47443318185806277,0.8338,1745786468.2071254,2025/04/28 05:41:08,615.2173244953156,10.3m,0.00017862732795492775,,
56,0.0021089138373994246,56,0.44166647248268126,0.8426,1745786478.595702,2025/04/28 05:41:18,625.6059010028839,10.4m,0.00010893817685087015,,
57,0.00203154671353569,57,0.42765658378601074,0.852,1745786489.2729113,2025/04/28 05:41:29,636.2831103801727,10.6m,0.00019972806143186972,,
58,0.001954641896508646,58,0.4138677730560303,0.857,1745786499.940334,2025/04/28 05:41:39,646.9505331516266,10.8m,0.0003575700765736656,,
59,0.0018782752820878643,59,0.45201970987319945,0.8386,1745786510.541866,2025/04/28 05:41:50,657.5520651340485,11.0m,0.00023902749315141136,,
60,0.0018025222349019286,60,0.42079935674667357,0.8548,1745786527.9956987,2025/04/28 05:42:07,675.0058977603912,11.3m,0.000270762022580584,0.9945002853393554,0.6969
61,0.0017274575140626336,61,0.4099476979255676,0.8576,1745786538.475301,2025/04/28 05:42:18,685.4855000972748,11.4m,0.00019788553244382,,
62,0.001653155199386773,62,0.39344170541763307,0.8638,1745786549.06708,2025/04/28 05:42:29,696.0772790908813,11.6m,0.00026049962093566137,,
