step,trainable,epoch,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc
1,2052,1,0.9739620367685954,0.61875,1749470637.7935483,2025/06/09 21:03:57,0.7212390899658203,721.2ms,0.10143446922302246,0.10145044326782227,0.09689950942993164,,
2,2052,2,0.5701903343200684,0.821875,1749470638.1453698,2025/06/09 21:03:58,1.0730605125427246,1.1s,0.13024115562438965,0.13027119636535645,0.2652907371520996,,
3,2052,3,0.4922739366690318,0.84375,1749470638.5001917,2025/06/09 21:03:58,1.427882432937622,1.4s,0.15990352630615234,0.15994906425476074,0.43343615531921387,,
4,2052,4,0.4852050224939982,0.8552083333333333,1749470638.8509953,2025/06/09 21:03:58,1.7786860466003418,1.8s,0.1884760856628418,0.18853354454040527,0.6027183532714844,,
5,2052,5,0.41302771170934044,0.8677083333333333,1749470639.3299203,2025/06/09 21:03:59,2.257611036300659,2.3s,0.2302842140197754,0.2180325984954834,0.7702548503875732,0.5371496558189393,0.8208333333333333
6,2052,6,0.40446121295293175,0.859375,1749470640.8769202,2025/06/09 21:04:00,3.8046109676361084,3.8s,0.2602851390838623,0.2480475902557373,0.9361646175384521,,
7,2052,7,0.4141070644060771,0.85625,1749470641.2423887,2025/06/09 21:04:01,4.170079469680786,4.2s,0.28984498977661133,0.2776210308074951,1.1036510467529297,,
8,2052,8,0.3782927473386129,0.8739583333333333,1749470641.6003444,2025/06/09 21:04:01,4.5280351638793945,4.5s,0.3194282054901123,0.3072168827056885,1.2695667743682861,,
9,2052,9,0.3466434319814046,0.88125,1749470641.9619675,2025/06/09 21:04:01,4.889658212661743,4.9s,0.34897756576538086,0.33678150177001953,1.442094087600708,,
10,2052,10,0.3718897561232249,0.871875,1749470642.4583502,2025/06/09 21:04:02,5.386040925979614,5.4s,0.38419413566589355,0.36563706398010254,1.6225347518920898,0.384871910015742,0.8583333333333333
11,2052,11,0.39624889294306437,0.8583333333333333,1749470644.032665,2025/06/09 21:04:04,6.960355758666992,7.0s,0.4338691234588623,0.4153258800506592,1.7177050113677979,,
12,2052,12,0.40515928268432616,0.8520833333333333,1749470644.39701,2025/06/09 21:04:04,7.324700832366943,7.3s,0.46441173553466797,0.44588398933410645,1.883040428161621,,
13,2052,13,0.35572485327720643,0.86875,1749470644.7548788,2025/06/09 21:04:04,7.68256950378418,7.7s,0.49413585662841797,0.47562193870544434,2.050196409225464,,
14,2052,14,0.3801342984040578,0.8739583333333333,1749470645.113316,2025/06/09 21:04:05,8.041006803512573,8.0s,0.5234932899475098,0.5049924850463867,2.216702699661255,,
15,2052,15,0.371536123752594,0.8625,1749470645.5990875,2025/06/09 21:04:05,8.526778221130371,8.5s,0.559941291809082,0.5349507331848145,2.378305435180664,0.5947822074095408,0.8
16,2052,16,0.4177497724692027,0.853125,1749470647.168335,2025/06/09 21:04:07,10.096025705337524,10.1s,0.6056687831878662,0.580690860748291,2.4740569591522217,,
17,2052,17,0.3592090129852295,0.8677083333333333,1749470647.5350857,2025/06/09 21:04:07,10.46277642250061,10.5s,0.6381442546844482,0.6131830215454102,2.630523204803467,,
18,2052,18,0.3507281422615051,0.8697916666666666,1749470647.9002724,2025/06/09 21:04:07,10.82796311378479,10.8s,0.6702466011047363,0.6452984809875488,2.785694122314453,,
19,2052,19,0.3806489586830139,0.8708333333333333,1749470648.2613754,2025/06/09 21:04:08,11.189066171646118,11.2s,0.7022969722747803,0.6773619651794434,2.939401388168335,,
20,2052,20,0.3647337555885315,0.8666666666666667,1749470648.7467387,2025/06/09 21:04:08,11.674429416656494,11.7s,0.7391347885131836,0.7076082229614258,3.1009745597839355,0.49544777075449625,0.85
21,11178564,21,0.5113872547944387,0.8322916666666667,1749470650.5719993,2025/06/09 21:04:10,13.499690055847168,13.5s,0.8807141780853271,0.8492016792297363,3.193100929260254,,
22,11178564,22,0.4560738523801168,0.84375,1749470651.1518326,2025/06/09 21:04:11,14.07952332496643,14.1s,0.9681634902954102,0.9366679191589355,3.286259412765503,,
23,11178564,23,0.47346187035242715,0.85,1749470651.7296972,2025/06/09 21:04:11,14.657387971878052,14.7s,1.0551972389221191,1.0237157344818115,3.3784382343292236,,
