step,epoch,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc
1,1,0.7945211478642055,0.6976190476190476,1749097138.911672,2025/06/05 13:18:58,0.6318831443786621,631.9ms,0.10601115226745605,0.10604071617126465,0.056481361389160156,,
2,2,0.5048237346467518,0.8416666666666667,1749097139.401628,2025/06/05 13:18:59,1.1218390464782715,1.1s,0.16663527488708496,0.14728808403015137,0.16833996772766113,0.6138620575269064,0.8305555555555556
3,3,0.442129297483535,0.8464285714285714,1749097140.1240914,2025/06/05 13:19:00,1.8443024158477783,1.8s,0.24753594398498535,0.22821807861328125,0.2695789337158203,,
4,4,0.461568135874612,0.8535714285714285,1749097140.695751,2025/06/05 13:19:00,2.415961980819702,2.4s,0.3278772830963135,0.29563069343566895,0.3194761276245117,0.5759547763400608,0.8222222222222222
5,5,0.36911401805423555,0.8702380952380953,1749097141.2142487,2025/06/05 13:19:01,2.934459686279297,2.9s,0.37197065353393555,0.3397557735443115,0.41100430488586426,,
6,6,0.43840344466623804,0.8678571428571429,1749097141.8135295,2025/06/05 13:19:01,3.533740520477295,3.5s,0.4489586353302002,0.3834364414215088,0.5447132587432861,0.6329605261484782,0.8333333333333334
7,7,0.3262952906744821,0.8821428571428571,1749097142.5055056,2025/06/05 13:19:02,4.225716590881348,4.2s,0.5211851596832275,0.4556910991668701,0.6298270225524902,,
8,8,0.3400923354285104,0.8845238095238095,1749097142.9854379,2025/06/05 13:19:02,4.705648899078369,4.7s,0.5740246772766113,0.4957423210144043,0.733896017074585,0.6290540840890673,0.8055555555555556
9,9,0.31735142526172455,0.8904761904761904,1749097143.4812455,2025/06/05 13:19:03,5.201456546783447,5.2s,0.6202547550201416,0.5420026779174805,0.8104441165924072,,
10,10,0.3541923114231655,0.8726190476190476,1749097144.0703316,2025/06/05 13:19:04,5.7905426025390625,5.8s,0.691361665725708,0.5919969081878662,0.9085357189178467,0.8562867614958022,0.7555555555555555
11,11,0.3962296145302909,0.8630952380952381,1749097144.7477815,2025/06/05 13:19:04,6.467992544174194,6.5s,0.7648959159851074,0.6655561923980713,0.9830780029296875,,
12,12,0.3047663535390581,0.8940476190476191,1749097145.2459762,2025/06/05 13:19:05,6.966187238693237,7.0s,0.8182079792022705,0.7055683135986328,1.0812811851501465,0.45244165592723423,0.85
13,13,0.31928625248727344,0.888095238095238,1749097145.802914,2025/06/05 13:19:05,7.523124933242798,7.5s,0.8666436672210693,0.7540335655212402,1.1921699047088623,,
14,14,0.32012956383682434,0.888095238095238,1749097146.4937053,2025/06/05 13:19:06,8.213916301727295,8.2s,0.9741487503051758,0.8288438320159912,1.2459523677825928,0.44564343955781727,0.8583333333333333
15,15,0.34670528854642596,0.8904761904761904,1749097147.0613616,2025/06/05 13:19:07,8.781572580337524,8.8s,1.015580415725708,0.8703043460845947,1.3620543479919434,,
16,16,0.32485279469262984,0.888095238095238,1749097147.5349278,2025/06/05 13:19:07,9.255138874053955,9.3s,1.066154956817627,0.9077763557434082,1.4628582000732422,0.8825455718570285,0.7361111111111112
17,17,0.3265411030678522,0.8904761904761904,1749097148.1733773,2025/06/05 13:19:08,9.893588304519653,9.9s,1.1308200359344482,0.9724688529968262,1.5636720657348633,,
18,18,0.3541646440823873,0.8821428571428571,1749097148.8456192,2025/06/05 13:19:08,10.56583023071289,10.6s,1.2221992015838623,1.0368430614471436,1.6384100914001465,0.5880747901068794,0.8555555555555555
19,19,0.35480733655747915,0.8833333333333333,1749097149.3632205,2025/06/05 13:19:09,11.083431482315063,11.1s,1.268951654434204,1.0836238861083984,1.6983826160430908,,
20,20,0.3412865359158743,0.8904761904761904,1749097149.8294666,2025/06/05 13:19:09,11.549677610397339,11.5s,1.322882890701294,1.123722791671753,1.7871317863464355,0.6475208858648936,0.8361111111111111
21,21,0.33519154957362585,0.8845238095238095,1749097150.6977274,2025/06/05 13:19:10,12.417938470840454,12.4s,1.3971612453460693,1.198030710220337,1.8521053791046143,,
22,22,0.31481097574744904,0.8988095238095238,1749097151.475762,2025/06/05 13:19:11,13.195972919464111,13.2s,1.486436367034912,1.2735698223114014,1.910735845565796,0.5182670831680298,0.8472222222222222
23,23,0.27567616788049537,0.9047619047619048,1749097152.0497694,2025/06/05 13:19:12,13.769980430603027,13.8s,1.5290570259094238,1.3162188529968262,1.9905641078948975,,
24,24,0.2827710738494283,0.9035714285714286,1749097152.70763,2025/06/05 13:19:12,14.427840948104858,14.4s,1.5999023914337158,1.3584275245666504,2.0739734172821045,0.5712248139911228,0.8388888888888889
25,25,0.25852244326046536,0.9071428571428571,1749097153.4626667,2025/06/05 13:19:13,15.182877779006958,15.2s,1.6650629043579102,1.4236171245574951,2.1251840591430664,,
26,26,0.252753556342352,0.9107142857142857,1749097153.9804528,2025/06/05 13:19:13,15.700663805007935,15.7s,1.7190821170806885,1.4646358489990234,2.1777215003967285,0.5246827469931709,0.8472222222222222
27,27,0.2763300699137506,0.8904761904761904,1749097154.6838381,2025/06/05 13:19:14,16.404049158096313,16.4s,1.7788794040679932,1.5244643688201904,2.2802257537841797,,
28,28,0.3174979453995114,0.888095238095238,1749097155.5560055,2025/06/05 13:19:15,17.276216506958008,17.3s,1.8772809505462646,1.6010558605194092,2.3321444988250732,0.5864984591801962,0.8361111111111111
29,29,0.2777706850142706,0.9083333333333333,1749097156.1266835,2025/06/05 13:19:16,17.84689450263977,17.8s,1.9196796417236328,1.6434826850891113,2.392054796218872,,
30,30,0.2953493744134903,0.9023809523809524,1749097156.661422,2025/06/05 13:19:16,18.381633043289185,18.4s,1.976109504699707,1.6869304180145264,2.4450926780700684,0.6756404028998481,0.8416666666666667
31,31,0.2926648639497303,0.8904761904761904,1749097157.515345,2025/06/05 13:19:17,19.23555612564087,19.2s,2.0539069175720215,1.7647559642791748,2.5006039142608643,,
32,32,0.34804235299428304,0.8869047619047619,1749097158.1860905,2025/06/05 13:19:18,19.906301498413086,19.9s,2.141249418258667,1.8393685817718506,2.5511069297790527,0.7892351667086284,0.8305555555555556
33,33,0.3767981211344401,0.8690476190476191,1749097158.7488928,2025/06/05 13:19:18,20.469103813171387,20.5s,2.1827330589294434,1.880880355834961,2.6196272373199463,,
34,34,0.3358958056994847,0.8904761904761904,1749097159.5749993,2025/06/05 13:19:19,21.295210361480713,21.3s,2.2750043869018555,1.9451467990875244,2.7092480659484863,0.8513608164257473,0.8
35,35,0.36445803457782383,0.8916666666666667,1749097160.2469132,2025/06/05 13:19:20,21.967124223709106,22.0s,2.322070598602295,1.992246150970459,2.8552536964416504,,
36,36,0.2801675313994998,0.9,1749097160.79074,2025/06/05 13:19:20,22.510951042175293,22.5s,2.382282018661499,2.0373408794403076,2.9070334434509277,0.5897725952996148,0.8361111111111111
37,37,0.3245545316310156,0.8845238095238095,1749097161.6070757,2025/06/05 13:19:21,23.32728672027588,23.3s,2.4549741744995117,2.1100597381591797,2.9614195823669434,,
38,38,0.2640447782618659,0.9023809523809524,1749097162.3767562,2025/06/05 13:19:22,24.096967220306396,24.1s,2.5400633811950684,2.1786341667175293,3.012291669845581,0.599994871351454,0.8416666666666667
39,39,0.28308537233443487,0.8988095238095238,1749097162.9253225,2025/06/05 13:19:22,24.645533561706543,24.6s,2.583909273147583,2.2225089073181152,3.0676376819610596,,
40,40,0.31886664082606636,0.8928571428571429,1749097163.510257,2025/06/05 13:19:23,25.230468034744263,25.2s,2.6465892791748047,2.264869213104248,3.1415014266967773,0.6167554934819539,0.85
41,41,0.25768054269609,0.9130952380952381,1749097164.3300414,2025/06/05 13:19:24,26.050252437591553,26.1s,2.7249863147735596,2.343294858932495,3.191492795944214,,
42,42,0.29607790311177573,0.9047619047619048,1749097164.8827243,2025/06/05 13:19:24,26.602935314178467,26.6s,2.783853054046631,2.388364791870117,3.253122329711914,0.6271120892630683,0.8527777777777777
43,43,0.28527472075961885,0.9142857142857143,1749097165.4618847,2025/06/05 13:19:25,27.182095766067505,27.2s,2.8315234184265137,2.4360666275024414,3.306987762451172,,
44,44,0.32369163877197676,0.9095238095238095,1749097166.3633592,2025/06/05 13:19:26,28.0835702419281,28.1s,2.9449989795684814,2.519599199295044,3.3592772483825684,0.6067836152182685,0.8472222222222222
45,45,0.2782544337567829,0.8869047619047619,1749097166.9547398,2025/06/05 13:19:26,28.67495083808899,28.7s,2.9881372451782227,2.5627660751342773,3.41426157951355,,
46,46,0.28735388261931283,0.9,1749097167.5069697,2025/06/05 13:19:27,29.22718071937561,29.2s,3.044956684112549,2.6068365573883057,3.489288091659546,0.5844523946444193,0.8527777777777777
47,47,0.2836489567444438,0.8952380952380953,1749097168.2723231,2025/06/05 13:19:28,29.992534160614014,30.0s,3.1148836612701416,2.6767895221710205,3.5393426418304443,,
48,48,0.27465039640665057,0.9119047619047619,1749097169.0551286,2025/06/05 13:19:29,30.775339603424072,30.8s,3.2034337520599365,2.751279592514038,3.598006248474121,0.5325781729486253,0.85
49,49,0.2110472525869097,0.9285714285714286,1749097169.614205,2025/06/05 13:19:29,31.334415912628174,31.3s,3.2441797256469727,2.792060136795044,3.6649396419525146,,
50,50,0.30124605117099623,0.9035714285714286,1749097170.2233722,2025/06/05 13:19:30,31.943583250045776,31.9s,3.3108584880828857,2.8359177112579346,3.7206382751464844,0.5214279108577304,0.8722222222222222
51,51,0.2494818681762332,0.9119047619047619,1749097171.0531747,2025/06/05 13:19:31,32.773385763168335,32.8s,3.3806278705596924,2.905714750289917,3.7914726734161377,,
52,52,0.39264197321165173,0.8654761904761905,1749097171.589733,2025/06/05 13:19:31,33.30994391441345,33.3s,3.4351773262023926,2.946819543838501,3.8627383708953857,0.6065981348355611,0.8416666666666667
53,53,0.2538146791003999,0.9130952380952381,1749097172.162747,2025/06/05 13:19:32,33.88295793533325,33.9s,3.4795758724212646,2.991248369216919,3.916203498840332,,
54,54,0.33622071317264013,0.8869047619047619,1749097172.9752798,2025/06/05 13:19:32,34.69549083709717,34.7s,3.574275255203247,3.066549301147461,3.971898078918457,0.5806042810281118,0.8611111111111112
55,55,0.269668207849775,0.9095238095238095,1749097173.564904,2025/06/05 13:19:33,35.285115003585815,35.3s,3.616546630859375,3.10884952545166,4.043317556381226,,
56,56,0.2535081080027989,0.9095238095238095,1749097174.0868967,2025/06/05 13:19:34,35.80710768699646,35.8s,3.6698131561279297,3.1482012271881104,4.095936298370361,0.741703388426039,0.8416666666666667
57,57,0.3961059876141094,0.8916666666666667,1749097174.9038825,2025/06/05 13:19:34,36.624093532562256,36.6s,3.7489054203033447,3.227321147918701,4.146209716796875,,
58,58,0.29447363558269685,0.9,1749097175.693523,2025/06/05 13:19:35,37.413733959198,37.4s,3.8422844409942627,3.307121753692627,4.1971166133880615,0.5541075772709316,0.8666666666666667
59,59,0.27041593279157367,0.905952380952381,1749097176.2803433,2025/06/05 13:19:36,38.00055432319641,38.0s,3.887924909591675,3.3527896404266357,4.260186195373535,,
60,60,0.2370432422274635,0.9214285714285714,1749097176.902655,2025/06/05 13:19:36,38.62286591529846,38.6s,3.9596328735351562,3.396643877029419,4.312484979629517,0.5701146735085382,0.8583333333333333
61,61,0.24381764651764007,0.9238095238095239,1749097177.7267234,2025/06/05 13:19:37,39.44693446159363,39.4s,4.023479461669922,3.4605185985565186,4.364863395690918,,
62,62,0.350981295250711,0.8952380952380953,1749097178.2740798,2025/06/05 13:19:38,39.994290828704834,40.0s,4.077134370803833,3.500150203704834,4.449519157409668,0.5651342948277791,0.8611111111111112
63,63,0.27685589960643225,0.905952380952381,1749097178.8890667,2025/06/05 13:19:38,40.60927772521973,40.6s,4.1258955001831055,3.5489439964294434,4.503312110900879,,
64,64,0.2926020749977657,0.8928571428571429,1749097179.7422655,2025/06/05 13:19:39,41.4624764919281,41.5s,4.226294994354248,3.6286323070526123,4.555389404296875,0.5604776057932112,0.85
65,65,0.27492446899414064,0.9107142857142857,1749097180.3143911,2025/06/05 13:19:40,42.03460216522217,42.0s,4.2694690227508545,3.671832799911499,4.608591556549072,,
66,66,0.26844544808069865,0.9154761904761904,1749097180.8571072,2025/06/05 13:19:40,42.57731819152832,42.6s,4.325240135192871,3.713374376296997,4.663205862045288,0.5775617261727651,0.8583333333333333
67,67,0.3066129451706296,0.8964285714285715,1749097181.6957622,2025/06/05 13:19:41,43.41597318649292,43.4s,4.408105373382568,3.7962682247161865,4.716803073883057,,
68,68,0.3900167692275274,0.8761904761904762,1749097182.3862963,2025/06/05 13:19:42,44.106507301330566,44.1s,4.4830482006073,3.8584160804748535,4.772159576416016,0.634255384074317,0.85
69,69,0.3163773030752227,0.8916666666666667,1749097182.9705403,2025/06/05 13:19:42,44.69075131416321,44.7s,4.530619144439697,3.9060168266296387,4.823490858078003,,
70,70,0.2300836158650262,0.9238095238095239,1749097183.6749876,2025/06/05 13:19:43,45.395198583602905,45.4s,4.6122612953186035,3.960624933242798,4.876485586166382,0.5932172815004985,0.8666666666666667
71,71,0.2615126581419082,0.9119047619047619,1749097184.374699,2025/06/05 13:19:44,46.09491014480591,46.1s,4.665783166885376,4.0141801834106445,4.926930665969849,,
72,72,0.4192848500751314,0.8678571428571429,1749097184.90374,2025/06/05 13:19:44,46.62395095825195,46.6s,4.717923879623413,4.053284406661987,4.986349582672119,0.7113664017783271,0.8
73,73,0.2935814045724415,0.8952380952380953,1749097185.6052048,2025/06/05 13:19:45,47.32541584968567,47.3s,4.777059078216553,4.112448692321777,5.047532796859741,,
