step,trainable,epoch,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc
1,5124,1,1.3612597760700045,0.30833333333333335,1749098411.911263,2025/06/05 13:40:11,2.1044209003448486,2.1s,0.32427382469177246,0.3242981433868408,0.05373048782348633,,
2,5124,2,1.2467421736036028,0.5047619047619047,1749098413.4212968,2025/06/05 13:40:13,3.614454746246338,3.6s,0.567298412322998,0.5080392360687256,0.10535240173339844,1.2393022722668119,0.5
3,5124,3,1.1522145180475145,0.5988095238095238,1749098415.2495787,2025/06/05 13:40:15,5.442736625671387,5.4s,0.791287899017334,0.732050895690918,0.16741204261779785,,
4,5124,4,1.0664577370598203,0.6726190476190477,1749098417.2423956,2025/06/05 13:40:17,7.435553550720215,7.4s,1.0987730026245117,0.9667539596557617,0.2372148036956787,1.011038637161255,0.7027777777777777
5,5124,5,1.0136250359671457,0.694047619047619,1749098419.3289688,2025/06/05 13:40:19,9.5221266746521,9.5s,1.3787410259246826,1.2467451095581055,0.29071807861328125,,
6,5124,6,0.9499777021862211,0.7202380952380952,1749098421.0462441,2025/06/05 13:40:21,11.239402055740356,11.2s,1.6646027565002441,1.4379909038543701,0.3436744213104248,0.9040589570999146,0.7305555555555555
7,5124,7,0.9145908208120437,0.7273809523809524,1749098422.8629253,2025/06/05 13:40:22,13.05608320236206,13.1s,1.8712337017059326,1.6446495056152344,0.398540735244751,,
8,5124,8,0.8840500820250738,0.7523809523809524,1749098424.7759824,2025/06/05 13:40:24,14.96914029121399,15.0s,2.2045600414276123,1.9166076183319092,0.45121121406555176,0.8537222305933635,0.7388888888888889
9,5124,9,0.8484781957807995,0.7523809523809524,1749098426.647737,2025/06/05 13:40:26,16.84089493751526,16.8s,2.4239256381988525,2.1359975337982178,0.5031187534332275,,
10,5124,10,0.8334913571675618,0.7464285714285714,1749098428.6644192,2025/06/05 13:40:28,18.857577085494995,18.9s,2.748311758041382,2.3694629669189453,0.555844783782959,0.7923718955781724,0.7611111111111111
11,5124,11,0.7789218388852619,0.763095238095238,1749098430.648139,2025/06/05 13:40:30,20.841296911239624,20.8s,2.999422073364258,2.6205978393554688,0.6101250648498535,,
12,5124,12,0.7773354870932443,0.7738095238095238,1749098432.2163074,2025/06/05 13:40:32,22.409465312957764,22.4s,3.2451446056365967,2.8066160678863525,0.66568922996521,0.7658956289291382,0.7694444444444445
13,5124,13,0.7660410642623902,0.775,1749098434.0830135,2025/06/05 13:40:34,24.276171445846558,24.3s,3.492227077484131,3.0537235736846924,0.7162966728210449,,
14,5124,14,0.7738624992824736,0.763095238095238,1749098436.0979047,2025/06/05 13:40:36,26.291062593460083,26.3s,3.8423943519592285,3.3135509490966797,0.7703506946563721,0.7480916725264655,0.7777777777777778
15,5124,15,0.7493604625974383,0.7666666666666667,1749098438.0756285,2025/06/05 13:40:38,28.268786430358887,28.3s,4.098276376724243,3.569456100463867,0.8255493640899658,,
16,5124,16,0.7308535059293111,0.7904761904761904,1749098439.6748054,2025/06/05 13:40:39,29.867963314056396,29.9s,4.35959005355835,3.7710602283477783,0.8794145584106445,0.7454407771428426,0.7833333333333333
17,5124,17,0.7038158456484477,0.8071428571428572,1749098441.4361541,2025/06/05 13:40:41,31.62931203842163,31.6s,4.551623582839966,3.9631173610687256,0.9330747127532959,,
18,5124,18,0.7046851090022496,0.7785714285714286,1749098443.3435159,2025/06/05 13:40:43,33.53667378425598,33.5s,4.878012657165527,4.229489803314209,0.9868857860565186,0.7077237314648098,0.7944444444444444
19,5124,19,0.7133470609074547,0.7738095238095238,1749098445.4027958,2025/06/05 13:40:45,35.595953702926636,35.6s,5.131385564804077,4.4828832149505615,1.0388193130493164,,
20,5124,20,0.6942840241250537,0.7773809523809524,1749098447.310274,2025/06/05 13:40:47,37.50343179702759,37.5s,5.443994760513306,4.673426628112793,1.0926933288574219,0.6757645395067003,0.7805555555555556
21,20182612,21,0.6494409487360999,0.8071428571428572,1749098452.4042683,2025/06/05 13:40:52,42.59742617607117,42.6s,6.21122145652771,5.440694808959961,1.1498775482177734,,
22,20182612,22,0.5462702626273745,0.8226190476190476,1749098457.289397,2025/06/05 13:40:57,47.48255491256714,47.5s,7.08597469329834,6.2072508335113525,1.2087903022766113,0.5348717265658909,0.8222222222222222
23,20182612,23,0.44761168502625964,0.8523809523809524,1749098461.8450797,2025/06/05 13:41:01,52.03823757171631,52.0s,7.946044445037842,7.067368268966675,1.2714993953704834,,
24,20182612,24,0.3935352038769495,0.8678571428571429,1749098466.7372081,2025/06/05 13:41:06,56.93036603927612,56.9s,8.895518064498901,7.955069065093994,1.3266916275024414,0.43542926179038155,0.8333333333333334
25,20182612,25,0.32409274194921767,0.8869047619047619,1749098471.7544837,2025/06/05 13:41:11,61.94764161109924,1.0m,9.781094074249268,8.840696573257446,1.3885900974273682,,
26,20182612,26,0.30585872736715136,0.9011904761904762,1749098476.7306204,2025/06/05 13:41:16,66.92377829551697,1.1m,10.813840627670288,9.807904243469238,1.450272798538208,0.3591700858540005,0.8694444444444445
27,20182612,27,0.3210214177767436,0.8821428571428571,1749098481.6797,2025/06/05 13:41:21,71.87285780906677,1.2m,11.648047924041748,10.64215636253357,1.5125820636749268,,
28,20182612,28,0.26476607521375023,0.9119047619047619,1749098486.2337463,2025/06/05 13:41:26,76.42690420150757,1.3m,12.449755430221558,11.381070137023926,1.5706892013549805,0.392143146859275,0.8555555555555555
29,20182612,29,0.24531434405417668,0.9095238095238095,1749098490.8732538,2025/06/05 13:41:30,81.06641173362732,1.4m,13.15987777709961,12.091241121292114,1.6327602863311768,,
30,20182612,30,0.21879257843607947,0.9238095238095239,1749098496.332994,2025/06/05 13:41:36,86.52615189552307,1.4m,14.177571535110474,13.035478353500366,1.695643424987793,0.33575697508123187,0.8805555555555555
31,20182612,31,0.24017856830642337,0.9130952380952381,1749098501.3132899,2025/06/05 13:41:41,91.50644779205322,1.5m,15.007698059082031,13.865652084350586,1.760291576385498,,
32,20182612,32,0.19645875493685405,0.9416666666666667,1749098506.5984097,2025/06/05 13:41:46,96.79156756401062,1.6m,15.88925290107727,14.673717975616455,1.819274663925171,0.3170677794350518,0.8638888888888889
33,20182612,33,0.20802820466813587,0.9297619047619048,1749098511.5051036,2025/06/05 13:41:51,101.69826149940491,1.7m,16.799717903137207,15.584222078323364,1.876854419708252,,
34,20182612,34,0.18958893900825863,0.9333333333333333,1749098515.847464,2025/06/05 13:41:55,106.0406219959259,1.8m,17.540186405181885,16.264094829559326,1.934014081954956,0.3403093377749125,0.8777777777777778
35,20182612,35,0.1970505088567734,0.9369047619047619,1749098520.5339344,2025/06/05 13:42:00,110.72709226608276,1.8m,18.227123260498047,16.951072692871094,1.989250898361206,,
36,20182612,36,0.19271073639392852,0.9261904761904762,1749098525.5491252,2025/06/05 13:42:05,115.74228310585022,1.9m,19.303577423095703,17.96523904800415,2.050668954849243,0.31878122819794547,0.8972222222222223
37,20182612,37,0.1793817836613882,0.930952380952381,1749098531.0002975,2025/06/05 13:42:11,121.19345545768738,2.0m,20.189418077468872,18.8511323928833,2.117356061935425,,
38,20182612,38,0.16030546738987878,0.9428571428571428,1749098535.6683586,2025/06/05 13:42:15,125.86151647567749,2.1m,21.046782970428467,19.608335971832275,2.174638509750366,0.2975851131810082,0.8944444444444445
39,20182612,39,0.17058743011383784,0.9380952380952381,1749098540.9184072,2025/06/05 13:42:20,131.11156511306763,2.2m,21.94507646560669,20.506682634353638,2.233630418777466,,
40,20182612,40,0.16711599429448445,0.95,1749098545.8093357,2025/06/05 13:42:25,136.00249361991882,2.3m,22.882291316986084,21.34249258041382,2.290713310241699,0.30447612934642365,0.8888888888888888
41,20182612,41,0.1530548680396307,0.95,1749098550.6867573,2025/06/05 13:42:30,140.87991523742676,2.3m,23.799323797225952,22.259571075439453,2.3610079288482666,,
42,20182612,42,0.1262159555086068,0.9511904761904761,1749098555.5287592,2025/06/05 13:42:35,145.72191715240479,2.4m,24.69628882408142,23.072757244110107,2.419032096862793,0.2818786952230665,0.9
43,20182612,43,0.13190072207223802,0.9571428571428572,1749098560.082313,2025/06/05 13:42:40,150.27547097206116,2.5m,25.455809593200684,23.832321643829346,2.4764657020568848,,
44,20182612,44,0.10016174004191444,0.9666666666666667,1749098565.1034594,2025/06/05 13:42:45,155.296617269516,2.6m,26.303882360458374,24.619491577148438,2.5330677032470703,0.30324172443813746,0.8944444444444445
45,20182612,45,0.1080406381260781,0.9666666666666667,1749098570.3422866,2025/06/05 13:42:50,160.53544449806213,2.7m,27.18220067024231,25.497849702835083,2.5890064239501953,,
46,20182612,46,0.130583994161515,0.955952380952381,1749098575.086139,2025/06/05 13:42:55,165.279296875,2.8m,28.12754988670349,26.340368270874023,2.648510217666626,0.2936149636904399,0.9055555555555556
47,20182612,47,0.11955759326616923,0.9595238095238096,1749098580.0313888,2025/06/05 13:43:00,170.2245466709137,2.8m,29.08049726486206,27.29335856437683,2.7058465480804443,,
48,20182612,48,0.1035180614108131,0.9714285714285714,1749098584.5309496,2025/06/05 13:43:04,174.724107503891,2.9m,29.92841911315918,28.078314304351807,2.7654623985290527,0.291637224621243,0.9138888888888889
49,20182612,49,0.10614912509918213,0.9642857142857143,1749098589.1009717,2025/06/05 13:43:09,179.29412961006165,3.0m,30.618141889572144,28.768078088760376,2.822240114212036,,
50,20182612,50,0.08632121710550217,0.9726190476190476,1749098594.2734087,2025/06/05 13:43:14,184.4665665626526,3.1m,31.633410692214966,29.72030806541443,2.8796815872192383,0.32402781115637885,0.8944444444444445
51,20182612,51,0.105052218532988,0.9607142857142857,1749098599.4512353,2025/06/05 13:43:19,189.6443932056427,3.2m,32.48111343383789,30.568061590194702,2.935899496078491,,
52,20182612,52,0.10001228244176932,0.9642857142857143,1749098604.3044152,2025/06/05 13:43:24,194.49757313728333,3.2m,33.40293002128601,31.381726503372192,2.9940152168273926,0.31543001731236775,0.9138888888888889
53,20182612,53,0.08689939947355362,0.9702380952380952,1749098609.3274977,2025/06/05 13:43:29,199.52065563201904,3.3m,34.32435154914856,32.30318856239319,3.0535449981689453,,
54,20182612,54,0.10982376450584048,0.9630952380952381,1749098614.0077772,2025/06/05 13:43:34,204.20093512535095,3.4m,35.23442053794861,33.08573532104492,3.11065411567688,0.3138113518555959,0.9027777777777778
55,20182612,55,0.090937292717752,0.9726190476190476,1749098618.6209183,2025/06/05 13:43:38,208.81407618522644,3.5m,36.06561994552612,33.91698145866394,3.1693477630615234,,
56,20182612,56,0.10016174238352549,0.9654761904761905,1749098623.5732675,2025/06/05 13:43:43,213.76642537117004,3.6m,37.051604986190796,34.84267735481262,3.293935775756836,0.2966736886236403,0.8972222222222223
57,20182612,57,0.07880609879891078,0.9785714285714285,1749098628.4494126,2025/06/05 13:43:48,218.64257049560547,3.6m,37.81373906135559,35.60485219955444,3.3564343452453613,,
58,20182612,58,0.08050694604005132,0.975,1749098633.313977,2025/06/05 13:43:53,223.5071349143982,3.7m,38.758408069610596,36.43824124336243,3.4142003059387207,0.29147033095359803,0.9166666666666666
59,20182612,59,0.09649032013756888,0.9726190476190476,1749098638.2274747,2025/06/05 13:43:58,228.4206326007843,3.8m,39.64624333381653,37.32612228393555,3.4745900630950928,,
60,20182612,60,0.06888958676939919,0.9761904761904762,1749098643.0169332,2025/06/05 13:44:03,233.2100911140442,3.9m,40.55331802368164,38.123902797698975,3.5319907665252686,0.3301930255360074,0.8944444444444445
61,20182612,61,0.08615549490565345,0.9738095238095238,1749098647.8961904,2025/06/05 13:44:07,238.08934831619263,4.0m,41.398961544036865,38.969589948654175,3.58949875831604,,
62,20182612,62,0.08841346473920914,0.9714285714285714,1749098652.5600407,2025/06/05 13:44:12,242.75319862365723,4.0m,42.22105860710144,39.73206281661987,3.649026393890381,0.3203337225649092,0.9083333333333333
63,20182612,63,0.0732393859752587,0.9785714285714285,1749098657.730612,2025/06/05 13:44:17,247.9237699508667,4.1m,43.03989553451538,40.550942182540894,3.707958221435547,,
64,20182612,64,0.06353354908171155,0.9785714285714285,1749098662.3459616,2025/06/05 13:44:22,252.5391194820404,4.2m,43.87668299674988,41.28226685523987,3.766495943069458,0.3088521036836836,0.9027777777777778
65,20182612,65,0.06081457762491135,0.9797619047619047,1749098667.5360096,2025/06/05 13:44:27,257.72916746139526,4.3m,44.732091426849365,42.13772916793823,3.8256776332855225,,
66,20182612,66,0.06341407469340733,0.9880952380952381,1749098672.1460981,2025/06/05 13:44:32,262.3392560482025,4.4m,45.65294361114502,42.966676235198975,3.8867242336273193,0.3159737269083659,0.9055555555555556
67,20182612,67,0.06306213126296088,0.9821428571428571,1749098677.0235367,2025/06/05 13:44:37,267.21669459342957,4.5m,46.40684223175049,43.72062635421753,3.9468603134155273,,
68,20182612,68,0.051530598033042184,0.986904761904762,1749098682.186826,2025/06/05 13:44:42,272.37998390197754,4.5m,47.40340828895569,44.60921669006348,4.004368782043457,0.33157712088690866,0.9083333333333333
69,20182612,69,0.05603425254424413,0.9797619047619047,1749098687.0000951,2025/06/05 13:44:47,277.1932530403137,4.6m,48.25883650779724,45.46468782424927,4.064947605133057,,
70,20182612,70,0.04546576873177574,0.9845238095238096,1749098691.8128784,2025/06/05 13:44:51,282.0060362815857,4.7m,49.24425196647644,46.37599492073059,4.124031066894531,0.35164783861902027,0.9055555555555556
71,20182612,71,0.0549637747662408,0.9821428571428571,1749098696.5496294,2025/06/05 13:44:56,286.742787361145,4.8m,49.99225211143494,47.12403964996338,4.182132959365845,,
72,20182612,72,0.05001423160235087,0.9857142857142858,1749098701.4614348,2025/06/05 13:45:01,291.65459275245667,4.9m,50.993149280548096,48.05911469459534,4.246497392654419,0.34233832822905647,0.9055555555555556
73,20182612,73,0.045375939565045494,0.9833333333333333,1749098706.303669,2025/06/05 13:45:06,296.49682688713074,4.9m,51.69337511062622,48.7593834400177,4.30906081199646,,
74,20182612,74,0.05418117748839515,0.9797619047619047,1749098711.6672397,2025/06/05 13:45:11,301.86039757728577,5.0m,52.65326380729675,49.63010931015015,4.365902900695801,0.3479068981276618,0.9027777777777778
75,20182612,75,0.08480358333105133,0.975,1749098716.3394334,2025/06/05 13:45:16,306.532591342926,5.1m,53.46825051307678,50.44514036178589,4.423327922821045,,
76,20182612,76,0.05427218760762896,0.986904761904762,1749098721.4906023,2025/06/05 13:45:21,311.6837601661682,5.2m,54.3700225353241,51.28594446182251,4.491688966751099,0.37347528603341845,0.9027777777777778
77,20182612,77,0.05197688859133493,0.9797619047619047,1749098726.4135604,2025/06/05 13:45:26,316.60671830177307,5.3m,55.23043346405029,52.14640736579895,4.548086166381836,,
78,20182612,78,0.06902955461825644,0.9773809523809524,1749098731.597167,2025/06/05 13:45:31,321.79032492637634,5.4m,56.14216685295105,52.99752736091614,4.6064043045043945,0.3402802414364285,0.9027777777777778
79,20182612,79,0.053770730538027625,0.9833333333333333,1749098736.9052093,2025/06/05 13:45:36,327.0983672142029,5.5m,57.08524465560913,53.940645694732666,4.665605783462524,,
80,20182612,80,0.0559537207086881,0.9821428571428571,1749098741.7493186,2025/06/05 13:45:41,331.9424765110016,5.5m,57.959646701812744,54.71207904815674,4.727872371673584,0.3137306597497728,0.9194444444444444
